Name	Value	Representative
cytoskeletal motor activity	3.5016894462104	cytoskeletal motor activity
microtubule motor activity	4.341988603342887	microtubule motor activity
catalytic activity	3.474955192963155	catalytic activity
hydrolase activity, hydrolyzing O-glycosyl compounds	7.2549252084179425	hydrolase activity, hydrolyzing O-glycosyl compounds
serine-type peptidase activity	6.249491605148654	hydrolase activity, hydrolyzing O-glycosyl compounds
hydrolase activity, acting on glycosyl bonds	6.832682665251824	hydrolase activity, hydrolyzing O-glycosyl compounds
serine hydrolase activity	6.249491605148654	hydrolase activity, hydrolyzing O-glycosyl compounds
structural constituent of cytoskeleton	3.518557371497695	structural constituent of cytoskeleton
microtubule binding	5.132532512140949	microtubule binding
chlorophyll binding	9.739928612014925	chlorophyll binding
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	3.701146923590293	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
tetrapyrrole binding	6.442492798094342	tetrapyrrole binding
