Name	Value	Representative
Group II intron splicing	1.7721132953863266	Group II intron splicing
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1.6716203965612624	Group II intron splicing
mRNA 3'-end processing by stem-loop binding and cleavage	1.4634415574284698	Group II intron splicing
response to aluminum ion	2.958607314841775	response to aluminum ion
DNA double-strand break processing	1.4634415574284698	response to aluminum ion
defense response	1.6946486305533763	response to aluminum ion
response to other organism	1.400116927926312	response to aluminum ion
cellular response to reactive nitrogen species	1.586700235918748	response to aluminum ion
ureide metabolic process	1.586700235918748	ureide metabolic process
allantoin metabolic process	1.4634415574284698	ureide metabolic process
maltose transport	1.7619538968712043	maltose transport
vesicle fusion	1.3251388592621884	maltose transport
vesicle docking	1.5272435506827875	maltose transport
transmembrane transport	1.7594507517174005	maltose transport
photosynthesis	1.6695862266508092	photosynthesis
membrane docking	1.3251388592621884	membrane docking
biological process involved in interspecies interaction between organisms	1.3757179041643317	biological process involved in interspecies interaction between organisms
amino sugar catabolic process	1.9318141382538383	amino sugar catabolic process
aminoglycan metabolic process	1.7033348097384688	amino sugar catabolic process
amino sugar metabolic process	1.430626090384954	amino sugar catabolic process
deoxyribonucleoside triphosphate metabolic process	1.586700235918748	amino sugar catabolic process
deoxyribonucleoside triphosphate catabolic process	1.586700235918748	amino sugar catabolic process
ureide catabolic process	1.586700235918748	amino sugar catabolic process
amide catabolic process	1.368556230986828	amino sugar catabolic process
regulation of ribosome biogenesis	1.4634415574284698	regulation of ribosome biogenesis
positive regulation of DNA repair	1.368556230986828	regulation of ribosome biogenesis
shoot apical meristem development	1.7619538968712043	shoot apical meristem development
