




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	A.txt (Vitis vinifera)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	GO_ref.txt (Vitis vinifera)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	NONE
GO biological process complete	GO_ref.txt - REFLIST (17652)	A.txt (285)	A.txt (expected)	A.txt (over/under)	A.txt (fold Enrichment)	A.txt (raw P-value)
regulation of hydrogen peroxide metabolic process (GO:0010310)	1	1	.02	+	61.94	3.15E-02
flower morphogenesis (GO:0048439)	1	1	.02	+	61.94	3.15E-02
N-acylethanolamine metabolic process (GO:0070291)	1	1	.02	+	61.94	3.15E-02
photosynthetic acclimation (GO:0009643)	1	1	.02	+	61.94	3.15E-02
regulation of superoxide metabolic process (GO:0090322)	1	1	.02	+	61.94	3.15E-02
determination of dorsal identity (GO:0048263)	1	1	.02	+	61.94	3.15E-02
determination of dorsal/ventral asymmetry (GO:0048262)	1	1	.02	+	61.94	3.15E-02
chloroplast disassembly (GO:1904821)	1	1	.02	+	61.94	3.15E-02
primary shoot apical meristem specification (GO:0010072)	1	1	.02	+	61.94	3.15E-02
somatic stem cell population maintenance (GO:0035019)	1	1	.02	+	61.94	3.15E-02
selenium compound metabolic process (GO:0001887)	1	1	.02	+	61.94	3.15E-02
dorsal/ventral pattern formation (GO:0009953)	1	1	.02	+	61.94	3.15E-02
cellular response to singlet oxygen (GO:0071452)	2	1	.03	+	30.97	4.69E-02
positive regulation of leaf senescence (GO:1900057)	2	1	.03	+	30.97	4.69E-02
singlet oxygen-mediated programmed cell death (GO:0010343)	2	1	.03	+	30.97	4.69E-02
specification of symmetry (GO:0009799)	2	1	.03	+	30.97	4.69E-02
cell death in response to oxidative stress (GO:0036473)	2	1	.03	+	30.97	4.69E-02
integument development (GO:0080060)	2	1	.03	+	30.97	4.69E-02
ethanolamine-containing compound metabolic process (GO:0042439)	2	1	.03	+	30.97	4.69E-02
thiazole metabolic process (GO:0052838)	2	1	.03	+	30.97	4.69E-02
thiazole biosynthetic process (GO:0052837)	2	1	.03	+	30.97	4.69E-02
mucilage metabolic process involved in seed coat development (GO:0048359)	2	1	.03	+	30.97	4.69E-02
mucilage biosynthetic process involved in seed coat development (GO:0048354)	2	1	.03	+	30.97	4.69E-02
programmed cell death in response to reactive oxygen species (GO:0097468)	2	1	.03	+	30.97	4.69E-02
response to singlet oxygen (GO:0000304)	2	1	.03	+	30.97	4.69E-02
root cap development (GO:0048829)	2	1	.03	+	30.97	4.69E-02
oxazole or thiazole biosynthetic process (GO:0018131)	2	1	.03	+	30.97	4.69E-02
oxazole or thiazole metabolic process (GO:0046484)	2	1	.03	+	30.97	4.69E-02
negative regulation of translational elongation (GO:0045900)	2	1	.03	+	30.97	4.69E-02
determination of bilateral symmetry (GO:0009855)	2	1	.03	+	30.97	4.69E-02
meristem initiation (GO:0010014)	5	2	.08	+	24.77	5.01E-03
primary alcohol biosynthetic process (GO:0034309)	9	3	.15	+	20.65	7.85E-04
thiamine biosynthetic process (GO:0009228)	9	3	.15	+	20.65	7.85E-04
thiamine-containing compound biosynthetic process (GO:0042724)	11	3	.18	+	16.89	1.27E-03
primary alcohol metabolic process (GO:0034308)	16	4	.26	+	15.48	2.47E-04
meristem structural organization (GO:0009933)	8	2	.13	+	15.48	1.04E-02
anatomical structure arrangement (GO:0048532)	8	2	.13	+	15.48	1.04E-02
thiamine metabolic process (GO:0006772)	13	3	.21	+	14.29	1.91E-03
thiamine-containing compound metabolic process (GO:0042723)	14	3	.23	+	13.27	2.29E-03
shoot system morphogenesis (GO:0010016)	29	5	.47	+	10.68	1.86E-04
systemic acquired resistance (GO:0009627)	12	2	.19	+	10.32	2.02E-02
stomatal complex morphogenesis (GO:0010103)	12	2	.19	+	10.32	2.02E-02
guard cell differentiation (GO:0010052)	12	2	.19	+	10.32	2.02E-02
regulation of developmental growth (GO:0048638)	18	3	.29	+	10.32	4.27E-03
cellular response to phosphate starvation (GO:0016036)	13	2	.21	+	9.53	2.30E-02
cell wall modification (GO:0042545)	27	4	.44	+	9.18	1.40E-03
chloroplast rRNA processing (GO:1901259)	14	2	.23	+	8.85	2.61E-02
phosphate ion transmembrane transport (GO:0035435)	14	2	.23	+	8.85	2.61E-02
cysteine biosynthetic process from serine (GO:0006535)	15	2	.24	+	8.26	2.92E-02
stomatal complex development (GO:0010374)	16	2	.26	+	7.74	3.26E-02
pectin catabolic process (GO:0045490)	34	4	.55	+	7.29	3.01E-03
gravitropism (GO:0009630)	18	2	.29	+	6.88	3.96E-02
response to gravity (GO:0009629)	18	2	.29	+	6.88	3.96E-02
phosphate ion transport (GO:0006817)	18	2	.29	+	6.88	3.96E-02
plant epidermal cell differentiation (GO:0090627)	27	3	.44	+	6.88	1.17E-02
auxin-activated signaling pathway (GO:0009734)	74	8	1.19	+	6.70	4.74E-05
cellular response to auxin stimulus (GO:0071365)	74	8	1.19	+	6.70	4.74E-05
post-embryonic plant morphogenesis (GO:0090698)	28	3	.45	+	6.64	1.28E-02
cysteine biosynthetic process (GO:0019344)	20	2	.32	+	6.19	4.72E-02
galacturonan metabolic process (GO:0010393)	55	5	.89	+	5.63	2.62E-03
pectin metabolic process (GO:0045488)	55	5	.89	+	5.63	2.62E-03
microtubule cytoskeleton organization (GO:0000226)	103	9	1.66	+	5.41	7.49E-05
alcohol biosynthetic process (GO:0046165)	37	3	.60	+	5.02	2.54E-02
flower development (GO:0009908)	50	4	.81	+	4.95	1.06E-02
reproductive shoot system development (GO:0090567)	52	4	.84	+	4.76	1.20E-02
peptidyl-tyrosine modification (GO:0018212)	52	4	.84	+	4.76	1.20E-02
peptidyl-tyrosine phosphorylation (GO:0018108)	52	4	.84	+	4.76	1.20E-02
