




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	G.txt (Vitis vinifera)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	GO_ref.txt (Vitis vinifera)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	GO_ref.txt - REFLIST (17652)	G.txt (1107)	G.txt (expected)	G.txt (over/under)	G.txt (fold Enrichment)	G.txt (raw P-value)	G.txt (FDR)
cell recognition (GO:0008037)	68	15	4.26	+	3.52	9.20E-05	5.85E-03
recognition of pollen (GO:0048544)	68	15	4.26	+	3.52	9.20E-05	5.77E-03
defense response to other organism (GO:0098542)	168	24	10.54	+	2.28	5.18E-04	2.78E-02
regulation of RNA biosynthetic process (GO:2001141)	1135	112	71.18	+	1.57	6.79E-06	6.38E-04
regulation of DNA-templated transcription (GO:0006355)	1135	112	71.18	+	1.57	6.79E-06	6.25E-04
regulation of nucleic acid-templated transcription (GO:1903506)	1135	112	71.18	+	1.57	6.79E-06	6.13E-04
protein phosphorylation (GO:0006468)	901	86	56.50	+	1.52	2.88E-04	1.57E-02
regulation of RNA metabolic process (GO:0051252)	1208	113	75.76	+	1.49	5.98E-05	3.91E-03
regulation of macromolecule biosynthetic process (GO:0010556)	1243	113	77.95	+	1.45	1.58E-04	9.39E-03
regulation of cellular biosynthetic process (GO:0031326)	1254	113	78.64	+	1.44	2.63E-04	1.49E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1259	113	78.95	+	1.43	2.72E-04	1.51E-02
regulation of biosynthetic process (GO:0009889)	1259	113	78.95	+	1.43	2.72E-04	1.50E-02
metabolic process (GO:0008152)	6667	336	418.10	-	.80	5.63E-07	7.27E-05
organic substance metabolic process (GO:0071704)	6209	312	389.38	-	.80	1.68E-06	1.94E-04
primary metabolic process (GO:0044238)	5802	282	363.86	-	.78	2.31E-07	3.48E-05
cellular process (GO:0009987)	8163	383	511.92	-	.75	2.61E-14	1.07E-11
cellular metabolic process (GO:0044237)	5357	242	335.95	-	.72	9.85E-10	2.22E-07
nitrogen compound metabolic process (GO:0006807)	4963	217	311.24	-	.70	2.53E-10	6.34E-08
macromolecule metabolic process (GO:0043170)	4449	192	279.01	-	.69	1.44E-09	3.10E-07
biosynthetic process (GO:0009058)	2030	81	127.31	-	.64	7.77E-06	6.88E-04
organic substance biosynthetic process (GO:1901576)	1937	70	121.47	-	.58	2.85E-07	4.15E-05
cellular biosynthetic process (GO:0044249)	1873	64	117.46	-	.54	5.78E-08	9.66E-06
cellular component biogenesis (GO:0044085)	821	28	51.49	-	.54	5.71E-04	2.90E-02
nitrogen compound transport (GO:0071705)	702	21	44.02	-	.48	1.97E-04	1.13E-02
macromolecule localization (GO:0033036)	687	19	43.08	-	.44	8.21E-05	5.29E-03
