"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g02722",1,"Vitvi14g02722","Vitvi14g02722",0.701213954183249,1.10830860914487,3.67463230325817,-0.701213954183249,0.371493101957518,3.02089996222641,"0.00188441683539442      .","8 x 20","14 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi13g00807",2,"Vitvi13g00807","Vitvi13g00807",1.78256509742369,1.64436971507436,3.13495337902822,-1.78256509742369,0.492271315086988,4.26974768955614,"3.74459189191878e-05      .","12 x 18","13 ","Binding to a protein."
"Vitvi04g01352",3,"Vitvi04g01352","Vitvi04g01352",1.36337456685032,1.6044349016649,2.91921670906441,-1.36337456685032,0.734176562110755,8.16384315546103,"1.83757453697808e-11      .","10 x 19","4 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi04g00352",4,"Vitvi04g00352","Vitvi04g00352",0.795118695232733,0.874598036802422,2.85360472305547,-0.795118695232733,0.34425188068187,2.76824737097231,"0.00379467355534302      .","12 x 18","4 ",""
"Vitvi10g00365",5,"Vitvi10g00365","Vitvi10g00365",3.09033786686476,1.08998127357156,2.84957409199379,-1.93931599669176,0.418375349338223,3.47765524305819,"0.000487729700384465      .","8 x 19","10 ","Binding to a protein."
"Vitvi03g01481",6,"Vitvi03g01481","Vitvi03g01481",0.91372124177854,0.832600132719553,2.78473214562461,-0.91372124177854,0.517937879209297,4.57126711252708,"1.32662107843462e-05      .","10 x 17","3 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g00282",7,"Vitvi04g00282","Vitvi04g00282",0.86309859062359,1.08766038124523,2.68060597832397,-0.86309859062359,0.454334164134258,3.85050186605147,"0.000150387968718024      .","8 x 20","4 ","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi13g01298",8,"Vitvi13g01298","Vitvi13g01298",2.01064482387873,1.47465697002905,2.57891524108921,-1.94704308438784,0.39915707252313,3.28675660110313,"0.000869096413977588      .","12 x 18","13 ","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi14g02663",9,"Vitvi14g02663","Vitvi14g02663",1.65520398585631,1.21837871404192,2.56310708946771,-1.65520398585631,0.865886991794413,13.0683429371558,"0      .","10 x 19","14 ","Catalysis of the reaction: a D-threo-aldose + NAD+ = a D-threo-aldono-1,5-lactone + NADH."
"Vitvi07g02123",10,"Vitvi07g02123","Vitvi07g02123",1.04581821915289,1.0429468238786,2.45203958034905,-1.04581821915289,0.563197150979817,5.14574509121807,"1.71115060543237e-06      .","11 x 19","7 ","Catalysis of the hydrolysis of a carboxylic ester bond."
"Vitvi18g03382",11,"Vitvi18g03382","",1.52706113894869,1.6027084535742,2.41466106515841,-1.51440682593368,0.564275322215166,5.16019138738967,"1.62359814548374e-06      .","12 x 18"," ",""
"Vitvi00g00239",12,"Vitvi00g00239","",1.52743496932339,1.60258135543747,2.41447941850817,-1.51478065630838,0.564166829119578,5.15873595177341,"1.63221532389901e-06      .","12 x 18"," ",""
"Vitvi19g01984",13,"Vitvi19g01984","Vitvi19g01984",1.55910044425335,1.22905637984918,2.40777471708237,-1.55910044425335,0.766350814457187,9.00625903679324,"7.54063478325406e-13      .","10 x 19","19 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi10g00984",14,"Vitvi10g00984","Vitvi10g00984",1.80541883190863,1.15007471356493,2.40386367262688,-1.80541883190863,0.547605025144499,4.94101191246993,"3.58409498868451e-06      .","10 x 20","10 ","Binding to a calcium ion (Ca2+)."
