"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi18g02642",1,"Vitvi18g02642","",3.21645150486482,0.753846619929472,1.80634311523362,-1.99989134958414,0.497380267382342,4.32852728130408,"3.0658504340586e-05      .","18 x 28"," ",""
"Vitvi16g01326",2,"Vitvi16g01326","Vitvi16g01326",1.1923153806692,0.459205980568005,1.48341609931551,-0.865329408385695,0.350521205654988,2.82565108026664,"0.00324700359563224      .","20 x 28","16 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi09g00149",3,"Vitvi09g00149","Vitvi09g00149",5.28954339812562,0.357430392509836,1.40950288064369,-0.676274737840516,0.50850794560632,4.45864730527185,"1.96124076801141e-05      .","15 x 30","9 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01773",4,"Vitvi07g01773","Vitvi07g01773",2.28130205141004,0.455974364997311,1.39852390997344,-1.11564801796898,0.461747407458564,3.93018199993641,"0.000116063578543102      .","15 x 30","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00432",5,"Vitvi10g00432","",2.01515413850436,0.464368916216177,1.39800018999337,-1.23560581957369,0.612458377194153,5.84938994087623,"1.2675475946633e-07      .","16 x 30"," ",""
"Vitvi04g02107",6,"Vitvi04g02107","",4.94876258799566,0.70728936893573,1.39237891887829,-2.06717360367144,0.759455348709828,8.81358699937296,"1.55830903736387e-12      .","18 x 28"," ",""
"Vitvi05g01824",7,"Vitvi05g01824","",2.19689219384392,0.622959865299812,1.36586450058777,-1.71583003850351,0.632166488522385,6.15972073467238,"3.93219616867668e-08      .","18 x 28"," ",""
"Vitvi11g00514",8,"Vitvi11g00514","Vitvi11g00514",0.762333985367607,0.460116273043052,1.36457239537008,-0.762333985367607,0.444262019659689,3.74385120561664,"0.000211859695629091      .","15 x 29","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g01582",9,"Vitvi13g01582","",1.34378474175576,0.599889300310879,1.27529062269625,-1.26482046509788,0.429898312590213,3.59479747725208,"0.000339249062457969      .","19 x 28"," ",""
"Vitvi07g01075",10,"Vitvi07g01075","Vitvi07g01075",0.82630487875093,0.460393729138648,1.27394224521516,-0.77670814346624,0.427082427000966,3.56597692830734,"0.000371159830575563      .","18 x 30","7 ","Binding to a zinc ion (Zn)."
"Vitvi19g02185",11,"Vitvi19g02185","Vitvi19g02185",0.737436318837294,0.571793919353099,1.26572505950512,-0.737436318837294,0.516392998226024,4.55266398258515,"1.41549161460919e-05      .","18 x 28","19 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi17g00474",12,"Vitvi17g00474","",3.11052219641543,0.59952813436061,1.2608469264636,-1.59190251996077,0.336285997570453,2.69591387141091,"0.00460557881750112      .","19 x 28"," ",""
"Vitvi00g00997",13,"Vitvi00g00997","",1.51269223998442,0.483138842679545,1.23288106720406,-1.38791087286117,0.685570692711148,7.10975567204891,"1.04414588086854e-09      .","16 x 28"," ",""
"Vitvi10g00440",14,"Vitvi10g00440","",2.54357590980562,0.657096727623115,1.22815301995766,-1.3767991793237,0.920860432267688,17.8314433490144,"0      .","17 x 29"," ",""
"Vitvi12g02736",15,"Vitvi12g02736","Vitvi12g02736",1.24714083609953,0.638009992012562,1.22448228774262,-1.24714083609953,0.522550631406624,4.6271786896088,"1.09105243244478e-05      .","18 x 28","12 ","Binding to a protein."
"Vitvi13g01343",16,"Vitvi13g01343","",1.65172485196486,0.517553670585158,1.21085379305038,-1.11093098210781,0.635486587256361,6.21389007754904,"3.20226792860367e-08      .","18 x 28"," ",""
"Vitvi18g02996",17,"Vitvi18g02996","Vitvi18g02996",2.19403790076376,0.48497280502949,1.16502221446629,-1.04881980039837,0.585010341895944,5.44585764221501,"5.69774958547598e-07      .","18 x 28","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
