"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi10g00667",1,"Vitvi10g00667","Vitvi10g00667",1.47332523127446,1.40972490660894,3.08317806280176,-1.47332523127446,0.454687262523992,3.8542739248994,"0.000148563328876361      .","17 x 40","10 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi04g00012",2,"Vitvi04g00012","Vitvi04g00012",1.7718197341955,0.950477173523649,2.45790713416707,-1.7326588780916,0.596789232559697,5.61524291361433,"3.04106494875001e-07      .","17 x 40","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g02718",3,"Vitvi12g02718","Vitvi12g02718",0.682774592808412,0.696493609334489,2.05335971815833,-0.682774592808412,0.482984691392816,4.16438389491375,"5.34319344411838e-05      .","17 x 40","12 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g01784",4,"Vitvi19g01784","Vitvi19g01784",2.81315474857707,1.00872235291156,1.94969857376312,-2.81315474857707,0.423839672037091,3.53294447873122,"0.000411251273951363      .","18 x 40","19 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01244",5,"Vitvi04g01244","Vitvi04g01244",2.71351975608179,1.11482606873605,1.94603358405534,-2.44353523895759,0.436279315509225,3.66058598474655,"0.000275925465309634      .","19 x 40","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g01651",6,"Vitvi14g01651","",1.95735410476289,0.729068888897252,1.91709148746666,-1.83629222782027,0.743416568481492,8.39179323572684,"7.70916663839216e-12      .","18 x 40"," ",""
"Vitvi14g02497",7,"Vitvi14g02497","Vitvi14g02497",1.1046436647711,0.687980051452974,1.88164804802138,-1.09198935175609,0.557545200876755,5.07063938330591,"2.24676909110766e-06      .","16 x 40","14 ",""
"Vitvi06g01357",8,"Vitvi06g01357","Vitvi06g01357",2.51171359790272,0.739379185804867,1.85849091328119,-1.98901112639833,0.767900968131524,9.05059250646484,"6.38267216857002e-13      .","18 x 40","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02680",9,"Vitvi12g02680","",2.56072093216252,0.93262509682335,1.85636694620173,-2.26103248253136,0.788712479230898,9.68609999510215,"5.97299987248334e-14      .","17 x 40"," ",""
"Vitvi19g01732",10,"Vitvi19g01732","Vitvi19g01732",0.879645475032221,0.638467342185753,1.85328198261954,-0.879645475032221,0.555650585855266,5.04569354894359,"2.45878671223387e-06      .","18 x 40","19 ","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi14g02498",11,"Vitvi14g02498","",1.62382145422068,0.763496237008511,1.83623199897221,-1.60682564913308,0.643429421348807,6.34585378977516,"1.93973723749963e-08      .","18 x 40"," ",""
"Vitvi12g02326",12,"Vitvi12g02326","Vitvi12g02326",1.25761818374392,0.711397358448103,1.83093377920949,-1.23608711812142,0.529878661208292,4.71715755939246,"7.95061030811617e-06      .","17 x 40","12 ","Binding to a protein."
"Vitvi07g01407",13,"Vitvi07g01407","Vitvi07g01407",3.03199970448884,0.899483900241308,1.76200638517418,-2.74576112496689,0.553882389799068,5.02251484702087,"2.67333872339126e-06      .","17 x 40","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01673",14,"Vitvi08g01673","Vitvi08g01673",1.95282848201752,0.620676794121962,1.71913944677544,-1.5456178975262,0.713101889967932,7.67951113705694,"1.17252652032107e-10      .","17 x 40","8 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
