"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi19g02024",1,"Vitvi19g02024","",1.06969622859764,1.21163747159008,3.64566088839986,-1.06969622859764,0.654267577126582,6.53160470188719,"9.55698986615516e-09      .","40 x 34"," ",""
"Vitvi15g01693",2,"Vitvi15g01693","Vitvi15g01693",0.999408869291186,1.03416385966413,3.11563373206972,-0.999408869291186,0.499584459366965,4.35407081683832,"2.80964443848397e-05      .","38 x 30","15 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00441",3,"Vitvi01g00441","Vitvi01g00441",1.98015288062634,1.16980728655188,2.94220971661519,-1.79964822109893,0.767695118621101,9.04468315900707,"6.52589093874667e-13      .","40 x 34","1 ","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi13g02009",4,"Vitvi13g02009","Vitvi13g02009",2.18929706101006,1.2993769498783,2.83349755908838,-2.17031683982774,0.703623307801958,7.47599212326043,"2.55983678698612e-10      .","40 x 32","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi06g01410",5,"Vitvi06g01410","Vitvi06g01410",2.1247122584249,1.43078714912546,2.81367303889044,-2.04902661552359,0.821079255422952,10.859947747239,"8.88178419700125e-16      .","40 x 33","6 ",""
"Vitvi05g01577",6,"Vitvi05g01577","Vitvi05g01577",1.66947234027653,1.24491146813507,2.72383042932465,-1.57913660021922,0.635629728525893,6.21623841748409,"3.17386912307427e-08      .","40 x 32","5 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g01500",7,"Vitvi03g01500","Vitvi03g01500",1.51861275335058,1.19455762262502,2.6707356328661,-1.47945189724668,0.73847716252688,8.2686611008844,"1.23205889934752e-11      .","40 x 34","3 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00221",8,"Vitvi03g00221","Vitvi03g00221",1.30052238378496,0.994532235977492,2.56569321758988,-1.28154216260264,0.69056054330121,7.20835188200701,"7.15166703635362e-10      .","40 x 32","3 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi15g01663",9,"Vitvi15g01663","Vitvi15g01663",2.16641483702671,1.39745154660788,2.56399866850482,-2.15900805178541,0.358868118295071,2.90275220618364,"0.00262588047755474      .","38 x 30","15 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi03g00134",10,"Vitvi03g00134","Vitvi03g00134",1.6518738982549,0.983035504139565,2.55196331610849,-1.58827215876401,0.772663585590806,9.18925298967923,"3.79474229816879e-13      .","40 x 33","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00804",11,"Vitvi15g00804","Vitvi15g00804",2.99269521219111,1.07470876827114,2.53356942572513,-2.28128723811844,0.72899442092283,8.04036419098307,"2.94488877727872e-11      .","40 x 33","15 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi09g00040",12,"Vitvi09g00040","Vitvi09g00040",1.96993630623795,0.991065693742095,2.49539757987476,-1.75805349947159,0.603817535806208,5.71897299770092,"2.06571580729786e-07      .","40 x 31","9 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi03g01621",13,"Vitvi03g01621","Vitvi03g01621",3.38937716323887,1.41979621381719,2.48832989072003,-3.28627250105388,0.716947131791351,7.76447897339383,"8.46581693636494e-11      .","40 x 33","3 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi13g02416",14,"Vitvi13g02416","Vitvi13g02416",1.60226178148519,0.941413958413182,2.48425360798148,-1.5807307158627,0.775838473611065,9.28381488402125,"2.66453525910038e-13      .","40 x 33","13 ","Binding to a calcium ion (Ca2+)."
"Vitvi11g01437",15,"Vitvi11g01437","",1.57488468550762,1.08460443817431,2.48074392568386,-1.49592040884974,0.710547349112175,7.62384636025377,"1.45155887310011e-10      .","40 x 33"," ",""
"Vitvi03g01760",16,"Vitvi03g01760","Vitvi03g01760",1.80159055583362,1.36049075769955,2.45950710309337,-1.7826103346513,0.861484046972191,12.8087016796898,"0      .","40 x 34","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01350",17,"Vitvi14g01350","Vitvi14g01350",1.45429930980865,1.05824087709254,2.42104415965534,-1.45429930980865,0.80530978131362,10.2553967803241,"7.32747196252603e-15      .","40 x 31","14 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g01404",18,"Vitvi02g01404","Vitvi02g01404",3.8507719808046,1.32074882085002,2.37892672036085,-3.73424526549689,0.353173220567369,2.85006326395042,"0.0030370089797318      .","40 x 32","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi14g01926",19,"Vitvi14g01926","Vitvi14g01926",0.562310758090007,0.70457676509752,2.36495372667213,-0.562310758090007,0.722142884181937,7.8816149068209,"5.4051985109993e-11      .","39 x 30","14 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi18g00260",20,"Vitvi18g00260","Vitvi18g00260",1.28727200835428,1.11839599026186,2.32011642066163,-1.28727200835428,0.830613417627823,11.2615597866931,"2.22044604925031e-16      .","40 x 34","18 ","A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins."
"Vitvi14g01763",21,"Vitvi14g01763","Vitvi14g01763",6.55279761257247,1.48987366746065,2.30678376177645,-4.58109090593783,0.833439080804486,11.386532559005,"1.11022302462516e-16      .","40 x 34","14 ","Binding to a zinc ion (Zn)."
"Vitvi03g00708",22,"Vitvi03g00708","Vitvi03g00708",3.96094229716841,1.37145185538751,2.26875640399704,-3.85783763498342,0.699463143467729,7.38920164358739,"3.57183838062269e-10      .","40 x 34","3 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
