"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi02g00532",1,"Vitvi02g00532","Vitvi02g00532",3.15158524213538,1.31054008817124,2.5100191840971,-2.83512335039738,0.68261100607806,7.05217239177701,"1.30234112383221e-09      .","34 x 40","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01873",2,"Vitvi04g01873","Vitvi04g01873",4.52858835130415,1.48123645752471,2.48195067830305,-3.97985294588283,0.856508591946745,12.528749364894,"0      .","35 x 40","4 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g01388",3,"Vitvi15g01388","Vitvi15g01388",3.05837454171835,1.51107280031029,2.46789009619789,-2.95526987953336,0.628782025378354,6.10508287406708,"4.83571613862921e-08      .","33 x 40","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01176",4,"Vitvi16g01176","",2.37639939697915,1.38639186122505,2.42002770223066,-2.31613019318377,0.721552620409787,7.86816968943458,"5.69073677070264e-11      .","33 x 40"," ",""
"Vitvi18g02045",5,"Vitvi18g02045","",1.68841142775962,1.26856112930362,2.38294590532935,-1.68841142775962,0.505859052804023,4.4274062169479,"2.1843836513602e-05      .","35 x 39"," ",""
"Vitvi14g03036",6,"Vitvi14g03036","Vitvi14g03036",3.8511681910541,1.18461070332693,2.33253281864414,-2.94676909593928,0.740754768682169,8.32506625974266,"9.93827242723455e-12      .","34 x 40","14 ","Binding to a zinc ion (Zn)."
"Vitvi09g00593",7,"Vitvi09g00593","Vitvi09g00593",2.41351345430562,1.29716296686472,2.30864988589728,-2.3682070269646,0.827196849272752,11.1141896237312,"3.33066907387547e-16      .","36 x 40","9 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi18g03009",8,"Vitvi18g03009","Vitvi18g03009",1.60822616556787,1.23524125840831,2.30299213236979,-1.60822616556787,0.541070276043953,4.85743266263776,"4.83307829735047e-06      .","30 x 40","18 ",""
"Vitvi10g00027",9,"Vitvi10g00027","Vitvi10g00027",5.78833968979727,1.96293511784963,2.2944932428259,-4.09172421693272,0.883686322733297,14.2533147560734,"0      .","35 x 40","10 ","The chemical reactions and pathways resulting in the formation of thiamine (vitamin B1), a water soluble vitamin present in fresh vegetables and meats, especially liver."
"Vitvi10g01138",10,"Vitvi10g01138","Vitvi10g01138",3.04441783709757,1.46194724630118,2.28204277364561,-2.98081609760668,0.771458381763913,9.15380810517966,"4.33320046511199e-13      .","33 x 40","10 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
