"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi13g00646",1,"Vitvi13g00646","Vitvi13g00646",2.98819430969766,1.0417267638321,2.86581047091278,-2.06387981079923,0.398677467008232,3.28206055662041,"0.000881336998948434      .","14 x 29","13 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01530",2,"Vitvi14g01530","Vitvi14g01530",2.50636738004667,0.617112089156112,2.05961224156347,-1.53125896777011,0.617232561581636,5.92287443032579,"9.61672544930181e-08      .","14 x 30","14 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00177",3,"Vitvi09g00177","Vitvi09g00177",4.56801799569907,0.621039252539843,1.92914861887149,-1.39404934245127,0.506857873512477,4.43916642819348,"2.09762672613856e-05      .","15 x 26","9 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g00518",4,"Vitvi07g00518","Vitvi07g00518",0.604252683804597,0.482573826146226,1.92069435269241,-0.602004735994965,0.363056250321011,2.94173749729269,"0.00235557838744915      .","14 x 30","7 ","Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions."
"Vitvi18g02642",5,"Vitvi18g02642","",3.21645150486482,0.753846619929472,1.80634311523362,-1.99989134958414,0.369837920345088,3.00530214367402,"0.00196966203955851      .","18 x 28"," ",""
"Vitvi02g01417",6,"Vitvi02g01417","Vitvi02g01417",0.701410117628923,0.488469974045867,1.52971318372315,-0.699162169819291,0.372024806483407,3.02591762708349,"0.00185773420424584      .","13 x 29","2 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g00678",7,"Vitvi11g00678","Vitvi11g00678",3.47889618566019,0.551422405780029,1.49119731507503,-1.54331207391725,0.197926279309251,1.5244693557334,"0.0664605531926498      .","16 x 23","11 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi14g01532",8,"Vitvi14g01532","Vitvi14g01532",0.899819636458888,0.544738466607856,1.48378339642139,-0.899819636458888,0.157311681647129,1.20265135872141,"0.117041644439851      .","14 x 31","14 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi16g01326",9,"Vitvi16g01326","Vitvi16g01326",1.1923153806692,0.459205980568005,1.48341609931551,-0.865329408385695,0.339915738685548,2.7287909645096,"0.00421910225603328      .","20 x 28","16 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi16g01543",10,"Vitvi16g01543","",0.570501597979898,0.541312394258273,1.4334878070092,-0.570501597979898,0.252913436813385,1.97361907935468,"0.0266398101595406      .","20 x 31"," ",""
