"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi18g02709",1,"Vitvi18g02709","Vitvi18g02709",0.762241280964835,1.34162634364227,4.52171217179656,-0.762241280964835,0.83417434949369,11.4195264966247,"1.11022302462516e-16      .","20 x 1","18 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi02g00393",2,"Vitvi02g00393","Vitvi02g00393",1.83030757626934,1.44669556430186,3.95583871858262,-1.75134329961146,0.896781217711907,15.3015683208179,"0      .","21 x 1","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi16g01336",3,"Vitvi16g01336","Vitvi16g01336",2.64117669286829,1.92229662179795,3.92943453887382,-2.64117669286829,0.767181092602247,9.02995668891973,"6.89670542897147e-13      .","21 x 1","16 ","Binding to a metal ion."
"Vitvi18g03250",4,"Vitvi18g03250","Vitvi18g03250",1.54603062803101,1.41932978192257,3.87329245995995,-1.54603062803101,0.893429109999486,15.0159808340538,"0      .","21 x 1","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00253",5,"Vitvi16g00253","",1.82499534139289,1.29088852301094,3.7056588128036,-1.82499534139289,0.717589833486309,7.77882159461254,"8.01307908915305e-11      .","21 x 1"," ",""
"Vitvi15g00871",6,"Vitvi15g00871","Vitvi15g00871",1.209146679761,1.40192612937717,3.54841146441349,-1.209146679761,0.666111729581279,6.7426694095249,"4.26504054296117e-09      .","21 x 1","15 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi12g02245",7,"Vitvi12g02245","Vitvi12g02245",1.22528702247421,1.09701412894195,3.51982454991526,-1.22062989644529,0.738118486355931,8.25983553054655,"1.27420296536229e-11      .","20 x 1","12 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi02g00270",8,"Vitvi02g00270","Vitvi02g00270",1.40157290817848,1.61736349507151,3.48309749340456,-1.40157290817848,0.770095408789343,9.11401632368128,"5.03042052457658e-13      .","21 x 1","2 ","Binding to a metal ion."
"Vitvi15g01035",9,"Vitvi15g01035","",2.74556754962218,1.35355163796096,3.36285409443598,-2.3023984715511,0.766089966701719,8.99883658612277,"7.75379760398209e-13      .","21 x 1"," ",""
"Vitvi06g01559",10,"Vitvi06g01559","Vitvi06g01559",1.88012247307609,0.930007469087073,3.35294158153147,-1.42422644591574,0.509204992812432,4.46689656885493,"1.9061262215736e-05      .","21 x 1","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01651",11,"Vitvi03g01651","Vitvi03g01651",2.49280586611312,1.47917210935109,3.33606213483991,-2.41384158945524,0.801080023120623,10.1043324044709,"1.28785870856518e-14      .","21 x 1","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi08g01702",12,"Vitvi08g01702","Vitvi08g01702",3.36780592102442,1.3952839760968,3.32471528603626,-2.54965536024827,0.707960856376121,7.56810561366644,"1.79762871255207e-10      .","21 x 1","8 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g02676",13,"Vitvi07g02676","Vitvi07g02676",1.04792340406245,1.08034106528078,3.25407665100133,-1.04792340406245,0.882569459715364,14.1716457906981,"0      .","20 x 1","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi12g02241",14,"Vitvi12g02241","Vitvi12g02241",1.68803919506471,1.25268168106255,3.25236698570529,-1.68803919506471,0.609285696471721,5.80112441537223,"1.5190708135826e-07      .","21 x 1","12 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi00g01989",15,"Vitvi00g01989","",1.25480169931437,0.88925926353098,3.21219668792314,-1.23987108249937,0.656097824026728,6.56365234883111,"8.45635939050737e-09      .","19 x 1"," ",""
"Vitvi07g03053",16,"Vitvi07g03053","",1.25463897873119,0.889233758540669,3.21209109953611,-1.23970836191619,0.656105837376142,6.56379310782574,"8.45181502562298e-09      .","19 x 1"," ",""
"Vitvi17g00450",17,"Vitvi17g00450","Vitvi17g00450",2.16937864495342,1.23342240302998,3.201841752548,-2.01543187554598,0.922281612026518,18.0148470840777,"0      .","21 x 1","17 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi07g02243",18,"Vitvi07g02243","Vitvi07g02243",1.50289959457085,1.31273503071295,3.18921101237834,-1.49549280932956,0.828493642186602,11.1696552395957,"2.22044604925031e-16      .","21 x 1","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00258",19,"Vitvi09g00258","Vitvi09g00258",1.2056212629443,1.0396785977479,3.18294219485488,-1.2056212629443,0.512825262992534,4.50993284860152,"1.64218134677263e-05      .","17 x 1","9 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g01557",20,"Vitvi09g01557","",2.09487527465856,1.42732160475601,3.12657444714184,-2.07334420903607,0.493158182558041,4.27990906998222,"3.61764642695661e-05      .","21 x 1"," ",""
"Vitvi02g01403",21,"Vitvi02g01403","Vitvi02g01403",1.75423549742965,1.52878865322965,3.11002510999543,-1.75423549742965,0.634599854287696,6.19936646722527,"3.3836000667975e-08      .","21 x 1","2 ",""
"Vitvi19g01959",22,"Vitvi19g01959","",1.2569567415242,1.01278507853727,3.09957383321948,-1.2569567415242,0.76575683086114,8.98937281760726,"8.03468402921226e-13      .","20 x 1"," ",""
"Vitvi07g01847",23,"Vitvi07g01847","Vitvi07g01847",3.03535377335729,1.30788888838792,3.07946040369981,-2.30812067320348,0.78946115432378,9.71048533683364,"5.46229728115577e-14      .","21 x 1","7 ","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi09g00476",24,"Vitvi09g00476","Vitvi09g00476",1.84932747629973,1.00514699257099,3.07772496226981,-1.51004368932733,0.729970013908381,8.06338067361588,"2.69690936249845e-11      .","21 x 1","9 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g02251",25,"Vitvi01g02251","",1.8367718751929,1.09817852326238,3.07168667375018,-1.5097859029094,0.80773571988594,10.3440341047043,"5.32907051820075e-15      .","21 x 1"," ",""
