"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi05g00640",1,"Vitvi05g00640","Vitvi05g00640",1.05514102374726,0.896022626598735,3.37999332184064,-1.03360995812476,0.599196421375752,5.65053980801551,"2.66656992931047e-07      .","11 x 2","5 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi18g00993",2,"Vitvi18g00993","Vitvi18g00993",1.0819472785308,0.958825633672596,3.16281546185147,-1.0819472785308,0.621898480345444,5.99571358638532,"7.30912306234899e-08      .","12 x 1","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01454",3,"Vitvi06g01454","Vitvi06g01454",0.875910937857376,0.723205773291318,3.12064534869168,-0.873662990047745,0.514606880253477,4.53123144508265,"1.52508893203063e-05      .","10 x 6","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00285",4,"Vitvi11g00285","Vitvi11g00285",1.96609502091014,1.15214831767566,3.08638947554931,-1.63910904862663,0.680519349711666,7.01187019270483,"1.52010759535415e-09      .","11 x 1","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00370",5,"Vitvi16g00370","Vitvi16g00370",1.63831722182002,1.03218449188459,3.05329576426296,-1.56263157891871,0.438838409569657,3.6871608190622,"0.000253695090521422      .","12 x 1","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00028",6,"Vitvi09g00028","Vitvi09g00028",0.764977549608467,0.796762288810443,3.03786080510072,-0.764977549608467,0.547287432849221,4.93692044806031,"3.63708257311579e-06      .","10 x 4","9 ","Binding to a nucleic acid."
"Vitvi18g02685",7,"Vitvi18g02685","Vitvi18g02685",2.23509689189741,1.2029844955459,3.03675497365443,-2.23509689189741,0.656501235123665,6.57074333821159,"8.23042922704076e-09      .","11 x 1","18 ","Binding to a calcium ion (Ca2+)."
"Vitvi18g02684",8,"Vitvi18g02684","Vitvi18g02684",2.89271684358798,1.32546193134314,2.88161037822741,-2.89271684358798,0.654583989382498,6.53713066316058,"9.35751420794162e-09      .","11 x 1","18 ","Binding to a calcium ion (Ca2+)."
"Vitvi06g00526",9,"Vitvi06g00526","",2.2035853019588,1.02521982391426,2.8670014375335,-2.1820542363363,0.477806629885978,4.10643655499457,"6.48611778089059e-05      .","14 x 1"," ",""
"Vitvi18g02683",10,"Vitvi18g02683","Vitvi18g02683",2.7724233566714,1.22509193643291,2.59975051723194,-2.23307233776816,0.394430090700437,3.24061136548535,"0.00099665560752793      .","13 x 1","18 ","Binding to a calcium ion (Ca2+)."
"Vitvi19g02040",11,"Vitvi19g02040","Vitvi19g02040",0.867255023122841,0.665586745417552,2.58341286558902,-0.867255023122841,0.472897569507783,4.05201204452783,"7.77255602917304e-05      .","11 x 6","19 ",""
"Vitvi02g00673",12,"Vitvi02g00673","Vitvi02g00673",1.21656970712111,0.840923395674239,2.56271049485566,-1.17126327978008,0.667775636451484,6.77303696920943,"3.79693998464603e-09      .","12 x 1","2 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00379",13,"Vitvi03g00379","Vitvi03g00379",1.57647250232312,0.806026233720838,2.55765989309951,-1.26001061058512,0.500346188356016,4.36292433761866,"2.7257963814864e-05      .","12 x 6","3 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi05g00475",14,"Vitvi05g00475","Vitvi05g00475",2.72302083044814,0.7734059190545,2.43901286518332,-1.62055652653594,0.507961185663164,4.45218490515265,"2.00549817183093e-05      .","10 x 6","5 ",""
