"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi12g02565",1,"Vitvi12g02565","Vitvi12g02565",0.743906969925791,1.22557217086331,4.82805513063765,-0.743906969925791,0.369672168648278,3.0037419914168,"0.00197838349355806      .","36 x 1","12 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi09g02008",2,"Vitvi09g02008","Vitvi09g02008",0.81495154816525,1.11923241495275,4.52840503879078,-0.81495154816525,0.456262554447613,3.87113032912703,"0.000140666258823252      .","31 x 1","9 ","An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins."
"Vitvi04g01863",3,"Vitvi04g01863","",1.07844091807628,1.69840513856804,4.464644889375,-1.07844091807628,0.574679499242231,5.30162355941393,"9.68676079571296e-07      .","33 x 1"," ",""
"Vitvi11g01446",4,"Vitvi11g01446","Vitvi11g01446",1.22818690241004,1.60955388044933,4.15346993346013,-1.22818690241004,0.67272355787299,6.86443196365172,"2.67539634890568e-09      .","33 x 1","11 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi11g01457",5,"Vitvi11g01457","Vitvi11g01457",2.45090141038921,1.44019572417773,4.0928255515598,-2.45090141038921,0.498752314785185,4.34441424165675,"2.90395621516115e-05      .","31 x 1","11 ","Binding to a protein."
"Vitvi10g01863",6,"Vitvi10g01863","",0.888810081398928,1.35060133696077,3.94347052339393,-0.888810081398928,0.66837816780682,6.78407869463451,"3.63975094508362e-09      .","33 x 1"," ",""
"Vitvi10g01433",7,"Vitvi10g01433","",2.28164532663774,1.61299950739326,3.75929830155491,-2.10392439320343,0.663701952201002,6.69900939198507,"5.04060970740738e-09      .","33 x 1"," ",""
"Vitvi17g00339",8,"Vitvi17g00339","Vitvi17g00339",1.55605835384293,1.35250189734143,3.72297969927693,-1.55605835384293,0.631012407170968,6.14102425044764,"4.22072263805973e-08      .","34 x 1","17 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g01434",9,"Vitvi08g01434","Vitvi08g01434",0.973385190756864,0.939938378043733,3.40246106668455,-0.973385190756864,0.657043904165009,6.58029777919498,"7.9354900428541e-09      .","33 x 1","8 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi10g00378",10,"Vitvi10g00378","",1.41116734181212,1.57259470496417,3.33516241875407,-1.41116734181212,0.556473521169694,5.05651485121621,"2.36450376844832e-06      .","34 x 1"," ",""
"Vitvi19g01989",11,"Vitvi19g01989","",1.60989635802614,1.95738236738336,3.17449545356579,-1.60989635802614,0.849274515110131,12.1448311926087,"0      .","33 x 1"," ",""
"Vitvi19g01990",12,"Vitvi19g01990","",1.65408171877706,2.0021119519029,3.03629964781595,-1.65408171877706,0.84186379811302,11.7770048631672,"0      .","33 x 1"," ",""
"Vitvi01g00319",13,"Vitvi01g00319","Vitvi01g00319",1.81224561482153,1.42449378265718,2.90879839679636,-1.81224561482153,0.761809448446692,8.87855011037781,"1.2196910148532e-12      .","33 x 1","1 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g01624",14,"Vitvi07g01624","Vitvi07g01624",1.00054216267563,0.767341217834457,2.89309964962902,-1.00054216267563,0.546772725466846,4.93029606089851,"3.72450737895491e-06      .","36 x 1","7 ","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi19g01988",15,"Vitvi19g01988","",1.65935809520782,1.96666121613649,2.87923682625097,-1.65935809520782,0.85288231537531,12.3330410897677,"0      .","33 x 1"," ",""
"Vitvi12g02324",16,"Vitvi12g02324","Vitvi12g02324",1.95908770605855,1.30172069798475,2.80542524191203,-1.69667323603659,0.651190557586939,6.47817696809914,"1.17178668990192e-08      .","33 x 1","12 ","Binding to a protein."
"Vitvi18g02715",17,"Vitvi18g02715","Vitvi18g02715",2.85730624369533,1.70244083397902,2.78836852160428,-2.85730624369533,0.418379156924148,3.47769360825489,"0.00048767222208923      .","31 x 1","18 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi12g00462",18,"Vitvi12g00462","Vitvi12g00462",2.52823502395359,1.0716836052034,2.75250723156215,-2.20124905167009,0.276047031916425,2.16836302178277,"0.0171596160515268      .","35 x 1","12 ",""
"Vitvi19g01058",19,"Vitvi19g01058","Vitvi19g01058",1.90410676905097,0.924775457172235,2.7446567593693,-1.63412225192677,0.435070812580237,3.64807454610778,"0.000287025119093287      .","31 x 1","19 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi02g01110",20,"Vitvi02g01110","",2.84372224220676,1.01816120262252,2.70731191016051,-1.95442217678792,0.516308644192367,4.55164995897829,"1.42049919377163e-05      .","36 x 2"," ",""
"Vitvi19g00427",21,"Vitvi19g00427","",1.01210228870017,1.29950487139824,2.67581802704986,-1.01210228870017,0.780471401408291,9.42500020156549,"1.57318602589385e-13      .","32 x 1"," ",""
"Vitvi15g00874",22,"Vitvi15g00874","Vitvi15g00874",1.3200778561298,1.09374327492518,2.66174855235334,-1.3200778561298,0.57526454659394,5.30968834823064,"9.40451234665574e-07      .","32 x 1","15 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
