"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00211","Vitvi01g00211","10 x 1","Tocai_freeze_r2","Vitvi01g00211","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00390","Vitvi01g00390","17 x 38","Sangio_warm_r3","Vitvi01g00390","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00082","Vitvi02g00082","40 x 4","Riesl_warm_r2","Vitvi02g00082","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00083","Vitvi02g00083","9 x 1","Chard_freeze_r2","Vitvi02g00083","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00085","Vitvi02g00085","27 x 1","Chard_freeze_r3","Vitvi02g00085","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00086","Vitvi02g00086","40 x 5","Chard_warm_r1","Vitvi02g00086","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00726","Vitvi02g00726","35 x 36","Sangio_warm_r1","Vitvi02g00726","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01279","Vitvi02g01279","40 x 15","Chard_warm_r1","Vitvi02g01279","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01331","Vitvi02g01331","25 x 2","Tocai_freeze_r3","Vitvi02g01331","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01185","Vitvi03g01185","15 x 40","Riesl_accfreeze_r1","Vitvi03g01185","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01833","Vitvi03g01833","40 x 1","Tocai_freeze_r3","Vitvi03g01833","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g01834","Vitvi03g01834","10 x 1","Tocai_freeze_r2","Vitvi03g01834","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00365","Vitvi04g00365","26 x 31","Chard_acclim_r3","Vitvi04g00365","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00243","Vitvi05g00243","40 x 5","Chard_warm_r3","Vitvi05g00243","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00409","Vitvi06g00409","13 x 29","Tocai_accfreeze_r3","Vitvi06g00409","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00831","Vitvi06g00831","29 x 6","Chard_freeze_r3","Vitvi06g00831","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01288","Vitvi06g01288","33 x 37","Sangio_warm_r3","Vitvi06g01288","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01293","Vitvi06g01293","39 x 27","Tocai_warm_r3","Vitvi06g01293","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01949","Vitvi06g01949","3 x 6","Sangio_freeze_r3","Vitvi06g01949","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01950","Vitvi06g01950","5 x 6","CabFra_freeze_r2","Vitvi06g01950","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00534","Vitvi07g00534","8 x 9","CabFra_freeze_r2","Vitvi07g00534","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01921","Vitvi07g01921","33 x 34","Riesl_warm_r1","Vitvi07g01921","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00222","Vitvi08g00222","35 x 4","Riesl_freeze_r1","Vitvi08g00222","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01112","Vitvi08g01112","15 x 3","Sangio_freeze_r2","Vitvi08g01112","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01493","Vitvi08g01493","40 x 12","Sangio_warm_r3","Vitvi08g01493","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01627","Vitvi08g01627","36 x 40","Tocai_acclim_r3","Vitvi08g01627","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01929","Vitvi08g01929","1 x 32","Tocai_accfreeze_r2","Vitvi08g01929","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00303","Vitvi09g00303","5 x 9","Sangio_freeze_r3","Vitvi09g00303","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00462","Vitvi09g00462","24 x 2","Sangio_warm_r3","Vitvi09g00462","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g00476","Vitvi09g00476","21 x 1","CabFra_freeze_r2","Vitvi09g00476","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01129","Vitvi09g01129","11 x 40","Riesl_freeze_r3","Vitvi09g01129","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00702","Vitvi10g00702","10 x 1","CabFra_freeze_r3","Vitvi10g00702","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00269","Vitvi11g00269","36 x 32","Riesl_acclim_r3","Vitvi11g00269","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00398","Vitvi11g00398","38 x 40","Chard_acclim_r3","Vitvi11g00398","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00221","Vitvi13g00221","27 x 1","Sangio_freeze_r2","Vitvi13g00221","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00252","Vitvi13g00252","6 x 32","Tocai_accfreeze_r3","Vitvi13g00252","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00779","Vitvi13g00779","10 x 1","Chard_freeze_r2","Vitvi13g00779","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00786","Vitvi13g00786","1 x 30","Tocai_accfreeze_r2","Vitvi13g00786","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01865","Vitvi14g01865","35 x 30","Sangio_warm_r3","Vitvi14g01865","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01928","Vitvi14g01928","37 x 38","Tocai_warm_r3","Vitvi14g01928","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00002","Vitvi16g00002","31 x 40","Tocai_acclim_r2","Vitvi16g00002","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00936","Vitvi16g00936","7 x 7","Sangio_freeze_r3","Vitvi16g00936","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01144","Vitvi16g01144","39 x 40","CabFra_acclim_r1","Vitvi16g01144","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01210","Vitvi16g01210","10 x 1","Sangio_freeze_r2","Vitvi16g01210","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01148","Vitvi18g01148","38 x 38","CabFra_warm_r1","Vitvi18g01148","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01264","Vitvi18g01264","31 x 1","Chard_accfreeze_r1","Vitvi18g01264","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
