"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00286","Vitvi01g00286","40 x 22","Tocai_freeze_r1","Vitvi01g00286","The process in which a methyl group is covalently attached to a molecule."
"Vitvi01g00556","Vitvi01g00556","4 x 1","Sangio_freeze_r3","Vitvi01g00556","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g00789","Vitvi01g00789","23 x 23","Tocai_acclim_r3","Vitvi01g00789","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi02g00210","Vitvi02g00210","28 x 21","CabFra_warm_r3","Vitvi02g00210","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00225","Vitvi02g00225","23 x 1","Tocai_freeze_r2","Vitvi02g00225","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00573","Vitvi03g00573","35 x 16","Tocai_warm_r3","Vitvi03g00573","The chemical reactions and pathways resulting in the formation of methionine (2-amino-4-(methylthio)butanoic acid), a sulfur-containing, essential amino acid found in peptide linkage in proteins."
"Vitvi03g00804","Vitvi03g00804","40 x 16","Tocai_freeze_r1","Vitvi03g00804","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
"Vitvi03g01592","Vitvi03g01592","10 x 15","CabFra_freeze_r2","Vitvi03g01592","The chemical reactions and pathways resulting in the formation of methionine (2-amino-4-(methylthio)butanoic acid), a sulfur-containing, essential amino acid found in peptide linkage in proteins."
"Vitvi04g00130","Vitvi04g00130","33 x 33","Riesl_warm_r2","Vitvi04g00130","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi04g00235","Vitvi04g00235","12 x 32","Riesl_acclim_r3","Vitvi04g00235","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
