"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00295","Vitvi02g00295","6 x 12","CabFra_accfreeze_r3","Vitvi02g00295","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00310","Vitvi02g00310","19 x 26","Tocai_warm_r3","Vitvi02g00310","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00083","Vitvi03g00083","20 x 12","CabFra_freeze_r3","Vitvi03g00083","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00155","Vitvi03g00155","38 x 39","Tocai_warm_r2","Vitvi03g00155","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00307","Vitvi04g00307","39 x 40","Chard_acclim_r1","Vitvi04g00307","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00281","Vitvi06g00281","40 x 11","Tocai_freeze_r3","Vitvi06g00281","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00412","Vitvi06g00412","35 x 25","Tocai_warm_r1","Vitvi06g00412","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01346","Vitvi06g01346","40 x 40","CabFra_warm_r2","Vitvi06g01346","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00904","Vitvi08g00904","10 x 17","CabFra_freeze_r3","Vitvi08g00904","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01038","Vitvi08g01038","36 x 33","Riesl_warm_r2","Vitvi08g01038","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01602","Vitvi08g01602","40 x 35","Chard_warm_r3","Vitvi08g01602","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g02371","Vitvi08g02371","28 x 21","Tocai_acclim_r3","Vitvi08g02371","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00329","Vitvi09g00329","29 x 36","Chard_warm_r3","Vitvi09g00329","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00639","Vitvi10g00639","21 x 30","Chard_warm_r2","Vitvi10g00639","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00012","Vitvi13g00012","35 x 27","Tocai_warm_r1","Vitvi13g00012","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00255","Vitvi13g00255","40 x 2","Chard_warm_r3","Vitvi13g00255","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00605","Vitvi13g00605","40 x 4","Tocai_warm_r1","Vitvi13g00605","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01952","Vitvi14g01952","40 x 39","Riesl_warm_r2","Vitvi14g01952","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01110","Vitvi15g01110","40 x 20","Tocai_warm_r1","Vitvi15g01110","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
