"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi04g00736","Vitvi04g00736","6 x 38","Tocai_acclim_r1","Vitvi04g00736","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00262","Vitvi06g00262","1 x 12","Tocai_accfreeze_r3","Vitvi06g00262","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01028","Vitvi08g01028","5 x 15","Tocai_accfreeze_r3","Vitvi08g01028","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01141","Vitvi09g01141","14 x 39","Sangio_acclim_r1","Vitvi09g01141","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00701","Vitvi11g00701","6 x 31","Chard_acclim_r2","Vitvi11g00701","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g00965","Vitvi11g00965","19 x 27","CabFra_warm_r2","Vitvi11g00965","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01797","Vitvi14g01797","7 x 21","Sangio_warm_r2","Vitvi14g01797","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g02018","Vitvi14g02018","1 x 36","CabFra_accfreeze_r3","Vitvi14g02018","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g00990","Vitvi15g00990","8 x 37","Chard_accfreeze_r1","Vitvi15g00990","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi16g01218","Vitvi16g01218","8 x 15","CabFra_freeze_r2","Vitvi16g01218","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g01236","Vitvi17g01236","18 x 2","Sangio_freeze_r1","Vitvi17g01236","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi19g00300","Vitvi19g00300","8 x 21","Sangio_accfreeze_r2","Vitvi19g00300","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
