"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00594","Vitvi01g00594","35 x 19","Tocai_warm_r3","Vitvi01g00594","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01339","Vitvi01g01339","32 x 40","Tocai_acclim_r1","Vitvi01g01339","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00924","Vitvi05g00924","30 x 25","Tocai_warm_r3","Vitvi05g00924","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00032","Vitvi06g00032","33 x 23","CabFra_warm_r2","Vitvi06g00032","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g02050","Vitvi07g02050","33 x 23","CabFra_warm_r3","Vitvi07g02050","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01818","Vitvi08g01818","30 x 26","Tocai_warm_r3","Vitvi08g01818","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00186","Vitvi09g00186","27 x 40","Riesl_accfreeze_r3","Vitvi09g00186","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g00054","Vitvi12g00054","26 x 40","Tocai_acclim_r3","Vitvi12g00054","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g01224","Vitvi14g01224","31 x 26","CabFra_warm_r2","Vitvi14g01224","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi15g00614","Vitvi15g00614","31 x 26","CabFra_warm_r2","Vitvi15g00614","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00263","Vitvi17g00263","24 x 17","Tocai_warm_r3","Vitvi17g00263","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00797","Vitvi17g00797","30 x 23","CabFra_warm_r2","Vitvi17g00797","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g00138","Vitvi18g00138","28 x 26","Riesl_accfreeze_r3","Vitvi18g00138","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
