"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00503","Vitvi01g00503","11 x 19","Chard_freeze_r2","Vitvi01g00503","Binding to a nucleic acid."
"Vitvi01g00505","Vitvi01g00505","22 x 32","Chard_warm_r3","Vitvi01g00505","Binding to a nucleic acid."
"Vitvi01g01134","Vitvi01g01134","40 x 22","CabFra_warm_r1","Vitvi01g01134","Binding to a nucleic acid."
"Vitvi02g00349","Vitvi02g00349","20 x 21","CabFra_freeze_r1","Vitvi02g00349","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00186","Vitvi04g00186","17 x 27","Tocai_acclim_r1","Vitvi04g00186","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00477","Vitvi04g00477","12 x 16","Chard_freeze_r3","Vitvi04g00477","The process whose specific outcome is the progression of the leaf over time, from its formation to the mature structure."
"Vitvi04g01202","Vitvi04g01202","30 x 4","Chard_freeze_r3","Vitvi04g01202","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00530","Vitvi05g00530","33 x 28","CabFra_warm_r2","Vitvi05g00530","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00574","Vitvi05g00574","34 x 40","Sangio_accfreeze_r2","Vitvi05g00574","Binding to a nucleic acid."
"Vitvi06g00086","Vitvi06g00086","24 x 38","Tocai_accfreeze_r3","Vitvi06g00086","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01020","Vitvi06g01020","29 x 36","CabFra_acclim_r3","Vitvi06g01020","Binding to a nucleic acid."
"Vitvi06g01169","Vitvi06g01169","37 x 33","Riesl_warm_r2","Vitvi06g01169","Binding to a nucleic acid."
"Vitvi06g01378","Vitvi06g01378","29 x 37","Chard_acclim_r1","Vitvi06g01378","Binding to a nucleic acid."
"Vitvi08g00884","Vitvi08g00884","40 x 35","Tocai_warm_r3","Vitvi08g00884","Binding to a nucleic acid."
"Vitvi08g01782","Vitvi08g01782","22 x 23","CabFra_acclim_r1","Vitvi08g01782","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00954","Vitvi10g00954","23 x 34","Tocai_acclim_r3","Vitvi10g00954","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0)."
"Vitvi10g01339","Vitvi10g01339","7 x 31","CabFra_accfreeze_r3","Vitvi10g01339","Binding to a nucleic acid."
"Vitvi10g01342","Vitvi10g01342","13 x 13","Sangio_freeze_r2","Vitvi10g01342","Binding to a nucleic acid."
"Vitvi10g01346","Vitvi10g01346","15 x 4","Riesl_freeze_r1","Vitvi10g01346","Binding to a nucleic acid."
"Vitvi11g00273","Vitvi11g00273","33 x 30","Tocai_freeze_r1","Vitvi11g00273","Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1); uses an RNA template, i.e. the catalysis of RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time."
"Vitvi11g00408","Vitvi11g00408","38 x 40","Tocai_warm_r3","Vitvi11g00408","Binding to a nucleic acid."
"Vitvi11g00449","Vitvi11g00449","7 x 40","Riesl_acclim_r3","Vitvi11g00449","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00618","Vitvi11g00618","15 x 25","Tocai_accfreeze_r2","Vitvi11g00618","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g00448","Vitvi12g00448","37 x 37","CabFra_warm_r2","Vitvi12g00448","Binding to a nucleic acid."
"Vitvi13g01357","Vitvi13g01357","19 x 20","Riesl_accfreeze_r1","Vitvi13g01357","Binding to a nucleic acid."
