"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g02080","Vitvi01g02080","31 x 13","Tocai_freeze_r3","Vitvi01g02080","Binding to a zinc ion (Zn)."
"Vitvi02g00007","Vitvi02g00007","14 x 34","Sangio_accfreeze_r1","Vitvi02g00007","Binding to a nucleic acid."
"Vitvi06g00073","Vitvi06g00073","26 x 4","CabFra_freeze_r1","Vitvi06g00073","Binding to a nucleic acid."
"Vitvi06g01017","Vitvi06g01017","26 x 5","Tocai_freeze_r2","Vitvi06g01017","Binding to a nucleic acid."
"Vitvi06g01268","Vitvi06g01268","23 x 38","Riesl_acclim_r1","Vitvi06g01268","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00316","Vitvi07g00316","18 x 29","Tocai_accfreeze_r2","Vitvi07g00316","Binding to a nucleic acid."
"Vitvi07g01877","Vitvi07g01877","16 x 8","Tocai_freeze_r2","Vitvi07g01877","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02683","Vitvi07g02683","23 x 20","CabFra_freeze_r1","Vitvi07g02683","Binding to a nucleic acid."
"Vitvi08g01113","Vitvi08g01113","19 x 37","Sangio_accfreeze_r1","Vitvi08g01113","Binding to a zinc ion (Zn)."
"Vitvi08g01722","Vitvi08g01722","13 x 30","Sangio_accfreeze_r1","Vitvi08g01722","Binding to a nucleic acid."
"Vitvi08g01987","Vitvi08g01987","30 x 13","Tocai_warm_r3","Vitvi08g01987","Binding to a nucleic acid."
"Vitvi09g00196","Vitvi09g00196","23 x 26","Sangio_accfreeze_r1","Vitvi09g00196","The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
"Vitvi12g00750","Vitvi12g00750","28 x 13","CabFra_warm_r3","Vitvi12g00750","Binding to a nucleic acid."
"Vitvi12g00913","Vitvi12g00913","15 x 26","Tocai_acclim_r3","Vitvi12g00913","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi12g02297","Vitvi12g02297","10 x 30","Riesl_accfreeze_r3","Vitvi12g02297","Binding to a nucleic acid."
"Vitvi13g00214","Vitvi13g00214","9 x 37","Chard_acclim_r1","Vitvi13g00214","Binding to a zinc ion (Zn)."
"Vitvi14g02509","Vitvi14g02509","37 x 1","Sangio_warm_r1","Vitvi14g02509","Binding to a nucleic acid."
"Vitvi14g02588","Vitvi14g02588","16 x 21","Sangio_freeze_r2","Vitvi14g02588","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00827","Vitvi15g00827","21 x 40","Tocai_accfreeze_r2","Vitvi15g00827","Binding to a nucleic acid."
"Vitvi15g00926","Vitvi15g00926","17 x 26","Chard_warm_r2","Vitvi15g00926","Binding to a nucleic acid."
"Vitvi16g00949","Vitvi16g00949","21 x 39","Sangio_accfreeze_r2","Vitvi16g00949","Binding to a nucleic acid."
"Vitvi16g01348","Vitvi16g01348","18 x 21","Sangio_freeze_r2","Vitvi16g01348","Binding to a nucleic acid."
"Vitvi17g01512","Vitvi17g01512","31 x 18","Tocai_warm_r3","Vitvi17g01512","Binding to a nucleic acid."
"Vitvi18g00396","Vitvi18g00396","26 x 2","Tocai_warm_r3","Vitvi18g00396","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi18g01859","Vitvi18g01859","12 x 32","Sangio_acclim_r2","Vitvi18g01859","Binding to a nucleic acid."
"Vitvi19g00131","Vitvi19g00131","7 x 35","Chard_acclim_r1","Vitvi19g00131","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00722","Vitvi19g00722","39 x 1","Chard_warm_r2","Vitvi19g00722","Binding to a nucleic acid."
