"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00090","Vitvi02g00090","9 x 5","CabFra_freeze_r2","Vitvi02g00090","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00143","Vitvi02g00143","4 x 8","Sangio_freeze_r3","Vitvi02g00143","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00145","Vitvi02g00145","3 x 15","CabFra_freeze_r3","Vitvi02g00145","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00339","Vitvi02g00339","13 x 1","Riesl_freeze_r2","Vitvi02g00339","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00390","Vitvi02g00390","7 x 8","CabFra_freeze_r3","Vitvi02g00390","The chemical reactions and pathways involving galactose, the aldohexose galacto-hexose. D-galactose is widely distributed in combined form in plants, animals and microorganisms as a constituent of oligo- and polysaccharides; it also occurs in galactolipids and as its glucoside in lactose and melibiose."
"Vitvi02g00423","Vitvi02g00423","33 x 19","CabFra_warm_r2","Vitvi02g00423","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi03g01138","Vitvi03g01138","1 x 11","Sangio_freeze_r1","Vitvi03g01138","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01318","Vitvi04g01318","40 x 6","CabFra_warm_r2","Vitvi04g01318","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00614","Vitvi05g00614","37 x 32","Riesl_warm_r1","Vitvi05g00614","Binding to nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH."
"Vitvi05g01108","Vitvi05g01108","19 x 40","Sangio_accfreeze_r2","Vitvi05g01108","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01085","Vitvi08g01085","30 x 16","Tocai_warm_r3","Vitvi08g01085","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g01066","Vitvi10g01066","20 x 5","Sangio_freeze_r1","Vitvi10g01066","The chemical reactions and pathways involving galactose, the aldohexose galacto-hexose. D-galactose is widely distributed in combined form in plants, animals and microorganisms as a constituent of oligo- and polysaccharides; it also occurs in galactolipids and as its glucoside in lactose and melibiose."
"Vitvi11g01211","Vitvi11g01211","34 x 13","Chard_warm_r3","Vitvi11g01211","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00471","Vitvi14g00471","40 x 34","CabFra_warm_r2","Vitvi14g00471","Binding to nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH."
"Vitvi14g01684","Vitvi14g01684","1 x 14","Sangio_accfreeze_r1","Vitvi14g01684","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi14g01571","Vitvi14g01571","9 x 30","Tocai_accfreeze_r1","Vitvi14g01571","Binding to a metal ion."
"Vitvi14g01911","Vitvi14g01911","25 x 1","Tocai_warm_r2","Vitvi14g01911","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi14g01916","Vitvi14g01916","17 x 5","Chard_freeze_r3","Vitvi14g01916","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi15g00684","Vitvi15g00684","23 x 7","Riesl_freeze_r1","Vitvi15g00684","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g00687","Vitvi15g00687","28 x 31","Sangio_accfreeze_r3","Vitvi15g00687","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01026","Vitvi15g01026","16 x 21","Tocai_freeze_r2","Vitvi15g01026","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi15g01489","Vitvi15g01489","40 x 18","CabFra_warm_r3","Vitvi15g01489","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00192","Vitvi17g00192","26 x 20","Riesl_acclim_r3","Vitvi17g00192","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00565","Vitvi17g00565","36 x 27","CabFra_warm_r1","Vitvi17g00565","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00629","Vitvi17g00629","37 x 8","Riesl_warm_r1","Vitvi17g00629","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi18g00490","Vitvi18g00490","39 x 18","CabFra_warm_r3","Vitvi18g00490","Binding to flavin mono nucleotide. Flavin mono nucleotide (FMN) is the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes."
