"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00284","Vitvi01g00284","39 x 32","CabFra_warm_r1","Vitvi01g00284","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00587","Vitvi01g00587","38 x 12","Riesl_freeze_r3","Vitvi01g00587","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g02020","Vitvi01g02020","33 x 37","Tocai_acclim_r1","Vitvi01g02020","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi03g00322","Vitvi03g00322","38 x 12","Riesl_warm_r2","Vitvi03g00322","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00192","Vitvi04g00192","30 x 40","Tocai_warm_r1","Vitvi04g00192","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00410","Vitvi04g00410","21 x 6","Sangio_freeze_r1","Vitvi04g00410","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01439","Vitvi07g01439","37 x 31","Tocai_warm_r2","Vitvi07g01439","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi05g00616","Vitvi05g00616","40 x 11","Chard_freeze_r1","Vitvi05g00616","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00367","Vitvi06g00367","11 x 28","CabFra_freeze_r3","Vitvi06g00367","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00396","Vitvi06g00396","37 x 21","Riesl_warm_r2","Vitvi06g00396","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00413","Vitvi06g00413","38 x 34","Chard_warm_r1","Vitvi06g00413","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00415","Vitvi11g00415","1 x 3","Riesl_freeze_r1","Vitvi11g00415","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00230","Vitvi13g00230","40 x 34","CabFra_warm_r1","Vitvi13g00230","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00295","Vitvi13g00295","40 x 14","Sangio_warm_r3","Vitvi13g00295","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01198","Vitvi14g01198","39 x 4","Sangio_warm_r2","Vitvi14g01198","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00571","Vitvi15g00571","35 x 14","Chard_freeze_r1","Vitvi15g00571","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00896","Vitvi15g00896","25 x 30","Sangio_freeze_r2","Vitvi15g00896","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g01135","Vitvi15g01135","37 x 15","Chard_warm_r3","Vitvi15g01135","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi16g00804","Vitvi16g00804","39 x 27","Tocai_acclim_r3","Vitvi16g00804","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi16g00877","Vitvi16g00877","40 x 26","Tocai_warm_r3","Vitvi16g00877","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g00969","Vitvi18g00969","22 x 40","Tocai_acclim_r1","Vitvi18g00969","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01548","Vitvi18g01548","27 x 40","Riesl_acclim_r1","Vitvi18g01548","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
