"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00155","Vitvi01g00155","22 x 18","Tocai_warm_r3","Vitvi01g00155","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01577","Vitvi01g01577","21 x 18","CabFra_accfreeze_r2","Vitvi01g01577","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g02023","Vitvi01g02023","31 x 17","Chard_acclim_r1","Vitvi01g02023","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g02139","Vitvi01g02139","28 x 13","CabFra_warm_r2","Vitvi01g02139","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi02g00136","Vitvi02g00136","24 x 39","Sangio_acclim_r1","Vitvi02g00136","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi02g00176","Vitvi02g00176","22 x 20","Riesl_accfreeze_r1","Vitvi02g00176","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00842","Vitvi02g00842","32 x 18","CabFra_warm_r3","Vitvi02g00842","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00135","Vitvi03g00135","22 x 19","Chard_acclim_r3","Vitvi03g00135","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00161","Vitvi03g00161","25 x 27","Tocai_warm_r3","Vitvi03g00161","Binds to and modulates the activity of an enzyme."
"Vitvi03g00172","Vitvi03g00172","38 x 2","Chard_warm_r1","Vitvi03g00172","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00285","Vitvi03g00285","8 x 34","CabFra_accfreeze_r2","Vitvi03g00285","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00251","Vitvi04g00251","8 x 33","CabFra_accfreeze_r2","Vitvi04g00251","A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex."
"Vitvi04g00408","Vitvi04g00408","20 x 20","Sangio_freeze_r1","Vitvi04g00408","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01476","Vitvi04g01476","21 x 21","Tocai_accfreeze_r2","Vitvi04g01476","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01484","Vitvi04g01484","26 x 26","Tocai_warm_r1","Vitvi04g01484","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
