"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00131","Vitvi01g00131","12 x 35","CabFra_accfreeze_r2","Vitvi01g00131","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi01g00649","Vitvi01g00649","13 x 36","Tocai_accfreeze_r2","Vitvi01g00649",""
"Vitvi01g00885","Vitvi01g00885","15 x 19","Sangio_accfreeze_r2","Vitvi01g00885","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01173","Vitvi01g01173","1 x 15","Riesl_freeze_r1","Vitvi01g01173","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01778","Vitvi01g01778","26 x 34","Sangio_accfreeze_r2","Vitvi01g01778","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi01g01838","Vitvi01g01838","27 x 27","CabFra_accfreeze_r2","Vitvi01g01838","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00256","Vitvi02g00256","28 x 29","CabFra_warm_r3","Vitvi02g00256","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00790","Vitvi02g00790","1 x 1","Sangio_freeze_r3","Vitvi02g00790","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00235","Vitvi03g00235","4 x 34","CabFra_accfreeze_r3","Vitvi03g00235","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi03g00274","Vitvi03g00274","35 x 38","Tocai_accfreeze_r1","Vitvi03g00274","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00314","Vitvi04g00314","26 x 38","Tocai_acclim_r3","Vitvi04g00314","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00465","Vitvi04g00465","30 x 37","Riesl_accfreeze_r3","Vitvi04g00465","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01124","Vitvi04g01124","19 x 6","Sangio_freeze_r1","Vitvi04g01124","A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall."
"Vitvi07g01113","Vitvi07g01113","32 x 31","Sangio_warm_r3","Vitvi07g01113","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi10g00307","Vitvi10g00307","33 x 36","Sangio_warm_r3","Vitvi10g00307","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi10g00462","Vitvi10g00462","31 x 28","Tocai_warm_r3","Vitvi10g00462","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01222","Vitvi04g01222","38 x 31","Tocai_warm_r1","Vitvi04g01222","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi04g01657","Vitvi04g01657","40 x 10","Sangio_warm_r3","Vitvi04g01657","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi04g01689","Vitvi04g01689","9 x 37","Sangio_acclim_r2","Vitvi04g01689","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g00321","Vitvi05g00321","33 x 36","Sangio_warm_r1","Vitvi05g00321","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00113","Vitvi06g00113","19 x 30","Riesl_warm_r1","Vitvi06g00113","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00121","Vitvi06g00121","37 x 29","Tocai_warm_r3","Vitvi06g00121","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01330","Vitvi06g01330","19 x 20","CabFra_freeze_r3","Vitvi06g01330","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01398","Vitvi06g01398","40 x 40","Tocai_acclim_r3","Vitvi06g01398","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01469","Vitvi06g01469","35 x 30","Riesl_warm_r2","Vitvi06g01469","A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
"Vitvi07g00034","Vitvi07g00034","6 x 10","CabFra_freeze_r3","Vitvi07g00034","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi07g00299","Vitvi07g00299","17 x 20","Tocai_accfreeze_r1","Vitvi07g00299","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00376","Vitvi07g00376","40 x 26","Tocai_warm_r3","Vitvi07g00376","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00513","Vitvi07g00513","18 x 28","Riesl_freeze_r2","Vitvi07g00513","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00665","Vitvi07g00665","37 x 38","Riesl_accfreeze_r1","Vitvi07g00665","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01692","Vitvi07g01692","16 x 35","Tocai_accfreeze_r1","Vitvi07g01692","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01881","Vitvi07g01881","3 x 10","CabFra_freeze_r3","Vitvi07g01881","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g02717","Vitvi07g02717","2 x 7","Sangio_freeze_r3","Vitvi07g02717","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00009","Vitvi08g00009","29 x 31","Riesl_warm_r1","Vitvi08g00009","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi08g01070","Vitvi08g01070","16 x 20","Tocai_freeze_r2","Vitvi08g01070","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01184","Vitvi08g01184","6 x 5","Sangio_freeze_r3","Vitvi08g01184","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01523","Vitvi08g01523","38 x 39","Chard_warm_r2","Vitvi08g01523","The direct uptake and incorporation of exogenous genetic material (DNA or RNA) into a cell from its surroundings through the cell envelope."
"Vitvi08g01897","Vitvi08g01897","36 x 34","Tocai_warm_r3","Vitvi08g01897","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00092","Vitvi10g00092","34 x 34","CabFra_warm_r3","Vitvi10g00092","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00613","Vitvi10g00613","36 x 36","Sangio_warm_r3","Vitvi10g00613","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
