"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00270","Vitvi01g00270","36 x 26","CabFra_warm_r2","Vitvi01g00270","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00528","Vitvi01g00528","39 x 38","Sangio_warm_r3","Vitvi01g00528","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00857","Vitvi01g00857","34 x 26","Riesl_warm_r2","Vitvi01g00857","A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins."
"Vitvi01g01506","Vitvi01g01506","12 x 4","Riesl_freeze_r3","Vitvi01g01506","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01666","Vitvi01g01666","12 x 25","Riesl_freeze_r3","Vitvi01g01666","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01995","Vitvi01g01995","37 x 16","CabFra_warm_r3","Vitvi01g01995","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g02296","Vitvi01g02296","21 x 40","Tocai_acclim_r2","Vitvi01g02296","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi02g00636","Vitvi02g00636","35 x 33","Riesl_warm_r2","Vitvi02g00636","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00528","Vitvi03g00528","34 x 31","CabFra_warm_r2","Vitvi03g00528","The space enclosed by the double membrane of a chloroplast but excluding the thylakoid space. It contains DNA, ribosomes and some temporary products of photosynthesis."
"Vitvi03g00542","Vitvi03g00542","40 x 27","Tocai_warm_r3","Vitvi03g00542","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
