"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi00g00859","Vitvi00g00859","31 x 40","Tocai_acclim_r2","Vitvi00g00859","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00244","Vitvi01g00244","1 x 3","Sangio_freeze_r1","Vitvi01g00244","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00481","Vitvi01g00481","4 x 5","CabFra_freeze_r3","Vitvi01g00481","Binding to a metal ion."
"Vitvi01g00934","Vitvi01g00934","6 x 12","Tocai_accfreeze_r2","Vitvi01g00934","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01482","Vitvi01g01482","29 x 40","Chard_acclim_r2","Vitvi01g01482","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01826","Vitvi01g01826","8 x 6","Tocai_accfreeze_r2","Vitvi01g01826","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01827","Vitvi01g01827","23 x 36","Sangio_accfreeze_r1","Vitvi01g01827","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01924","Vitvi01g01924","4 x 4","Sangio_freeze_r3","Vitvi01g01924","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi01g01942","Vitvi01g01942","20 x 40","Sangio_warm_r1","Vitvi01g01942",""
"Vitvi01g01943","Vitvi01g01943","7 x 17","Sangio_freeze_r2","Vitvi01g01943",""
