"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00446","Vitvi01g00446","36 x 13","Tocai_acclim_r3","Vitvi01g00446","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00821","Vitvi01g00821","26 x 32","CabFra_acclim_r2","Vitvi01g00821",""
"Vitvi03g00196","Vitvi03g00196","30 x 14","Tocai_warm_r1","Vitvi03g00196","A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
"Vitvi03g00593","Vitvi03g00593","40 x 25","Tocai_warm_r3","Vitvi03g00593",""
"Vitvi07g00217","Vitvi07g00217","1 x 5","Tocai_accfreeze_r3","Vitvi07g00217","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01422","Vitvi08g01422","7 x 38","Tocai_accfreeze_r2","Vitvi08g01422","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00409","Vitvi11g00409","40 x 31","CabFra_warm_r2","Vitvi11g00409","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00322","Vitvi14g00322","2 x 17","Riesl_freeze_r1","Vitvi14g00322","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi14g00841","Vitvi14g00841","18 x 8","Sangio_freeze_r2","Vitvi14g00841","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g01819","Vitvi14g01819","37 x 28","Tocai_warm_r3","Vitvi14g01819",""
"Vitvi14g03084","Vitvi14g03084","40 x 40","CabFra_warm_r1","Vitvi14g03084",""
"Vitvi15g00789","Vitvi15g00789","30 x 30","Tocai_warm_r1","Vitvi15g00789","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi15g01508","Vitvi15g01508","16 x 13","CabFra_freeze_r2","Vitvi15g01508","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi17g00601","Vitvi17g00601","40 x 40","Riesl_acclim_r3","Vitvi17g00601",""
"Vitvi17g00750","Vitvi17g00750","34 x 40","Tocai_warm_r3","Vitvi17g00750",""
"Vitvi18g00691","Vitvi18g00691","31 x 39","Chard_acclim_r3","Vitvi18g00691",""
"Vitvi18g01691","Vitvi18g01691","40 x 17","Riesl_warm_r2","Vitvi18g01691",""
"Vitvi18g02797","Vitvi18g02797","1 x 1","Tocai_freeze_r2","Vitvi18g02797",""
"Vitvi19g00392","Vitvi19g00392","1 x 2","Sangio_accfreeze_r1","Vitvi19g00392","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
