"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00065","Vitvi02g00065","31 x 15","Tocai_warm_r1","Vitvi02g00065","Binding to a calcium ion (Ca2+)."
"Vitvi03g00249","Vitvi03g00249","22 x 5","Chard_accfreeze_r1","Vitvi03g00249","Binding to a calcium ion (Ca2+)."
"Vitvi04g01462","Vitvi04g01462","14 x 22","Riesl_freeze_r1","Vitvi04g01462","Binding to a calcium ion (Ca2+)."
"Vitvi06g00227","Vitvi06g00227","25 x 29","Sangio_freeze_r1","Vitvi06g00227","Binding to a calcium ion (Ca2+)."
"Vitvi07g02019","Vitvi07g02019","13 x 32","Sangio_accfreeze_r2","Vitvi07g02019","Binding to a calcium ion (Ca2+)."
"Vitvi08g00221","Vitvi08g00221","33 x 37","Chard_acclim_r1","Vitvi08g00221","Binding to a calcium ion (Ca2+)."
"Vitvi08g00298","Vitvi08g00298","1 x 2","Riesl_freeze_r2","Vitvi08g00298","Binding to a calcium ion (Ca2+)."
"Vitvi08g01889","Vitvi08g01889","1 x 17","Chard_accfreeze_r1","Vitvi08g01889","Binding to a calcium ion (Ca2+)."
"Vitvi08g02055","Vitvi08g02055","27 x 27","Chard_acclim_r3","Vitvi08g02055","Binding to a calcium ion (Ca2+)."
"Vitvi10g00102","Vitvi10g00102","25 x 28","CabFra_freeze_r1","Vitvi10g00102","Binding to a calcium ion (Ca2+)."
"Vitvi13g01130","Vitvi13g01130","20 x 14","Tocai_accfreeze_r3","Vitvi13g01130","Binding to a calcium ion (Ca2+)."
"Vitvi17g00523","Vitvi17g00523","16 x 17","Tocai_accfreeze_r3","Vitvi17g00523","Binding to a calcium ion (Ca2+)."
"Vitvi18g00175","Vitvi18g00175","15 x 19","Tocai_freeze_r3","Vitvi18g00175","Binding to a calcium ion (Ca2+)."
"Vitvi19g00497","Vitvi19g00497","14 x 19","CabFra_freeze_r1","Vitvi19g00497","Binding to a calcium ion (Ca2+)."
