"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00328","Vitvi02g00328","5 x 40","Tocai_accfreeze_r3","Vitvi02g00328","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00682","Vitvi02g00682","36 x 40","Tocai_warm_r3","Vitvi02g00682","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00205","Vitvi03g00205","7 x 11","CabFra_freeze_r3","Vitvi03g00205","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00168","Vitvi04g00168","40 x 40","Tocai_warm_r3","Vitvi04g00168","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01817","Vitvi07g01817","14 x 33","Riesl_accfreeze_r1","Vitvi07g01817","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01861","Vitvi07g01861","15 x 36","Chard_accfreeze_r3","Vitvi07g01861","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00742","Vitvi10g00742","4 x 40","Chard_acclim_r3","Vitvi10g00742","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00931","Vitvi10g00931","22 x 3","Tocai_acclim_r2","Vitvi10g00931","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g01323","Vitvi12g01323","19 x 1","Chard_freeze_r3","Vitvi12g01323","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g01449","Vitvi12g01449","9 x 15","Sangio_freeze_r3","Vitvi12g01449","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g01467","Vitvi12g01467","24 x 1","Tocai_warm_r1","Vitvi12g01467","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02179","Vitvi12g02179","29 x 40","Riesl_acclim_r2","Vitvi12g02179","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02239","Vitvi12g02239","6 x 37","Tocai_acclim_r2","Vitvi12g02239","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi15g01144","Vitvi15g01144","4 x 33","Tocai_accfreeze_r3","Vitvi15g01144","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi16g00856","Vitvi16g00856","30 x 40","Riesl_accfreeze_r3","Vitvi16g00856","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00120","Vitvi18g00120","6 x 14","Tocai_accfreeze_r3","Vitvi18g00120","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g01436","Vitvi18g01436","29 x 37","Tocai_warm_r3","Vitvi18g01436","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
