"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00207","Vitvi02g00207","11 x 25","Sangio_accfreeze_r1","Vitvi02g00207","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01640","Vitvi04g01640","23 x 34","Tocai_acclim_r1","Vitvi04g01640","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00492","Vitvi05g00492","30 x 33","Tocai_freeze_r3","Vitvi05g00492","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00784","Vitvi06g00784","1 x 11","Sangio_accfreeze_r1","Vitvi06g00784","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00843","Vitvi08g00843","1 x 15","Tocai_accfreeze_r2","Vitvi08g00843","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g01607","Vitvi10g01607","6 x 21","CabFra_freeze_r1","Vitvi10g01607","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00417","Vitvi14g00417","9 x 33","Tocai_accfreeze_r3","Vitvi14g00417","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi15g00931","Vitvi15g00931","15 x 1","Sangio_freeze_r3","Vitvi15g00931","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00929","Vitvi17g00929","15 x 20","Tocai_acclim_r1","Vitvi17g00929","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi19g00614","Vitvi19g00614","27 x 33","Tocai_accfreeze_r1","Vitvi19g00614","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
