"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01376","Vitvi01g01376","40 x 38","CabFra_warm_r2","Vitvi01g01376","Binding to the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes."
"Vitvi01g01782","Vitvi01g01782","37 x 37","CabFra_warm_r2","Vitvi01g01782","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00034","Vitvi02g00034","15 x 1","CabFra_freeze_r2","Vitvi02g00034","The chemical reactions and pathways resulting in the formation of terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure."
"Vitvi02g00831","Vitvi02g00831","28 x 5","Riesl_freeze_r2","Vitvi02g00831","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00034","Vitvi03g00034","21 x 40","Chard_acclim_r2","Vitvi03g00034","Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor)."
"Vitvi03g00185","Vitvi03g00185","37 x 31","Tocai_freeze_r1","Vitvi03g00185","The process in which a methyl group is covalently attached to a molecule."
"Vitvi03g00262","Vitvi03g00262","10 x 17","Tocai_freeze_r3","Vitvi03g00262","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi03g00374","Vitvi03g00374","15 x 2","Tocai_freeze_r3","Vitvi03g00374","Binding to a metal ion."
"Vitvi03g00780","Vitvi03g00780","36 x 37","Sangio_warm_r1","Vitvi03g00780","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01420","Vitvi03g01420","13 x 13","Chard_freeze_r2","Vitvi03g01420","Binding to a protein."
"Vitvi04g00313","Vitvi04g00313","32 x 7","Sangio_warm_r3","Vitvi04g00313","Catalysis of the reaction: alkene group + alcohol group on same molecule = cyclic ether. Substrates are 2-methyl-6-phytyl-1,4- hydroquinone (forms delta-tocopherol) and 2,3-dimethyl-5-phytyl-1,4-hydroquinone (forms gamma-tocopherol)."
"Vitvi04g00438","Vitvi04g00438","6 x 27","Sangio_acclim_r3","Vitvi04g00438","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
