"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00090","Vitvi01g00090","4 x 36","Sangio_accfreeze_r1","Vitvi01g00090","The chemical reactions and pathways resulting in the formation of cardiolipin, 1,3-bis(3-phosphatidyl)glycerol."
"Vitvi01g00202","Vitvi01g00202","13 x 4","Sangio_freeze_r2","Vitvi01g00202","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi01g00424","Vitvi01g00424","36 x 23","CabFra_warm_r3","Vitvi01g00424","Binding to a metal ion."
"Vitvi01g01339","Vitvi01g01339","32 x 40","Tocai_acclim_r1","Vitvi01g01339","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00845","Vitvi03g00845","15 x 7","Riesl_freeze_r2","Vitvi03g00845","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01393","Vitvi07g01393","26 x 25","CabFra_warm_r3","Vitvi07g01393","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01524","Vitvi07g01524","27 x 15","CabFra_warm_r2","Vitvi07g01524","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00924","Vitvi05g00924","30 x 25","Tocai_warm_r3","Vitvi05g00924","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01382","Vitvi05g01382","10 x 5","Sangio_freeze_r3","Vitvi05g01382","The import of proteins across the outer and inner mitochondrial membranes into the matrix. Unfolded proteins enter the mitochondrial matrix with a chaperone protein; the information required to target the precursor protein from the cytosol to the mitochondrial matrix is contained within its N-terminal matrix-targeting sequence. Translocation of precursors to the matrix occurs at the rare sites where the outer and inner membranes are close together."
"Vitvi06g00032","Vitvi06g00032","33 x 23","CabFra_warm_r2","Vitvi06g00032","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01149","Vitvi06g01149","32 x 25","CabFra_warm_r3","Vitvi06g01149","Binding to a metal ion."
"Vitvi07g00603","Vitvi07g00603","5 x 40","Sangio_accfreeze_r1","Vitvi07g00603","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g00070","Vitvi08g00070","33 x 20","CabFra_warm_r3","Vitvi08g00070","Binding to an identical protein to form a homodimer."
"Vitvi08g00971","Vitvi08g00971","15 x 29","Sangio_accfreeze_r1","Vitvi08g00971","Binding to a metal ion."
"Vitvi08g01072","Vitvi08g01072","27 x 4","CabFra_freeze_r3","Vitvi08g01072","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g00186","Vitvi09g00186","27 x 40","Riesl_accfreeze_r3","Vitvi09g00186","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00271","Vitvi09g00271","33 x 22","CabFra_warm_r2","Vitvi09g00271","Binding to a metal ion."
"Vitvi09g00635","Vitvi09g00635","38 x 15","CabFra_warm_r3","Vitvi09g00635","Binding to a metal ion."
"Vitvi11g00044","Vitvi11g00044","34 x 27","CabFra_warm_r3","Vitvi11g00044","Binding to a metal ion."
"Vitvi11g00240","Vitvi11g00240","22 x 26","Sangio_warm_r3","Vitvi11g00240","Binding to a metal ion."
"Vitvi12g00067","Vitvi12g00067","29 x 2","CabFra_freeze_r3","Vitvi12g00067","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi13g00636","Vitvi13g00636","14 x 14","Tocai_freeze_r2","Vitvi13g00636","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi13g01770","Vitvi13g01770","30 x 9","Chard_warm_r1","Vitvi13g01770","Binding to a metal ion."
"Vitvi13g02052","Vitvi13g02052","33 x 10","Chard_warm_r3","Vitvi13g02052","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g02042","Vitvi14g02042","23 x 18","CabFra_acclim_r1","Vitvi14g02042","Binding to a metal ion."
"Vitvi15g00492","Vitvi15g00492","27 x 40","Riesl_acclim_r3","Vitvi15g00492","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi16g00783","Vitvi16g00783","6 x 40","Tocai_accfreeze_r2","Vitvi16g00783","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
"Vitvi17g00024","Vitvi17g00024","27 x 9","Sangio_accfreeze_r1","Vitvi17g00024","The import of proteins across the outer and inner mitochondrial membranes into the matrix. Unfolded proteins enter the mitochondrial matrix with a chaperone protein; the information required to target the precursor protein from the cytosol to the mitochondrial matrix is contained within its N-terminal matrix-targeting sequence. Translocation of precursors to the matrix occurs at the rare sites where the outer and inner membranes are close together."
"Vitvi17g00171","Vitvi17g00171","34 x 25","Tocai_warm_r3","Vitvi17g00171","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g01403","Vitvi17g01403","32 x 25","Riesl_acclim_r3","Vitvi17g01403","Binding to a metal ion."
"Vitvi18g00157","Vitvi18g00157","3 x 16","CabFra_freeze_r2","Vitvi18g00157","Binding to a zinc ion (Zn)."
"Vitvi18g00338","Vitvi18g00338","36 x 18","CabFra_warm_r2","Vitvi18g00338","The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."
"Vitvi19g00567","Vitvi19g00567","26 x 5","Riesl_freeze_r2","Vitvi19g00567","Binding to an identical protein to form a homodimer."
"Vitvi19g01394","Vitvi19g01394","1 x 29","Tocai_accfreeze_r2","Vitvi19g01394","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
