"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00211","Vitvi01g00211","10 x 1","Tocai_freeze_r2","Vitvi01g00211","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00390","Vitvi01g00390","17 x 38","Sangio_warm_r3","Vitvi01g00390","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00650","Vitvi01g00650","8 x 12","Tocai_accfreeze_r3","Vitvi01g00650","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01536","Vitvi01g01536","2 x 11","CabFra_freeze_r2","Vitvi01g01536","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00081","Vitvi02g00081","4 x 26","Riesl_freeze_r1","Vitvi02g00081","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00082","Vitvi02g00082","40 x 4","Riesl_warm_r2","Vitvi02g00082","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00083","Vitvi02g00083","9 x 1","Chard_freeze_r2","Vitvi02g00083","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00085","Vitvi02g00085","27 x 1","Chard_freeze_r3","Vitvi02g00085","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00086","Vitvi02g00086","40 x 5","Chard_warm_r1","Vitvi02g00086","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00189","Vitvi02g00189","14 x 30","Sangio_accfreeze_r1","Vitvi02g00189","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00674","Vitvi02g00674","34 x 29","CabFra_warm_r2","Vitvi02g00674","The incorporation of iron and exogenous sulfur into a metallo-sulfur cluster."
"Vitvi02g00726","Vitvi02g00726","35 x 36","Sangio_warm_r1","Vitvi02g00726","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01205","Vitvi02g01205","28 x 7","Riesl_freeze_r1","Vitvi02g01205","The double lipid bilayer enclosing the chloroplast and separating its contents from the rest of the cytoplasm; includes the intermembrane space."
"Vitvi02g01279","Vitvi02g01279","40 x 15","Chard_warm_r1","Vitvi02g01279","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01331","Vitvi02g01331","25 x 2","Tocai_freeze_r3","Vitvi02g01331","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01669","Vitvi02g01669","12 x 28","Tocai_acclim_r2","Vitvi02g01669","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g01185","Vitvi03g01185","15 x 40","Riesl_accfreeze_r1","Vitvi03g01185","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01833","Vitvi03g01833","40 x 1","Tocai_freeze_r3","Vitvi03g01833","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g01834","Vitvi03g01834","10 x 1","Tocai_freeze_r2","Vitvi03g01834","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00365","Vitvi04g00365","26 x 31","Chard_acclim_r3","Vitvi04g00365","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01142","Vitvi04g01142","29 x 13","CabFra_warm_r2","Vitvi04g01142","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01694","Vitvi04g01694","25 x 34","Riesl_acclim_r3","Vitvi04g01694","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g00243","Vitvi05g00243","40 x 5","Chard_warm_r3","Vitvi05g00243","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g00401","Vitvi05g00401","23 x 24","Riesl_freeze_r3","Vitvi05g00401","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi05g01327","Vitvi05g01327","27 x 5","Tocai_freeze_r2","Vitvi05g01327","A complex for the transport of metabolites into and out of the cell, typically comprised of four domains; two membrane-associated domains and two ATP-binding domains at the intracellular face of the membrane, that form a central pore through the plasma membrane. Each of the four core domains may be encoded as a separate polypeptide or the domains can be fused in any one of a number of ways into multidomain polypeptides. In Bacteria and Archaebacteria, ABC transporters also include substrate binding proteins to bind substrate external to the cytoplasm and deliver it to the transporter."
"Vitvi05g01547","Vitvi05g01547","34 x 18","Tocai_warm_r2","Vitvi05g01547","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00242","Vitvi06g00242","6 x 31","Chard_freeze_r3","Vitvi06g00242","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00409","Vitvi06g00409","13 x 29","Tocai_accfreeze_r3","Vitvi06g00409","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00831","Vitvi06g00831","29 x 6","Chard_freeze_r3","Vitvi06g00831","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01288","Vitvi06g01288","33 x 37","Sangio_warm_r3","Vitvi06g01288","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01289","Vitvi06g01289","20 x 40","Tocai_accfreeze_r3","Vitvi06g01289","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01290","Vitvi06g01290","10 x 40","Riesl_acclim_r1","Vitvi06g01290","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01293","Vitvi06g01293","39 x 27","Tocai_warm_r3","Vitvi06g01293","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01306","Vitvi06g01306","32 x 36","Tocai_acclim_r3","Vitvi06g01306","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01313","Vitvi06g01313","1 x 24","CabFra_freeze_r1","Vitvi06g01313","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01949","Vitvi06g01949","3 x 6","Sangio_freeze_r3","Vitvi06g01949","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01950","Vitvi06g01950","5 x 6","CabFra_freeze_r2","Vitvi06g01950","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00015","Vitvi07g00015","12 x 35","Riesl_accfreeze_r1","Vitvi07g00015","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00311","Vitvi07g00311","5 x 15","Tocai_accfreeze_r3","Vitvi07g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00534","Vitvi07g00534","8 x 9","CabFra_freeze_r2","Vitvi07g00534","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00623","Vitvi07g00623","21 x 18","Sangio_freeze_r1","Vitvi07g00623","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00625","Vitvi07g00625","40 x 5","Chard_freeze_r1","Vitvi07g00625","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01818","Vitvi07g01818","38 x 8","Riesl_warm_r1","Vitvi07g01818","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01840","Vitvi07g01840","13 x 4","Tocai_freeze_r2","Vitvi07g01840","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01921","Vitvi07g01921","33 x 34","Riesl_warm_r1","Vitvi07g01921","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g02301","Vitvi07g02301","23 x 36","Riesl_acclim_r1","Vitvi07g02301","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
