"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00355","Vitvi01g00355","4 x 14","Tocai_accfreeze_r3","Vitvi01g00355","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00595","Vitvi01g00595","12 x 15","Chard_acclim_r2","Vitvi01g00595","Binding to a nucleic acid."
"Vitvi02g00044","Vitvi02g00044","20 x 22","Sangio_accfreeze_r1","Vitvi02g00044","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00135","Vitvi02g00135","18 x 21","Riesl_acclim_r1","Vitvi02g00135",""
"Vitvi02g00210","Vitvi02g00210","28 x 21","CabFra_warm_r3","Vitvi02g00210","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00118","Vitvi03g00118","15 x 26","Riesl_freeze_r3","Vitvi03g00118","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00226","Vitvi03g00226","25 x 40","Tocai_acclim_r3","Vitvi03g00226","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g01252","Vitvi07g01252","31 x 19","CabFra_warm_r3","Vitvi07g01252","Binding to an RNA molecule or a portion thereof."
"Vitvi04g01448","Vitvi04g01448","11 x 33","Tocai_accfreeze_r2","Vitvi04g01448","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi04g01450","Vitvi04g01450","30 x 22","Tocai_warm_r3","Vitvi04g01450","A conserved protein complex that catalyzes methylation of histone H3. In Saccharomyces the complex contains Shg1p, Sdc1p, Swd1p, Swd2p, Swd3p, Spp1p, Bre2p, and the trithorax-related Set1p; in mammals it contains the catalytic subunit (SETD1A or SETD1B), WDR5, WDR82, RBBP5, ASH2L/ASH2, CXXC1/CFP1, HCFC1 and DPY30."
"Vitvi05g00151","Vitvi05g00151","2 x 17","Tocai_accfreeze_r2","Vitvi05g00151","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00731","Vitvi05g00731","30 x 7","Sangio_freeze_r3","Vitvi05g00731","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00540","Vitvi06g00540","33 x 31","Tocai_warm_r3","Vitvi06g00540","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01088","Vitvi06g01088","25 x 17","Sangio_freeze_r2","Vitvi06g01088","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01268","Vitvi06g01268","23 x 38","Riesl_acclim_r1","Vitvi06g01268","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00190","Vitvi07g00190","17 x 1","Sangio_freeze_r1","Vitvi07g00190","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi08g00644","Vitvi08g00644","16 x 25","Sangio_accfreeze_r1","Vitvi08g00644","A posttranscriptional gene silencing pathway in which regulatory RNAs elicit silencing of specific target genes, either by mRNA destabilization or inhibition of translation."
"Vitvi08g01314","Vitvi08g01314","12 x 13","Tocai_freeze_r2","Vitvi08g01314","Binding to a metal ion."
"Vitvi08g01322","Vitvi08g01322","10 x 25","Tocai_accfreeze_r3","Vitvi08g01322","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01441","Vitvi08g01441","28 x 16","Tocai_warm_r3","Vitvi08g01441","Binding to an RNA molecule or a portion thereof."
"Vitvi08g01511","Vitvi08g01511","17 x 22","Riesl_freeze_r1","Vitvi08g01511","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi09g00277","Vitvi09g00277","19 x 39","Tocai_accfreeze_r2","Vitvi09g00277","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00384","Vitvi09g00384","21 x 10","Sangio_freeze_r2","Vitvi09g00384","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00035","Vitvi10g00035","29 x 10","Riesl_freeze_r2","Vitvi10g00035","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi10g00907","Vitvi10g00907","13 x 7","Sangio_freeze_r3","Vitvi10g00907","Binding to a metal ion."
"Vitvi10g01566","Vitvi10g01566","24 x 16","CabFra_warm_r2","Vitvi10g01566","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01894","Vitvi10g01894","40 x 24","Tocai_warm_r3","Vitvi10g01894","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
"Vitvi11g00135","Vitvi11g00135","1 x 26","Tocai_accfreeze_r2","Vitvi11g00135","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi11g00954","Vitvi11g00954","17 x 24","Riesl_freeze_r2","Vitvi11g00954","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g01868","Vitvi12g01868","4 x 12","Sangio_accfreeze_r1","Vitvi12g01868","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi12g01937","Vitvi12g01937","13 x 40","Riesl_acclim_r3","Vitvi12g01937","Binding to an RNA molecule or a portion thereof."
"Vitvi12g01954","Vitvi12g01954","24 x 32","Riesl_acclim_r3","Vitvi12g01954","Binding to an RNA molecule or a portion thereof."
"Vitvi12g02297","Vitvi12g02297","10 x 30","Riesl_accfreeze_r3","Vitvi12g02297","Binding to a nucleic acid."
"Vitvi13g00362","Vitvi13g00362","12 x 9","CabFra_freeze_r3","Vitvi13g00362","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
