"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00025","Vitvi02g00025","13 x 1","Riesl_freeze_r1","Vitvi02g00025","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00535","Vitvi02g00535","5 x 32","CabFra_accfreeze_r2","Vitvi02g00535","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00798","Vitvi02g00798","4 x 20","Riesl_freeze_r3","Vitvi02g00798","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00492","Vitvi03g00492","2 x 12","Sangio_freeze_r3","Vitvi03g00492","The process in which peroxisomes are delivered to a type of vacuole and degraded in response to changing nutrient conditions."
"Vitvi07g01236","Vitvi07g01236","12 x 13","CabFra_freeze_r3","Vitvi07g01236","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi10g00217","Vitvi10g00217","26 x 1","Riesl_freeze_r1","Vitvi10g00217","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01617","Vitvi04g01617","3 x 16","Sangio_freeze_r3","Vitvi04g01617","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00256","Vitvi05g00256","11 x 1","Riesl_freeze_r3","Vitvi05g00256","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00485","Vitvi07g00485","8 x 8","Sangio_freeze_r3","Vitvi07g00485","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00580","Vitvi07g00580","5 x 19","Riesl_freeze_r3","Vitvi07g00580","The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."
"Vitvi07g00710","Vitvi07g00710","15 x 31","Sangio_accfreeze_r1","Vitvi07g00710","Binding to a protein."
"Vitvi08g00828","Vitvi08g00828","14 x 5","Tocai_freeze_r3","Vitvi08g00828","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g00935","Vitvi08g00935","3 x 16","Chard_freeze_r2","Vitvi08g00935","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01267","Vitvi08g01267","8 x 14","Tocai_accfreeze_r3","Vitvi08g01267","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01379","Vitvi08g01379","5 x 38","Tocai_accfreeze_r3","Vitvi08g01379","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g00111","Vitvi09g00111","16 x 32","Sangio_accfreeze_r1","Vitvi09g00111","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00571","Vitvi10g00571","11 x 25","Sangio_accfreeze_r1","Vitvi10g00571","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00599","Vitvi10g00599","10 x 3","Riesl_freeze_r1","Vitvi10g00599","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00677","Vitvi11g00677","15 x 22","Tocai_accfreeze_r3","Vitvi11g00677","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00777","Vitvi11g00777","2 x 20","CabFra_freeze_r3","Vitvi11g00777","A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell."
"Vitvi11g00813","Vitvi11g00813","6 x 17","Riesl_freeze_r3","Vitvi11g00813","Binding to a protein."
"Vitvi11g01163","Vitvi11g01163","9 x 24","Riesl_freeze_r3","Vitvi11g01163","The process involved in the specification of cell identity. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment."
"Vitvi12g00370","Vitvi12g00370","9 x 15","Sangio_freeze_r1","Vitvi12g00370","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi12g00752","Vitvi12g00752","13 x 5","Tocai_freeze_r2","Vitvi12g00752","Binding to a protein."
"Vitvi13g00149","Vitvi13g00149","15 x 19","CabFra_accfreeze_r1","Vitvi13g00149","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g01539","Vitvi13g01539","1 x 14","Riesl_freeze_r1","Vitvi13g01539","Binding to a protein."
"Vitvi14g02002","Vitvi14g02002","11 x 33","CabFra_acclim_r2","Vitvi14g02002","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
