"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00190","Vitvi01g00190","16 x 30","Sangio_accfreeze_r1","Vitvi01g00190","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00488","Vitvi01g00488","25 x 18","CabFra_warm_r2","Vitvi01g00488","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi01g00613","Vitvi01g00613","16 x 28","Riesl_freeze_r3","Vitvi01g00613","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi01g01620","Vitvi01g01620","31 x 18","Tocai_freeze_r3","Vitvi01g01620","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi02g00110","Vitvi02g00110","40 x 1","Tocai_freeze_r1","Vitvi02g00110","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi02g00411","Vitvi02g00411","21 x 23","CabFra_warm_r3","Vitvi02g00411","The directed movement of substances within a cell."
"Vitvi02g00627","Vitvi02g00627","16 x 6","Riesl_freeze_r3","Vitvi02g00627","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00103","Vitvi03g00103","17 x 29","Tocai_accfreeze_r3","Vitvi03g00103","The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules."
"Vitvi03g00180","Vitvi03g00180","18 x 31","Tocai_warm_r3","Vitvi03g00180","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi03g01316","Vitvi03g01316","16 x 29","Tocai_accfreeze_r2","Vitvi03g01316","Binding to a protein."
"Vitvi04g00059","Vitvi04g00059","3 x 23","Sangio_freeze_r2","Vitvi04g00059","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00293","Vitvi04g00293","24 x 38","Tocai_accfreeze_r3","Vitvi04g00293","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00474","Vitvi04g00474","17 x 33","Sangio_acclim_r2","Vitvi04g00474","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00949","Vitvi04g00949","21 x 20","Tocai_accfreeze_r3","Vitvi04g00949","Binding to a large ribosomal subunit."
"Vitvi04g01672","Vitvi04g01672","28 x 23","Chard_acclim_r1","Vitvi04g01672","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00454","Vitvi05g00454","34 x 27","CabFra_warm_r2","Vitvi05g00454","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01356","Vitvi05g01356","15 x 27","Sangio_accfreeze_r1","Vitvi05g01356","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g01765","Vitvi05g01765","5 x 40","Tocai_accfreeze_r2","Vitvi05g01765","The directed movement of a protein from the cytoplasm to the nucleus."
"Vitvi06g00017","Vitvi06g00017","15 x 24","Sangio_freeze_r3","Vitvi06g00017","The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules."
"Vitvi06g00053","Vitvi06g00053","6 x 35","Tocai_accfreeze_r2","Vitvi06g00053","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00429","Vitvi06g00429","27 x 16","Sangio_accfreeze_r1","Vitvi06g00429","Binding to a nucleic acid."
"Vitvi06g00516","Vitvi06g00516","15 x 21","Riesl_warm_r1","Vitvi06g00516","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi06g01131","Vitvi06g01131","21 x 8","CabFra_freeze_r1","Vitvi06g01131","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi06g01268","Vitvi06g01268","23 x 38","Riesl_acclim_r1","Vitvi06g01268","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01501","Vitvi06g01501","22 x 21","Tocai_warm_r3","Vitvi06g01501","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00179","Vitvi07g00179","36 x 20","Tocai_warm_r3","Vitvi07g00179","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi07g00382","Vitvi07g00382","23 x 21","Riesl_acclim_r1","Vitvi07g00382","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
