"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi03g00581","Vitvi03g00581","39 x 38","Tocai_acclim_r3","Vitvi03g00581","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi04g01481","Vitvi04g01481","35 x 38","Riesl_acclim_r3","Vitvi04g01481","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g00986","Vitvi05g00986","16 x 34","Sangio_accfreeze_r2","Vitvi05g00986","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01323","Vitvi06g01323","4 x 36","CabFra_accfreeze_r3","Vitvi06g01323","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi09g00190","Vitvi09g00190","24 x 37","Sangio_acclim_r1","Vitvi09g00190","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02063","Vitvi12g02063","3 x 9","CabFra_freeze_r2","Vitvi12g02063","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00110","Vitvi13g00110","22 x 4","Sangio_warm_r2","Vitvi13g00110","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00245","Vitvi13g00245","25 x 9","Sangio_accfreeze_r1","Vitvi13g00245","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi13g01417","Vitvi13g01417","27 x 2","CabFra_freeze_r3","Vitvi13g01417","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi13g01853","Vitvi13g01853","21 x 7","Sangio_freeze_r1","Vitvi13g01853","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi14g01465","Vitvi14g01465","20 x 33","Tocai_accfreeze_r2","Vitvi14g01465","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi16g00455","Vitvi16g00455","30 x 14","Tocai_warm_r3","Vitvi16g00455","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g00875","Vitvi16g00875","40 x 38","Riesl_warm_r2","Vitvi16g00875","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00031","Vitvi17g00031","33 x 40","CabFra_acclim_r3","Vitvi17g00031","Binding to a metal ion."
"Vitvi17g00278","Vitvi17g00278","21 x 1","Sangio_freeze_r3","Vitvi17g00278","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi18g02248","Vitvi18g02248","25 x 39","Chard_acclim_r3","Vitvi18g02248","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
