"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00596","Vitvi01g00596","19 x 36","Tocai_acclim_r2","Vitvi01g00596","A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
"Vitvi01g01986","Vitvi01g01986","7 x 37","CabFra_accfreeze_r3","Vitvi01g01986","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00129","Vitvi03g00129","36 x 28","Sangio_accfreeze_r1","Vitvi03g00129","Binding to monomeric or multimeric forms of actin, including actin filaments."
"Vitvi03g00339","Vitvi03g00339","40 x 14","Chard_warm_r2","Vitvi03g00339","Binding to monomeric or multimeric forms of actin, including actin filaments."
"Vitvi04g00038","Vitvi04g00038","37 x 17","Sangio_warm_r2","Vitvi04g00038","A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
"Vitvi04g00172","Vitvi04g00172","16 x 27","Riesl_freeze_r3","Vitvi04g00172","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00739","Vitvi05g00739","40 x 5","Tocai_warm_r1","Vitvi05g00739","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00888","Vitvi05g00888","34 x 39","Sangio_warm_r3","Vitvi05g00888","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01981","Vitvi05g01981","38 x 34","Sangio_warm_r3","Vitvi05g01981","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g02079","Vitvi05g02079","7 x 32","Sangio_accfreeze_r1","Vitvi05g02079","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00424","Vitvi06g00424","21 x 26","Chard_accfreeze_r3","Vitvi06g00424","Binding to monomeric or multimeric forms of actin, including actin filaments."
"Vitvi07g00565","Vitvi07g00565","16 x 37","Tocai_acclim_r1","Vitvi07g00565","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00595","Vitvi07g00595","5 x 1","CabFra_freeze_r3","Vitvi07g00595","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00724","Vitvi07g00724","16 x 26","Riesl_freeze_r3","Vitvi07g00724","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01165","Vitvi08g01165","21 x 31","Chard_warm_r3","Vitvi08g01165","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g00162","Vitvi09g00162","16 x 25","Riesl_freeze_r3","Vitvi09g00162","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00273","Vitvi09g00273","35 x 27","Riesl_acclim_r3","Vitvi09g00273","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00637","Vitvi10g00637","8 x 27","Riesl_freeze_r3","Vitvi10g00637","Binding to a metal ion."
"Vitvi11g00023","Vitvi11g00023","7 x 13","CabFra_freeze_r3","Vitvi11g00023","Binding to a metal ion."
"Vitvi11g00129","Vitvi11g00129","35 x 32","Chard_warm_r2","Vitvi11g00129","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00248","Vitvi11g00248","11 x 4","Tocai_freeze_r2","Vitvi11g00248","A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
"Vitvi11g00554","Vitvi11g00554","11 x 9","CabFra_freeze_r3","Vitvi11g00554","A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
"Vitvi12g02215","Vitvi12g02215","10 x 26","Tocai_accfreeze_r2","Vitvi12g02215","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00269","Vitvi13g00269","16 x 20","CabFra_freeze_r3","Vitvi13g00269","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g01857","Vitvi13g01857","9 x 11","Sangio_freeze_r1","Vitvi13g01857","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g00499","Vitvi14g00499","7 x 20","Sangio_freeze_r3","Vitvi14g00499","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g01513","Vitvi14g01513","12 x 32","Chard_acclim_r2","Vitvi14g01513","A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
"Vitvi15g00578","Vitvi15g00578","5 x 28","Chard_warm_r1","Vitvi15g00578","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi15g00731","Vitvi15g00731","6 x 40","Riesl_accfreeze_r3","Vitvi15g00731","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi16g01027","Vitvi16g01027","12 x 9","Tocai_freeze_r2","Vitvi16g01027","Binding to a zinc ion (Zn)."
"Vitvi19g00060","Vitvi19g00060","5 x 15","CabFra_freeze_r3","Vitvi19g00060","Binding to a metal ion."
"Vitvi19g00297","Vitvi19g00297","39 x 12","Riesl_warm_r1","Vitvi19g00297","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
