"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00237","Vitvi02g00237","40 x 16","Tocai_warm_r1","Vitvi02g00237","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00181","Vitvi04g00181","18 x 23","Riesl_freeze_r3","Vitvi04g00181","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01217","Vitvi07g01217","13 x 1","Riesl_freeze_r2","Vitvi07g01217","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01475","Vitvi04g01475","40 x 40","Tocai_acclim_r3","Vitvi04g01475","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01702","Vitvi05g01702","10 x 4","CabFra_freeze_r3","Vitvi05g01702","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00308","Vitvi06g00308","1 x 9","Sangio_freeze_r3","Vitvi06g00308","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00310","Vitvi06g00310","1 x 9","Sangio_freeze_r3","Vitvi06g00310","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01896","Vitvi07g01896","1 x 23","Sangio_accfreeze_r1","Vitvi07g01896","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01055","Vitvi08g01055","5 x 7","CabFra_freeze_r2","Vitvi08g01055","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01056","Vitvi08g01056","11 x 1","Chard_freeze_r3","Vitvi08g01056","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01109","Vitvi08g01109","28 x 11","Sangio_freeze_r1","Vitvi08g01109","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00509","Vitvi10g00509","1 x 1","Riesl_freeze_r1","Vitvi10g00509","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02167","Vitvi12g02167","17 x 40","Chard_accfreeze_r1","Vitvi12g02167","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00226","Vitvi13g00226","20 x 6","Sangio_freeze_r1","Vitvi13g00226","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00578","Vitvi13g00578","1 x 4","CabFra_freeze_r2","Vitvi13g00578","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00579","Vitvi13g00579","2 x 35","Sangio_accfreeze_r1","Vitvi13g00579","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00061","Vitvi18g00061","24 x 30","Sangio_freeze_r1","Vitvi18g00061","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00243","Vitvi19g00243","40 x 14","Riesl_warm_r2","Vitvi19g00243","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
