"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00190","Vitvi01g00190","16 x 30","Sangio_accfreeze_r1","Vitvi01g00190","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00341","Vitvi02g00341","9 x 40","Sangio_accfreeze_r1","Vitvi02g00341","Binding to a metal ion."
"Vitvi02g01669","Vitvi02g01669","12 x 28","Tocai_acclim_r2","Vitvi02g01669","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00180","Vitvi03g00180","18 x 31","Tocai_warm_r3","Vitvi03g00180","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi04g00419","Vitvi04g00419","12 x 34","Sangio_accfreeze_r2","Vitvi04g00419","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00208","Vitvi05g00208","1 x 14","Chard_acclim_r2","Vitvi05g00208","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi05g01356","Vitvi05g01356","15 x 27","Sangio_accfreeze_r1","Vitvi05g01356","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g01701","Vitvi05g01701","28 x 11","Sangio_accfreeze_r1","Vitvi05g01701","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00053","Vitvi06g00053","6 x 35","Tocai_accfreeze_r2","Vitvi06g00053","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00329","Vitvi06g00329","30 x 20","Tocai_acclim_r3","Vitvi06g00329","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi07g00205","Vitvi07g00205","21 x 23","Tocai_freeze_r2","Vitvi07g00205","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00364","Vitvi07g00364","12 x 30","Sangio_accfreeze_r1","Vitvi07g00364","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00409","Vitvi07g00409","25 x 25","Sangio_accfreeze_r1","Vitvi07g00409","Catalysis of the dimethylation of two adjacent adenine residues in a rRNA, using S-adenosyl-L-methionine as a methyl donor."
"Vitvi07g00474","Vitvi07g00474","1 x 2","Sangio_accfreeze_r1","Vitvi07g00474","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi07g01798","Vitvi07g01798","1 x 33","Tocai_accfreeze_r3","Vitvi07g01798","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01841","Vitvi07g01841","18 x 34","Tocai_acclim_r3","Vitvi07g01841","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01889","Vitvi07g01889","33 x 11","Sangio_warm_r3","Vitvi07g01889","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi08g00739","Vitvi08g00739","37 x 23","CabFra_warm_r2","Vitvi08g00739","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00869","Vitvi08g00869","19 x 35","Sangio_accfreeze_r1","Vitvi08g00869","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01798","Vitvi08g01798","28 x 5","Riesl_freeze_r3","Vitvi08g01798","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi09g00513","Vitvi09g00513","24 x 5","CabFra_freeze_r3","Vitvi09g00513","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00299","Vitvi11g00299","11 x 28","Chard_acclim_r2","Vitvi11g00299","The process in which a methyl group is covalently attached to a molecule."
"Vitvi11g00591","Vitvi11g00591","31 x 33","Sangio_warm_r3","Vitvi11g00591","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi11g01104","Vitvi11g01104","9 x 30","Sangio_accfreeze_r1","Vitvi11g01104","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi12g01897","Vitvi12g01897","17 x 31","Sangio_accfreeze_r1","Vitvi12g01897","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi13g01234","Vitvi13g01234","11 x 14","Sangio_freeze_r3","Vitvi13g01234","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00245","Vitvi14g00245","12 x 13","Sangio_freeze_r3","Vitvi14g00245","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g00155","Vitvi16g00155","38 x 15","Tocai_warm_r3","Vitvi16g00155","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01394","Vitvi16g01394","18 x 27","Riesl_freeze_r3","Vitvi16g01394","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00111","Vitvi17g00111","22 x 25","Chard_acclim_r2","Vitvi17g00111","Binding to a metal ion."
"Vitvi17g00403","Vitvi17g00403","3 x 38","Chard_accfreeze_r3","Vitvi17g00403","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00072","Vitvi18g00072","10 x 33","Sangio_accfreeze_r1","Vitvi18g00072","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi18g00099","Vitvi18g00099","25 x 25","CabFra_warm_r3","Vitvi18g00099","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00171","Vitvi18g00171","1 x 40","Chard_accfreeze_r1","Vitvi18g00171","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi18g01051","Vitvi18g01051","2 x 22","CabFra_accfreeze_r3","Vitvi18g01051","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
