"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi00g00615","Vitvi00g00615","11 x 8","CabFra_freeze_r3","Vitvi00g00615","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi01g00060","Vitvi01g00060","34 x 22","CabFra_warm_r2","Vitvi01g00060","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g00114","Vitvi01g00114","27 x 21","Chard_freeze_r3","Vitvi01g00114","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g00142","Vitvi01g00142","34 x 21","CabFra_warm_r1","Vitvi01g00142","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g00293","Vitvi01g00293","36 x 35","Riesl_acclim_r3","Vitvi01g00293","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g00971","Vitvi01g00971","35 x 19","CabFra_warm_r3","Vitvi01g00971","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g01792","Vitvi01g01792","31 x 25","CabFra_warm_r3","Vitvi01g01792","Binding to a metal ion."
"Vitvi01g01809","Vitvi01g01809","33 x 26","Tocai_warm_r3","Vitvi01g01809","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g01814","Vitvi01g01814","32 x 23","CabFra_warm_r2","Vitvi01g01814","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi01g02258","Vitvi01g02258","33 x 25","CabFra_warm_r1","Vitvi01g02258","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00175","Vitvi02g00175","36 x 32","CabFra_warm_r3","Vitvi02g00175","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00249","Vitvi02g00249","32 x 21","CabFra_warm_r1","Vitvi02g00249","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00261","Vitvi02g00261","38 x 34","Riesl_acclim_r3","Vitvi02g00261","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g00599","Vitvi02g00599","36 x 20","CabFra_warm_r3","Vitvi02g00599","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g01321","Vitvi02g01321","10 x 30","Sangio_accfreeze_r1","Vitvi02g01321","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g01585","Vitvi02g01585","34 x 1","Sangio_accfreeze_r1","Vitvi02g01585","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi02g01664","Vitvi02g01664","18 x 10","CabFra_freeze_r3","Vitvi02g01664","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g00303","Vitvi03g00303","30 x 25","Tocai_warm_r3","Vitvi03g00303","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi03g00330","Vitvi03g00330","30 x 21","CabFra_warm_r3","Vitvi03g00330","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi03g00525","Vitvi03g00525","35 x 23","Tocai_warm_r3","Vitvi03g00525","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi03g00625","Vitvi03g00625","38 x 21","CabFra_warm_r3","Vitvi03g00625","Binding to a zinc ion (Zn)."
"Vitvi03g01190","Vitvi03g01190","35 x 22","CabFra_warm_r2","Vitvi03g01190","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi04g00064","Vitvi04g00064","32 x 25","CabFra_warm_r3","Vitvi04g00064","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi04g00149","Vitvi04g00149","35 x 21","CabFra_warm_r2","Vitvi04g00149","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
