"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00326","Vitvi01g00326","10 x 26","Riesl_freeze_r2","Vitvi01g00326","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01049","Vitvi01g01049","18 x 27","Sangio_acclim_r2","Vitvi01g01049","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00103","Vitvi02g00103","26 x 4","Tocai_freeze_r3","Vitvi02g00103","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00693","Vitvi02g00693","35 x 35","Sangio_warm_r3","Vitvi02g00693","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00248","Vitvi03g00248","11 x 1","Chard_freeze_r3","Vitvi03g00248","The component of the mitochondrial inner membrane consisting of the gene products having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00093","Vitvi04g00093","25 x 11","Sangio_freeze_r1","Vitvi04g00093","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00466","Vitvi04g00466","30 x 38","Riesl_acclim_r1","Vitvi04g00466","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01805","Vitvi04g01805","1 x 21","Tocai_freeze_r2","Vitvi04g01805","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01381","Vitvi04g01381","10 x 13","CabFra_freeze_r3","Vitvi04g01381","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi05g00218","Vitvi05g00218","18 x 24","Riesl_freeze_r2","Vitvi05g00218","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00303","Vitvi05g00303","24 x 22","Chard_accfreeze_r3","Vitvi05g00303","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
