"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00052","Vitvi01g00052","40 x 37","CabFra_warm_r3","Vitvi01g00052","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00053","Vitvi01g00053","34 x 5","Riesl_warm_r1","Vitvi01g00053","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00955","Vitvi01g00955","22 x 4","Tocai_warm_r1","Vitvi01g00955","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi02g00410","Vitvi02g00410","1 x 32","Chard_accfreeze_r1","Vitvi02g00410","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi04g00494","Vitvi04g00494","4 x 13","Sangio_accfreeze_r1","Vitvi04g00494","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi04g00583","Vitvi04g00583","19 x 18","CabFra_freeze_r3","Vitvi04g00583","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00620","Vitvi04g00620","3 x 34","Tocai_accfreeze_r3","Vitvi04g00620","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01381","Vitvi07g01381","15 x 33","Tocai_acclim_r2","Vitvi07g01381","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00734","Vitvi04g00734","39 x 11","Chard_warm_r3","Vitvi04g00734","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01396","Vitvi05g01396","3 x 27","Riesl_acclim_r2","Vitvi05g01396","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00268","Vitvi06g00268","36 x 32","Tocai_freeze_r1","Vitvi06g00268","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00789","Vitvi06g00789","34 x 29","CabFra_warm_r1","Vitvi06g00789","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi06g01681","Vitvi06g01681","5 x 11","CabFra_freeze_r3","Vitvi06g01681","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00916","Vitvi07g00916","16 x 22","CabFra_freeze_r1","Vitvi07g00916","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01478","Vitvi08g01478","40 x 23","CabFra_warm_r2","Vitvi08g01478","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01480","Vitvi08g01480","30 x 6","Sangio_freeze_r3","Vitvi08g01480","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00037","Vitvi10g00037","21 x 4","Sangio_freeze_r1","Vitvi10g00037","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00499","Vitvi10g00499","23 x 34","Sangio_acclim_r2","Vitvi10g00499","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00505","Vitvi11g00505","11 x 4","Chard_freeze_r3","Vitvi11g00505","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g00122","Vitvi12g00122","20 x 31","Sangio_acclim_r2","Vitvi12g00122","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00175","Vitvi13g00175","6 x 21","CabFra_accfreeze_r2","Vitvi13g00175","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01739","Vitvi14g01739","36 x 40","CabFra_acclim_r1","Vitvi14g01739","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00144","Vitvi15g00144","40 x 19","Sangio_warm_r1","Vitvi15g00144","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00754","Vitvi15g00754","29 x 38","Sangio_acclim_r1","Vitvi15g00754","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01017","Vitvi15g01017","22 x 38","CabFra_acclim_r1","Vitvi15g01017","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00833","Vitvi17g00833","34 x 20","Tocai_warm_r3","Vitvi17g00833","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00457","Vitvi19g00457","21 x 25","Chard_warm_r2","Vitvi19g00457","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
