"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00978","Vitvi01g00978","18 x 30","Riesl_acclim_r3","Vitvi01g00978","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00311","Vitvi03g00311","38 x 25","CabFra_warm_r1","Vitvi03g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00242","Vitvi04g00242","40 x 26","Tocai_warm_r3","Vitvi04g00242","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00378","Vitvi04g00378","29 x 32","Tocai_freeze_r3","Vitvi04g00378","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00503","Vitvi04g00503","31 x 15","Tocai_warm_r3","Vitvi04g00503","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00526","Vitvi04g00526","19 x 20","Sangio_freeze_r2","Vitvi04g00526","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01469","Vitvi07g01469","11 x 33","Chard_acclim_r3","Vitvi07g01469","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g00851","Vitvi05g00851","10 x 15","Sangio_accfreeze_r1","Vitvi05g00851","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00991","Vitvi05g00991","36 x 15","CabFra_warm_r1","Vitvi05g00991","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g01631","Vitvi05g01631","17 x 19","Sangio_freeze_r1","Vitvi05g01631","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01517","Vitvi06g01517","1 x 22","CabFra_freeze_r3","Vitvi06g01517","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00373","Vitvi07g00373","1 x 33","Tocai_accfreeze_r3","Vitvi07g00373","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00567","Vitvi07g00567","30 x 11","Chard_warm_r1","Vitvi07g00567","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi08g00118","Vitvi08g00118","21 x 7","Sangio_freeze_r3","Vitvi08g00118","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00187","Vitvi08g00187","12 x 30","Sangio_accfreeze_r1","Vitvi08g00187","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00283","Vitvi08g00283","1 x 1","Sangio_freeze_r2","Vitvi08g00283","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01053","Vitvi08g01053","25 x 26","Tocai_accfreeze_r3","Vitvi08g01053","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g02308","Vitvi08g02308","7 x 14","Tocai_accfreeze_r3","Vitvi08g02308","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
