"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi10g00358","Vitvi10g00358","9 x 16","Sangio_freeze_r3","Vitvi10g00358","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01302","Vitvi04g01302","4 x 37","Sangio_accfreeze_r1","Vitvi04g01302","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00468","Vitvi05g00468","2 x 2","CabFra_freeze_r3","Vitvi05g00468","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01869","Vitvi05g01869","27 x 3","Riesl_freeze_r1","Vitvi05g01869","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00207","Vitvi07g00207","1 x 6","Sangio_freeze_r1","Vitvi07g00207","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00288","Vitvi10g00288","14 x 3","Sangio_warm_r1","Vitvi10g00288","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00839","Vitvi10g00839","5 x 31","Sangio_acclim_r3","Vitvi10g00839","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00290","Vitvi11g00290","6 x 12","Tocai_accfreeze_r2","Vitvi11g00290","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00311","Vitvi14g00311","30 x 29","Tocai_acclim_r1","Vitvi14g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g02582","Vitvi14g02582","39 x 33","Chard_warm_r1","Vitvi14g02582","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00479","Vitvi16g00479","7 x 11","Tocai_accfreeze_r2","Vitvi16g00479","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00397","Vitvi18g00397","20 x 2","Sangio_accfreeze_r3","Vitvi18g00397","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00970","Vitvi18g00970","5 x 33","Riesl_freeze_r3","Vitvi18g00970","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
