"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00260","Vitvi01g00260","38 x 20","Tocai_warm_r3","Vitvi01g00260","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi02g00089","Vitvi02g00089","1 x 15","Tocai_freeze_r2","Vitvi02g00089","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi02g00796","Vitvi02g00796","12 x 26","Sangio_accfreeze_r1","Vitvi02g00796","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00146","Vitvi03g00146","18 x 6","Sangio_freeze_r2","Vitvi03g00146","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g01574","Vitvi03g01574","13 x 2","Riesl_warm_r1","Vitvi03g01574","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00240","Vitvi04g00240","9 x 1","Tocai_freeze_r3","Vitvi04g00240","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g01363","Vitvi04g01363","23 x 13","Tocai_acclim_r3","Vitvi04g01363","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g02098","Vitvi04g02098","15 x 9","Sangio_freeze_r2","Vitvi04g02098","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00274","Vitvi05g00274","32 x 7","Chard_freeze_r3","Vitvi05g00274","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
"Vitvi06g01073","Vitvi06g01073","21 x 27","Riesl_warm_r2","Vitvi06g01073","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi06g01480","Vitvi06g01480","5 x 17","Riesl_freeze_r1","Vitvi06g01480","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00413","Vitvi07g00413","23 x 7","Sangio_warm_r3","Vitvi07g00413","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
