"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi03g00037","Vitvi03g00037","1 x 5","Sangio_accfreeze_r1","Vitvi03g00037","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00111","Vitvi04g00111","40 x 5","Chard_warm_r3","Vitvi04g00111","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00289","Vitvi04g00289","35 x 28","CabFra_warm_r3","Vitvi04g00289","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01410","Vitvi04g01410","35 x 28","Tocai_warm_r3","Vitvi04g01410","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00077","Vitvi05g00077","40 x 36","Chard_warm_r2","Vitvi05g00077","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi05g00938","Vitvi05g00938","26 x 29","Tocai_warm_r3","Vitvi05g00938","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01831","Vitvi08g01831","34 x 39","Sangio_warm_r1","Vitvi08g01831","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00311","Vitvi09g00311","40 x 31","CabFra_warm_r3","Vitvi09g00311","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01352","Vitvi09g01352","34 x 17","CabFra_warm_r3","Vitvi09g01352","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00180","Vitvi11g00180","35 x 37","CabFra_acclim_r3","Vitvi11g00180","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi13g00614","Vitvi13g00614","37 x 11","Tocai_freeze_r2","Vitvi13g00614","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00123","Vitvi14g00123","24 x 14","CabFra_warm_r3","Vitvi14g00123","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi14g02998","Vitvi14g02998","13 x 34","Sangio_accfreeze_r1","Vitvi14g02998","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi15g00636","Vitvi15g00636","29 x 38","Chard_acclim_r1","Vitvi15g00636","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00538","Vitvi18g00538","27 x 8","Riesl_freeze_r3","Vitvi18g00538","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
