"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi07g01060","Vitvi07g01060","20 x 18","CabFra_acclim_r1","Vitvi07g01060","Binding to a protein."
"Vitvi10g00221","Vitvi10g00221","20 x 21","Tocai_accfreeze_r2","Vitvi10g00221","Binding to a protein."
"Vitvi04g01406","Vitvi04g01406","18 x 23","Sangio_freeze_r2","Vitvi04g01406","A multisubunit protein complex that contains the Ino80p ATPase; exhibits chromatin remodeling activity."
"Vitvi04g01986","Vitvi04g01986","5 x 25","Riesl_freeze_r1","Vitvi04g01986","A mitotic cell cycle checkpoint that detects and negatively regulates progression through the G2/M transition of the cell cycle in response to DNA damage."
"Vitvi05g00451","Vitvi05g00451","1 x 32","Chard_acclim_r2","Vitvi05g00451","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi06g01061","Vitvi06g01061","27 x 33","Riesl_acclim_r3","Vitvi06g01061","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi07g00303","Vitvi07g00303","4 x 32","Tocai_accfreeze_r3","Vitvi07g00303","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01745","Vitvi07g01745","33 x 8","Sangio_warm_r3","Vitvi07g01745","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi12g00521","Vitvi12g00521","15 x 34","CabFra_warm_r2","Vitvi12g00521","Binding to a protein."
"Vitvi13g01817","Vitvi13g01817","6 x 12","Tocai_accfreeze_r3","Vitvi13g01817","Binding to the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes."
"Vitvi14g01310","Vitvi14g01310","7 x 24","Riesl_freeze_r2","Vitvi14g01310","Binding to a protein."
"Vitvi15g00726","Vitvi15g00726","21 x 38","Tocai_acclim_r1","Vitvi15g00726","Binding to a protein."
"Vitvi17g00124","Vitvi17g00124","16 x 34","Sangio_accfreeze_r1","Vitvi17g00124","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g01045","Vitvi18g01045","15 x 33","Tocai_accfreeze_r2","Vitvi18g01045","A multisubunit protein complex that contains the Ino80p ATPase; exhibits chromatin remodeling activity."
"Vitvi18g01661","Vitvi18g01661","38 x 22","Tocai_warm_r3","Vitvi18g01661","Binding to a protein."
"Vitvi19g00001","Vitvi19g00001","19 x 27","Riesl_warm_r1","Vitvi19g00001","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
