"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00116","Vitvi01g00116","19 x 36","Sangio_accfreeze_r1","Vitvi01g00116","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00266","Vitvi03g00266","28 x 11","Sangio_freeze_r1","Vitvi03g00266","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g01239","Vitvi03g01239","4 x 33","Sangio_accfreeze_r1","Vitvi03g01239","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g01243","Vitvi03g01243","15 x 33","Riesl_acclim_r1","Vitvi03g01243","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g01244","Vitvi03g01244","21 x 28","Riesl_warm_r1","Vitvi03g01244","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g01475","Vitvi03g01475","6 x 23","Sangio_freeze_r2","Vitvi03g01475","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g01198","Vitvi07g01198","13 x 15","Chard_freeze_r2","Vitvi07g01198","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01199","Vitvi07g01199","9 x 30","Riesl_accfreeze_r1","Vitvi07g01199",""
"Vitvi07g02480","Vitvi07g02480","11 x 14","Tocai_freeze_r2","Vitvi07g02480",""
"Vitvi10g00230","Vitvi10g00230","15 x 25","Chard_warm_r3","Vitvi10g00230","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01750","Vitvi04g01750","9 x 25","Chard_acclim_r1","Vitvi04g01750","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi05g00081","Vitvi05g00081","4 x 13","Sangio_freeze_r1","Vitvi05g00081","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi05g01497","Vitvi05g01497","12 x 8","Tocai_freeze_r2","Vitvi05g01497",""
"Vitvi05g01498","Vitvi05g01498","18 x 6","CabFra_freeze_r3","Vitvi05g01498",""
"Vitvi05g01499","Vitvi05g01499","11 x 28","Sangio_freeze_r2","Vitvi05g01499",""
"Vitvi05g01873","Vitvi05g01873","4 x 23","CabFra_freeze_r1","Vitvi05g01873","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g00384","Vitvi07g00384","24 x 28","CabFra_freeze_r1","Vitvi07g00384","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01733","Vitvi08g01733","11 x 27","Sangio_accfreeze_r1","Vitvi08g01733","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi12g00713","Vitvi12g00713","25 x 32","Tocai_acclim_r1","Vitvi12g00713","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g02073","Vitvi12g02073","5 x 40","Riesl_acclim_r1","Vitvi12g02073","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi13g01139","Vitvi13g01139","21 x 36","Riesl_accfreeze_r3","Vitvi13g01139","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi14g01432","Vitvi14g01432","5 x 20","Sangio_freeze_r1","Vitvi14g01432","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi14g02030","Vitvi14g02030","23 x 38","Sangio_acclim_r1","Vitvi14g02030","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00039","Vitvi18g00039","12 x 25","Sangio_freeze_r2","Vitvi18g00039","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g01884","Vitvi18g01884","35 x 1","Sangio_warm_r2","Vitvi18g01884","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi18g03049","Vitvi18g03049","2 x 29","Chard_acclim_r2","Vitvi18g03049","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
