"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00138","Vitvi01g00138","16 x 34","Tocai_acclim_r1","Vitvi01g00138","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00202","Vitvi01g00202","13 x 4","Sangio_freeze_r2","Vitvi01g00202","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi01g00482","Vitvi01g00482","7 x 13","Sangio_accfreeze_r1","Vitvi01g00482","Binding to a metal ion."
"Vitvi01g01405","Vitvi01g01405","18 x 8","Tocai_freeze_r2","Vitvi01g01405","Binding to a metal ion."
"Vitvi01g01659","Vitvi01g01659","18 x 22","Sangio_accfreeze_r1","Vitvi01g01659","Binding to a metal ion."
"Vitvi02g00204","Vitvi02g00204","14 x 11","CabFra_accfreeze_r3","Vitvi02g00204","Binding to a metal ion."
"Vitvi04g00392","Vitvi04g00392","19 x 36","Tocai_accfreeze_r2","Vitvi04g00392",""
"Vitvi04g01894","Vitvi04g01894","40 x 27","CabFra_warm_r3","Vitvi04g01894","Binding to a metal ion."
"Vitvi10g01230","Vitvi10g01230","7 x 15","Tocai_freeze_r2","Vitvi10g01230","Binding to a zinc ion (Zn)."
"Vitvi04g01447","Vitvi04g01447","8 x 39","Sangio_accfreeze_r1","Vitvi04g01447","Binding to a metal ion."
"Vitvi05g01475","Vitvi05g01475","28 x 7","Sangio_freeze_r2","Vitvi05g01475","Binding to a metal ion."
"Vitvi08g00104","Vitvi08g00104","24 x 20","Tocai_freeze_r3","Vitvi08g00104","Binding to a metal ion."
"Vitvi10g00637","Vitvi10g00637","8 x 27","Riesl_freeze_r3","Vitvi10g00637","Binding to a metal ion."
"Vitvi11g00023","Vitvi11g00023","7 x 13","CabFra_freeze_r3","Vitvi11g00023","Binding to a metal ion."
"Vitvi11g00312","Vitvi11g00312","16 x 8","CabFra_freeze_r3","Vitvi11g00312","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi11g00493","Vitvi11g00493","1 x 21","Tocai_accfreeze_r2","Vitvi11g00493","Binding to a zinc ion (Zn)."
"Vitvi12g00704","Vitvi12g00704","20 x 7","Sangio_freeze_r1","Vitvi12g00704","Binding to a nucleic acid."
"Vitvi13g00049","Vitvi13g00049","21 x 25","Sangio_freeze_r3","Vitvi13g00049","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00636","Vitvi13g00636","14 x 14","Tocai_freeze_r2","Vitvi13g00636","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi14g00231","Vitvi14g00231","9 x 34","Sangio_acclim_r2","Vitvi14g00231","Binding to a metal ion."
"Vitvi15g01427","Vitvi15g01427","26 x 7","Riesl_freeze_r1","Vitvi15g01427","Binding to a metal ion."
"Vitvi17g00161","Vitvi17g00161","3 x 17","CabFra_freeze_r2","Vitvi17g00161","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00198","Vitvi17g00198","23 x 21","Chard_freeze_r2","Vitvi17g00198","Binding to a metal ion."
"Vitvi18g00157","Vitvi18g00157","3 x 16","CabFra_freeze_r2","Vitvi18g00157","Binding to a zinc ion (Zn)."
"Vitvi19g00060","Vitvi19g00060","5 x 15","CabFra_freeze_r3","Vitvi19g00060","Binding to a metal ion."
