"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00940","Vitvi01g00940","4 x 4","CabFra_freeze_r2","Vitvi01g00940","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01680","Vitvi01g01680","3 x 3","Sangio_freeze_r3","Vitvi01g01680","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01844","Vitvi01g01844","4 x 19","CabFra_freeze_r2","Vitvi01g01844","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g02157","Vitvi01g02157","11 x 13","Sangio_freeze_r1","Vitvi01g02157","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00114","Vitvi02g00114","1 x 1","Riesl_freeze_r2","Vitvi02g00114","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00133","Vitvi04g00133","21 x 1","Tocai_warm_r1","Vitvi04g00133","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00510","Vitvi04g00510","3 x 7","Sangio_freeze_r1","Vitvi04g00510","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00511","Vitvi04g00511","1 x 1","Tocai_accfreeze_r3","Vitvi04g00511","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00596","Vitvi04g00596","31 x 20","Tocai_freeze_r3","Vitvi04g00596","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01163","Vitvi04g01163","8 x 20","Sangio_warm_r3","Vitvi04g01163","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00270","Vitvi10g00270","6 x 14","Tocai_accfreeze_r3","Vitvi10g00270","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00756","Vitvi04g00756","1 x 7","Sangio_freeze_r1","Vitvi04g00756","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00760","Vitvi04g00760","2 x 8","Sangio_freeze_r1","Vitvi04g00760","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00145","Vitvi05g00145","3 x 1","Sangio_freeze_r3","Vitvi05g00145","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01574","Vitvi06g01574","21 x 2","Tocai_acclim_r2","Vitvi06g01574","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
