"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00488","Vitvi01g00488","25 x 18","CabFra_warm_r2","Vitvi01g00488","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi01g00523","Vitvi01g00523","8 x 24","Riesl_freeze_r3","Vitvi01g00523","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi01g00572","Vitvi01g00572","30 x 24","CabFra_warm_r2","Vitvi01g00572","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00633","Vitvi01g00633","10 x 33","CabFra_accfreeze_r2","Vitvi01g00633","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi01g01747","Vitvi01g01747","9 x 36","Tocai_acclim_r1","Vitvi01g01747","Binding to an RNA molecule or a portion thereof."
"Vitvi01g02201","Vitvi01g02201","38 x 1","Sangio_warm_r2","Vitvi01g02201","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00135","Vitvi02g00135","18 x 21","Riesl_acclim_r1","Vitvi02g00135",""
"Vitvi02g00284","Vitvi02g00284","1 x 21","CabFra_accfreeze_r3","Vitvi02g00284","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi02g00627","Vitvi02g00627","16 x 6","Riesl_freeze_r3","Vitvi02g00627","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00103","Vitvi03g00103","17 x 29","Tocai_accfreeze_r3","Vitvi03g00103","The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules."
"Vitvi03g00531","Vitvi03g00531","10 x 31","Sangio_accfreeze_r1","Vitvi03g00531","Binding to a nucleic acid."
"Vitvi03g01316","Vitvi03g01316","16 x 29","Tocai_accfreeze_r2","Vitvi03g01316","Binding to a protein."
"Vitvi04g00083","Vitvi04g00083","34 x 22","CabFra_warm_r2","Vitvi04g00083","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00275","Vitvi04g00275","30 x 25","CabFra_warm_r2","Vitvi04g00275","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00293","Vitvi04g00293","24 x 38","Tocai_accfreeze_r3","Vitvi04g00293","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00327","Vitvi04g00327","30 x 26","CabFra_warm_r3","Vitvi04g00327","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00474","Vitvi04g00474","17 x 33","Sangio_acclim_r2","Vitvi04g00474","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00609","Vitvi04g00609","15 x 27","Sangio_accfreeze_r1","Vitvi04g00609","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00640","Vitvi04g00640","28 x 16","Tocai_warm_r3","Vitvi04g00640","Binding to a nucleic acid."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01958","Vitvi08g01958","14 x 32","Chard_acclim_r3","Vitvi08g01958","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00949","Vitvi04g00949","21 x 20","Tocai_accfreeze_r3","Vitvi04g00949","Binding to a large ribosomal subunit."
"Vitvi04g01672","Vitvi04g01672","28 x 23","Chard_acclim_r1","Vitvi04g01672","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00454","Vitvi05g00454","34 x 27","CabFra_warm_r2","Vitvi05g00454","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00818","Vitvi05g00818","33 x 18","CabFra_warm_r2","Vitvi05g00818","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01344","Vitvi05g01344","27 x 16","CabFra_warm_r1","Vitvi05g01344","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g01356","Vitvi05g01356","15 x 27","Sangio_accfreeze_r1","Vitvi05g01356","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g01401","Vitvi05g01401","1 x 20","CabFra_freeze_r3","Vitvi05g01401","The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome."
"Vitvi05g01684","Vitvi05g01684","4 x 36","Sangio_accfreeze_r1","Vitvi05g01684","A transcription initiation process that takes place at a RNA polymerase III gene promoter. Transfer RNAs (tRNA) genes, as well as some other non-coding RNAs, are transcribed by RNA polymerase III."
"Vitvi06g00384","Vitvi06g00384","13 x 13","Sangio_accfreeze_r1","Vitvi06g00384","The process whose specific outcome is the progression of a pollen tube over time, from its initial formation to a mature structure."
"Vitvi06g00429","Vitvi06g00429","27 x 16","Sangio_accfreeze_r1","Vitvi06g00429","Binding to a nucleic acid."
"Vitvi06g00516","Vitvi06g00516","15 x 21","Riesl_warm_r1","Vitvi06g00516","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi06g00535","Vitvi06g00535","22 x 18","CabFra_accfreeze_r2","Vitvi06g00535","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00696","Vitvi06g00696","1 x 21","CabFra_freeze_r2","Vitvi06g00696","Binding to a nucleic acid."
"Vitvi06g01131","Vitvi06g01131","21 x 8","CabFra_freeze_r1","Vitvi06g01131","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi06g01268","Vitvi06g01268","23 x 38","Riesl_acclim_r1","Vitvi06g01268","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01501","Vitvi06g01501","22 x 21","Tocai_warm_r3","Vitvi06g01501","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01782","Vitvi06g01782","26 x 15","CabFra_warm_r2","Vitvi06g01782","Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide."
"Vitvi07g00179","Vitvi07g00179","36 x 20","Tocai_warm_r3","Vitvi07g00179","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi07g01700","Vitvi07g01700","22 x 5","Sangio_freeze_r3","Vitvi07g01700","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi07g01705","Vitvi07g01705","34 x 22","CabFra_warm_r2","Vitvi07g01705","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00219","Vitvi08g00219","1 x 13","CabFra_freeze_r3","Vitvi08g00219",""
"Vitvi08g00739","Vitvi08g00739","37 x 23","CabFra_warm_r2","Vitvi08g00739","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01069","Vitvi08g01069","27 x 1","Tocai_warm_r3","Vitvi08g01069","Functions in chain elongation during polypeptide synthesis at the ribosome."
"Vitvi08g01256","Vitvi08g01256","37 x 21","CabFra_warm_r1","Vitvi08g01256","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g01793","Vitvi08g01793","27 x 16","Sangio_accfreeze_r1","Vitvi08g01793","Binding to an RNA molecule or a portion thereof."
"Vitvi08g01803","Vitvi08g01803","16 x 7","CabFra_freeze_r1","Vitvi08g01803","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g01911","Vitvi08g01911","1 x 21","Sangio_freeze_r2","Vitvi08g01911","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01946","Vitvi08g01946","28 x 25","Sangio_accfreeze_r1","Vitvi08g01946","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g02102","Vitvi08g02102","17 x 29","Chard_warm_r2","Vitvi08g02102","Binding to a protein."
"Vitvi08g02164","Vitvi08g02164","12 x 29","Tocai_accfreeze_r2","Vitvi08g02164","Binding to an RNA molecule or a portion thereof."
"Vitvi09g00027","Vitvi09g00027","30 x 9","Chard_warm_r1","Vitvi09g00027","Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide."
"Vitvi09g00089","Vitvi09g00089","18 x 30","Tocai_acclim_r1","Vitvi09g00089","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g00149","Vitvi09g00149","15 x 30","Sangio_accfreeze_r1","Vitvi09g00149","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00312","Vitvi09g00312","25 x 19","Tocai_accfreeze_r2","Vitvi09g00312","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi09g00327","Vitvi09g00327","4 x 40","Sangio_accfreeze_r1","Vitvi09g00327","The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group."
"Vitvi09g00496","Vitvi09g00496","32 x 14","Tocai_freeze_r2","Vitvi09g00496","Binding to a protein."
"Vitvi09g00513","Vitvi09g00513","24 x 5","CabFra_freeze_r3","Vitvi09g00513","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00588","Vitvi09g00588","3 x 40","Tocai_accfreeze_r2","Vitvi09g00588","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00838","Vitvi09g00838","36 x 25","Tocai_warm_r3","Vitvi09g00838","Binding to an RNA molecule or a portion thereof."
