"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00101","Vitvi01g00101","36 x 35","Tocai_warm_r3","Vitvi01g00101","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00226","Vitvi01g00226","23 x 3","Sangio_freeze_r3","Vitvi01g00226","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00544","Vitvi01g00544","26 x 31","Tocai_acclim_r2","Vitvi01g00544","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00647","Vitvi01g00647","40 x 5","Riesl_warm_r1","Vitvi01g00647","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00682","Vitvi01g00682","13 x 40","Sangio_accfreeze_r3","Vitvi01g00682","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00959","Vitvi01g00959","18 x 34","Tocai_accfreeze_r1","Vitvi01g00959","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01859","Vitvi01g01859","21 x 14","Sangio_warm_r2","Vitvi01g01859","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01369","Vitvi02g01369","13 x 32","Sangio_accfreeze_r1","Vitvi02g01369","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00186","Vitvi03g00186","15 x 3","Riesl_freeze_r2","Vitvi03g00186","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00233","Vitvi03g00233","15 x 25","Riesl_freeze_r3","Vitvi03g00233","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00245","Vitvi03g00245","26 x 38","Sangio_acclim_r3","Vitvi03g00245","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00247","Vitvi03g00247","1 x 18","Chard_freeze_r2","Vitvi03g00247","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00262","Vitvi03g00262","10 x 17","Tocai_freeze_r3","Vitvi03g00262","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi03g00359","Vitvi03g00359","10 x 1","Sangio_freeze_r1","Vitvi03g00359","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00556","Vitvi03g00556","28 x 23","CabFra_warm_r3","Vitvi03g00556","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01288","Vitvi03g01288","20 x 2","CabFra_freeze_r2","Vitvi03g01288","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00109","Vitvi04g00109","1 x 13","Sangio_freeze_r1","Vitvi04g00109","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01358","Vitvi07g01358","26 x 40","Sangio_acclim_r1","Vitvi07g01358","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00358","Vitvi10g00358","9 x 16","Sangio_freeze_r3","Vitvi10g00358","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01302","Vitvi04g01302","4 x 37","Sangio_accfreeze_r1","Vitvi04g01302","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01740","Vitvi04g01740","9 x 17","Sangio_warm_r2","Vitvi04g01740","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi05g00468","Vitvi05g00468","2 x 2","CabFra_freeze_r3","Vitvi05g00468","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00733","Vitvi05g00733","7 x 39","CabFra_acclim_r2","Vitvi05g00733","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00734","Vitvi05g00734","1 x 8","Sangio_freeze_r1","Vitvi05g00734","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01869","Vitvi05g01869","27 x 3","Riesl_freeze_r1","Vitvi05g01869","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01956","Vitvi05g01956","1 x 7","Sangio_freeze_r1","Vitvi05g01956","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00106","Vitvi06g00106","7 x 40","Sangio_accfreeze_r1","Vitvi06g00106","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00193","Vitvi06g00193","23 x 40","Riesl_acclim_r3","Vitvi06g00193","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00500","Vitvi06g00500","8 x 32","Sangio_freeze_r1","Vitvi06g00500","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00514","Vitvi06g00514","37 x 8","Riesl_warm_r1","Vitvi06g00514","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00541","Vitvi06g00541","10 x 19","Chard_acclim_r3","Vitvi06g00541","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00585","Vitvi06g00585","28 x 6","Chard_freeze_r3","Vitvi06g00585","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00678","Vitvi06g00678","4 x 3","Sangio_freeze_r2","Vitvi06g00678","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00207","Vitvi07g00207","1 x 6","Sangio_freeze_r1","Vitvi07g00207","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00266","Vitvi07g00266","21 x 33","Tocai_acclim_r1","Vitvi07g00266","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01536","Vitvi07g01536","4 x 31","Tocai_accfreeze_r2","Vitvi07g01536","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01623","Vitvi07g01623","30 x 12","Chard_warm_r1","Vitvi07g01623","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00046","Vitvi08g00046","14 x 21","Tocai_warm_r1","Vitvi08g00046","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00152","Vitvi08g00152","20 x 30","Tocai_accfreeze_r3","Vitvi08g00152","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00153","Vitvi08g00153","13 x 33","Tocai_accfreeze_r2","Vitvi08g00153","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00834","Vitvi08g00834","40 x 1","Tocai_warm_r3","Vitvi08g00834","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00913","Vitvi08g00913","35 x 11","Sangio_warm_r3","Vitvi08g00913","Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."
"Vitvi08g01167","Vitvi08g01167","5 x 33","Tocai_accfreeze_r2","Vitvi08g01167","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01325","Vitvi08g01325","23 x 1","Sangio_freeze_r1","Vitvi08g01325","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01743","Vitvi08g01743","12 x 14","Sangio_freeze_r3","Vitvi08g01743","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01458","Vitvi09g01458","20 x 5","Sangio_freeze_r3","Vitvi09g01458","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01947","Vitvi09g01947","31 x 29","Tocai_acclim_r3","Vitvi09g01947","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00029","Vitvi10g00029","23 x 3","Sangio_freeze_r3","Vitvi10g00029","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00288","Vitvi10g00288","14 x 3","Sangio_warm_r1","Vitvi10g00288","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
