"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00733","Vitvi01g00733","3 x 29","Chard_warm_r3","Vitvi01g00733","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01568","Vitvi01g01568","11 x 1","CabFra_freeze_r3","Vitvi01g01568","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi01g01769","Vitvi01g01769","26 x 28","Tocai_warm_r3","Vitvi01g01769","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00426","Vitvi02g00426","13 x 34","Chard_acclim_r2","Vitvi02g00426","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi04g00279","Vitvi04g00279","11 x 26","Sangio_accfreeze_r1","Vitvi04g00279","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00530","Vitvi04g00530","21 x 39","Chard_acclim_r2","Vitvi04g00530","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi04g00617","Vitvi04g00617","4 x 35","Tocai_accfreeze_r3","Vitvi04g00617","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi07g01205","Vitvi07g01205","19 x 33","Tocai_acclim_r1","Vitvi07g01205","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi07g01449","Vitvi07g01449","22 x 40","Chard_acclim_r1","Vitvi07g01449","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi04g00732","Vitvi04g00732","12 x 27","Sangio_accfreeze_r1","Vitvi04g00732","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi04g01763","Vitvi04g01763","21 x 22","Tocai_accfreeze_r2","Vitvi04g01763","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00085","Vitvi05g00085","2 x 34","Tocai_accfreeze_r1","Vitvi05g00085","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g01082","Vitvi05g01082","10 x 8","Sangio_freeze_r1","Vitvi05g01082","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi06g00600","Vitvi06g00600","15 x 6","Tocai_freeze_r2","Vitvi06g00600","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi06g00973","Vitvi06g00973","31 x 8","Chard_freeze_r3","Vitvi06g00973","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi06g00979","Vitvi06g00979","15 x 29","Sangio_accfreeze_r1","Vitvi06g00979","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01523","Vitvi06g01523","15 x 36","Sangio_acclim_r3","Vitvi06g01523","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi07g00257","Vitvi07g00257","10 x 28","Tocai_accfreeze_r1","Vitvi07g00257","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi07g01708","Vitvi07g01708","35 x 10","Sangio_warm_r1","Vitvi07g01708","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01865","Vitvi07g01865","3 x 34","CabFra_accfreeze_r3","Vitvi07g01865","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi08g00200","Vitvi08g00200","13 x 30","Tocai_accfreeze_r2","Vitvi08g00200","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi08g00271","Vitvi08g00271","1 x 33","Tocai_accfreeze_r2","Vitvi08g00271","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi08g00780","Vitvi08g00780","12 x 14","Riesl_freeze_r1","Vitvi08g00780","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01316","Vitvi08g01316","1 x 20","Chard_freeze_r3","Vitvi08g01316","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00211","Vitvi09g00211","31 x 14","Tocai_warm_r3","Vitvi09g00211","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi09g00526","Vitvi09g00526","17 x 30","Sangio_accfreeze_r1","Vitvi09g00526","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi11g00429","Vitvi11g00429","12 x 34","Sangio_accfreeze_r1","Vitvi11g00429","The removal of one or more ubiquitin groups from a protein."
"Vitvi11g00552","Vitvi11g00552","16 x 36","Sangio_warm_r1","Vitvi11g00552","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
