"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00376","Vitvi01g00376","4 x 32","Sangio_acclim_r1","Vitvi01g00376","Binding to a protein."
"Vitvi01g00595","Vitvi01g00595","12 x 15","Chard_acclim_r2","Vitvi01g00595","Binding to a nucleic acid."
"Vitvi01g00775","Vitvi01g00775","16 x 40","Chard_acclim_r2","Vitvi01g00775","Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"Vitvi04g01778","Vitvi04g01778","20 x 7","Tocai_freeze_r2","Vitvi04g01778","The leaflet the plasma membrane that faces the cytoplasm and any proteins embedded or anchored in it or attached to its surface."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00060","Vitvi07g00060","4 x 8","CabFra_freeze_r2","Vitvi07g00060","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi10g01233","Vitvi10g01233","9 x 29","Sangio_accfreeze_r2","Vitvi10g01233","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01437","Vitvi04g01437","28 x 15","Tocai_accfreeze_r1","Vitvi04g01437","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi05g00270","Vitvi05g00270","29 x 6","CabFra_freeze_r1","Vitvi05g00270","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00462","Vitvi05g00462","17 x 27","CabFra_freeze_r3","Vitvi05g00462","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi05g01184","Vitvi05g01184","12 x 16","Sangio_freeze_r1","Vitvi05g01184","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi06g01460","Vitvi06g01460","12 x 14","CabFra_freeze_r1","Vitvi06g01460","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g00052","Vitvi07g00052","18 x 31","Tocai_acclim_r1","Vitvi07g00052","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00513","Vitvi09g00513","24 x 5","CabFra_freeze_r3","Vitvi09g00513","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01474","Vitvi09g01474","5 x 24","Tocai_accfreeze_r2","Vitvi09g01474","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi09g01550","Vitvi09g01550","6 x 17","Tocai_accfreeze_r3","Vitvi09g01550","The leaflet the plasma membrane that faces the cytoplasm and any proteins embedded or anchored in it or attached to its surface."
"Vitvi10g01566","Vitvi10g01566","24 x 16","CabFra_warm_r2","Vitvi10g01566","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g01381","Vitvi11g01381","9 x 9","CabFra_freeze_r3","Vitvi11g01381","The leaflet the plasma membrane that faces the cytoplasm and any proteins embedded or anchored in it or attached to its surface."
"Vitvi12g01627","Vitvi12g01627","1 x 35","Sangio_accfreeze_r1","Vitvi12g01627","The directed movement of substances from endosomes to vacuoles by a pathway in which molecules are sorted into multivesicular bodies, which then fuse with the vacuole."
"Vitvi13g00858","Vitvi13g00858","14 x 15","Tocai_accfreeze_r3","Vitvi13g00858","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01780","Vitvi14g01780","40 x 8","Sangio_warm_r3","Vitvi14g01780","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00653","Vitvi15g00653","1 x 5","CabFra_freeze_r3","Vitvi15g00653","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi16g00155","Vitvi16g00155","38 x 15","Tocai_warm_r3","Vitvi16g00155","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00728","Vitvi17g00728","11 x 26","Sangio_accfreeze_r1","Vitvi17g00728","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi18g01000","Vitvi18g01000","12 x 17","Chard_warm_r2","Vitvi18g01000","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi18g02832","Vitvi18g02832","16 x 32","Tocai_accfreeze_r2","Vitvi18g02832","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi19g00674","Vitvi19g00674","26 x 1","Chard_warm_r1","Vitvi19g00674","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
