"","CabFra_acclim","CabFra_accfreeze","CabFra_freeze","CabFra_warm","Chard_acclim","Chard_accfreeze","Chard_freeze","Chard_warm","Riesl_acclim","Riesl_accfreeze","Riesl_freeze","Riesl_warm","Sangio_acclim","Sangio_accfreeze","Sangio_freeze","Sangio_warm","Tocai_acclim","Tocai_accfreeze","Tocai_freeze","Tocai_warm"
"ABC transporters",-2.12759208649154,-2.87521238778734,-0.175378103824501,-0.242994439388153,-0.46091520839877,-0.405359297192813,0.584176662580998,3.42799443909463,-0.837410824535579,-1.19967502015011,1.98301972007821,1.67374065485513,-1.3985324899234,-3.16847523951934,-0.512803091524346,3.32170360599212,0.167560821186782,-1.06506221541288,0.867774597119745,0.684168153455739
"Alanine aspartate and glutamate metabolism",-1.03435417969903,1.7662483443364,1.55570306514407,-1.03769748552155,-1.42556324610709,-1.19558540536516,1.83680626050969,0.0811165648025012,-0.217514259872209,-2.66160870742367,1.85943751519244,-1.80341039345343,-2.20543805559613,0.782618365026993,1.64293774552668,-1.25523256653075,-1.65797692569104,1.29604398534243,0.989868248052934,-0.428432445908962
"alpha-Linolenic acid metabolism",-1.42284266749654,-1.14587175417123,1.81379290192719,-2.03922354919953,-1.64853164789313,-2.44654973740887,-1.17965676428995,-1.05613732671893,-1.00929229284615,-0.0645980135751187,1.05083770332121,0.462487218296466,-1.97094158694583,-0.678882356867347,3.47151329038391,2.40322123565462,0.165522434913029,0.333384865805342,0.94649901906497,0.206845064784787
"Amino sugar and nucleotide sugar metabolism",0.264523569690697,-0.9775769247433,-0.582564165303697,0.850949197946909,-0.955314463747019,-1.68870849840558,-3.15820874416041,-0.378027387936819,0.258190450860456,0.188252117129552,-0.838352806323484,0.0203168181378997,0.931920828953708,0.0265842208308236,1.31883879259763,2.05754727092023,0.304795728766562,-0.263419670152227,-0.503639753416427,1.71878099293054
"Aminoacyl-tRNA biosynthesis",1.18887003413775,-2.2014195934034,-1.59035091254447,1.93842724948103,1.64587539723905,0.682045363147185,0.381724088223735,-0.0715296530916503,1.86727307811426,-0.296631197384263,-1.2820151872465,-0.813702016413866,1.89207474926081,-0.101582914877301,-1.82904339692303,-0.487504407685326,1.92773410392939,-0.349087685842094,-1.75192279637032,0.908294274346772
"Arginine and proline metabolism",-1.36743817295607,-0.184435999765694,2.39780244964967,-1.47851471900404,-1.85574225595742,-0.590681267504702,2.47602477073069,-1.23576826688089,-0.54511998746551,-1.98931787065734,2.62789702809924,-1.21547119728233,-2.0117926672786,-0.577177072913548,2.83521929307589,-1.63567924866354,-0.849001704200416,-0.448274266156357,1.48225300067641,-0.348291377701779
"Arginine biosynthesis",0.680556751403682,0.419726890286467,-0.936903606892267,-0.15079545341342,-0.299113669871462,-0.458494378871972,0.355109554090547,-0.465266349695046,1.93095552759958,0.466685419295687,0.0886689452294254,-1.03725619545204,-0.524257164255921,-0.681856900629171,0.0748955924154603,-0.428551218832631,0.972609018043724,0.79297899465203,-0.398421461041525,-0.017785706269188
"Ascorbate and aldarate metabolism",-2.4702673899841,-1.23759833217221,0.598489203519636,-0.206560381007614,-1.86081331926629,-0.147646347324655,1.8119482446879,0.394597529352716,-1.06874123371777,-0.432840485315462,1.98565557299089,1.40675400913658,-1.64933821894601,-2.55557219271303,1.31385252232014,1.53070302447059,-1.2498969300721,-2.05651659726152,2.49420795364077,0.317731286493385
"Autophagy - other",0.170979039670162,1.07429366066109,0.825242598491204,-3.41795149271031,0.898821907194893,1.14374680309003,-0.15848604272391,-2.34599501152262,-0.147157089421297,-0.592806266778049,1.42267691560707,-1.61991351176136,2.61351621533557,1.621881413692,1.52351334823801,-0.93055898626245,0.330722021661957,3.02669517064451,-1.24215300316661,-2.73125551540086
"Basal transcription factors",1.18328078433875,1.05476621092188,0.345228499856016,-1.63700950459517,1.33045851734733,1.16188478274972,-0.208904030651696,-2.13574937211603,1.27142439157911,0.595447359360001,0.418003151782458,-1.62627767626846,1.65629441811528,1.65244005050861,0.230367012091221,-2.36797466374486,0.879586878595788,1.42970873717738,-1.0051188734224,-2.0719081766259
"Base excision repair",2.14996133424957,-1.13616704030099,-2.18226992982435,3.84238034195882,1.42855999213062,-0.950932373061272,-2.13419847354248,-0.818163606749572,1.93970326939556,1.73558677359269,-2.84375868250719,-1.50151514657973,2.28780911722008,0.849628687977399,-1.66671933929024,-2.67801268342466,2.08015712891229,-0.503568965456237,-1.19653710027252,3.09715015746172
