"gene set","p-value","fdr"
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.0019819291036396      .","0.120105718289354      ."
"Transporter catalog - Transport electron carriers","0.0019819291036396      .","0.120105718289354      ."
"Energy metabolism - Photosynthesis antenna proteins","0.00220999463237753      .","0.120105718289354      ."
"Photosynthesis - antenna proteins","0.00246159388104225      .","0.120105718289354      ."
"Transcription factors - GRF","0.00273882505596267      .","0.120105718289354      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.00304393602779934      .","0.120105718289354      ."
"Protein - Calcium ion-dependent exocytosis","0.0033793310548187      .","0.120105718289354      ."
"Repair protein - SSBR (single strand breaks repair)","0.0033793310548187      .","0.120105718289354      ."
"Amino acid metabolism - Glutamate metabolism","0.00374757740125249      .","0.120105718289354      ."
"Transcription factors - MTERF","0.00374757740125249      .","0.120105718289354      ."
"Photosynthesis","0.00415141179898393      .","0.120105718289354      ."
"Terpenoid backbone biosynthesis","0.00459374669684048      .","0.177189442581606      ."
"Hormone signaling - Gibberellin signaling","0.00459374669684048      .","0.177189442581606      ."
"Plant specific signaling - Flower development","0.00618363774330392      .","0.177189442581606      ."
"Ether lipid metabolism","0.00681281516254892      .","0.177189442581606      ."
"Enzyme - 4.1  Carbon-carbon lyases","0.00681281516254892      .","0.177189442581606      ."
"Enzyme - 4.3  Carbon-nitrogen lyases","0.00749788712479853      .","0.177189442581606      ."
"Kinase - IRAK family","0.00749788712479853      .","0.177189442581606      ."
"Minor spliceosome components","0.00824293176298429      .","0.178141324936388      ."
"Carbohydrate metabolism - Pentose phosphate","0.00824293176298429      .","0.178141324936388      ."
"Starch and sucrose metabolism","0.00993029407135899      .","0.178141324936388      ."
"Translation factors - Release factors","0.00993029407135899      .","0.178141324936388      ."
"Transcription factors - C2C2-CO","0.00993029407135899      .","0.178141324936388      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.0119117206769826      .","0.201218511753484      ."
"Energy metabolism - Photosynthesis","0.0119117206769826      .","0.201218511753484      ."
"Transcription - Basal transcription factors","0.0119117206769826      .","0.201218511753484      ."
"Transcription factors - ARF","0.0119117206769826      .","0.201218511753484      ."
"Mitochondrial transcription and translation factors","0.0130251388459607      .","0.201218511753484      ."
"tRNA modification factors","0.0142274105006364      .","0.201218511753484      ."
"Sphingolipid metabolism","0.0155240819434818      .","0.201218511753484      ."
"Signal transduction - Phosphatidylinositol signaling system","0.0155240819434818      .","0.201218511753484      ."
"Transcription factors - TCP","0.0155240819434818      .","0.201218511753484      ."
"One carbon pool by folate","0.0169209015375587      .","0.201218511753484      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.0169209015375587      .","0.201218511753484      ."
"Fatty acid biosynthesis","0.0184238141352334      .","0.360836091032301      ."
"Peptidases and inhibitors - Family A1: pepsin family","0.0184238141352334      .","0.360836091032301      ."
"Photosynthesis protein - Photosynthetic electron transport","0.0184238141352334      .","0.360836091032301      ."
"Lipid metabolism - Biosynthesis of steroids","0.0184238141352334      .","0.360836091032301      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.0200389541064011      .","0.360836091032301      ."
"Transcription factors - SET PCG","0.0217726369020214      .","0.360836091032301      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.0256217368452469      .","0.360836091032301      ."
"Lipid metabolism - Ether lipid metabolism","0.0256217368452469      .","0.360836091032301      ."
"Transcription factors - MADS","0.0277505927510355      .","0.360836091032301      ."
"Base excision repair","0.0300248410427652      .","0.360836091032301      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.0300248410427652      .","0.360836091032301      ."
"Protein - Tethering complex","0.0300248410427652      .","0.360836091032301      ."
"Transporter catalog - Group translocators","0.0300248410427652      .","0.360836091032301      ."
"Biosynthesis of unsaturated fatty acids","0.0350377692966706      .","0.360836091032301      ."
"Biotin metabolism","0.0350377692966706      .","0.360836091032301      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.0350377692966706      .","0.360836091032301      ."
"Transcription factors - Zinc finger","0.0350377692966706      .","0.360836091032301      ."
"Transcription factors - PHD","0.0350377692966706      .","0.360836091032301      ."
"Arginine biosynthesis","0.0377907990995178      .","0.360836091032301      ."
"Propanoate metabolism","0.0377907990995178      .","0.360836091032301      ."
"Transcription factors - Jumonji","0.0377907990995178      .","0.360836091032301      ."
"Transcription factors - Other zf-DHHC","0.0377907990995178      .","0.360836091032301      ."
"Transcription factors - Basic helix-loop-helix (bHLH)","0.0407178795524944      .","0.462075665231453      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.0407178795524944      .","0.462075665231453      ."
"Cell motility - Regulation of actin cytoskeleton","0.0407178795524944      .","0.462075665231453      ."
"Pyrimidine metabolism","0.0471234054835504      .","0.462075665231453      ."
"Thiamine metabolism","0.0471234054835504      .","0.462075665231453      ."
"Enzyme - 2.2  Transferring aldehyde or ketonic groups","0.0471234054835504      .","0.462075665231453      ."
"Ribosome - Bacteria","0.0471234054835504      .","0.462075665231453      ."
"Basal transcription factors","0.0506164498649696      .","0.462075665231453      ."
"Other glycan degradation","0.0506164498649696      .","0.462075665231453      ."
