"gene set","p-value","fdr"
"beta-Alanine metabolism","0.00304393602779934      .","0.092127512001795      ."
"Vitamin B6 metabolism","0.00374757740125249      .","0.092127512001795      ."
"Enzyme - 6.2  Forming carbon-sulfur bonds","0.00374757740125249      .","0.092127512001795      ."
"Lipid metabolism - Fatty acid metabolism","0.00374757740125249      .","0.092127512001795      ."
"Tryptophan metabolism","0.00415141179898393      .","0.092127512001795      ."
"Fatty acid degradation","0.00459374669684048      .","0.092127512001795      ."
"Peroxisome","0.00459374669684048      .","0.092127512001795      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.00459374669684048      .","0.092127512001795      ."
"Pores ion channels [TC:1]","0.00459374669684048      .","0.092127512001795      ."
"Folding sorting degradation - Protein export","0.00459374669684048      .","0.092127512001795      ."
"Other amino acids metabolism - Glutathione metabolism","0.00459374669684048      .","0.092127512001795      ."
"Isoquinoline alkaloid biosynthesis","0.00560648190154704      .","0.092127512001795      ."
"Carbohydrate metabolism - Butanoate metabolism","0.00560648190154704      .","0.092127512001795      ."
"Cofactors and vitamin metabolism - Vitamin B6 metabolism","0.00560648190154704      .","0.092127512001795      ."
"Inner mambrane","0.00618363774330392      .","0.092127512001795      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.00618363774330392      .","0.092127512001795      ."
"Tyrosine metabolism","0.00681281516254892      .","0.092127512001795      ."
"Ubiquitin system - Ubiquitin-conjugating enzymes","0.00681281516254892      .","0.092127512001795      ."
"Riboflavin metabolism","0.00749788712479853      .","0.092127512001795      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.00749788712479853      .","0.092127512001795      ."
"Enzyme - Class I","0.00749788712479853      .","0.092127512001795      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.00749788712479853      .","0.092127512001795      ."
"Transport system - Tethering factors","0.00749788712479853      .","0.092127512001795      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.00824293176298429      .","0.092127512001795      ."
"Carbohydrate metabolism - Citrate cycle","0.00824293176298429      .","0.092127512001795      ."
"Chaperone - HSP40 / DNAJ","0.00905223527977801      .","0.092127512001795      ."
"SLC25: Mitochondrial carrier","0.00905223527977801      .","0.092127512001795      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.00905223527977801      .","0.092127512001795      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.00905223527977801      .","0.092127512001795      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.00993029407135899      .","0.092127512001795      ."
"Protein - Arf GTPases and associated proteins","0.00993029407135899      .","0.092127512001795      ."
"Protein export","0.0108818159918384      .","0.092127512001795      ."
"Valine leucine and isoleucine degradation","0.0108818159918384      .","0.092127512001795      ."
"Receptor - Others","0.0108818159918384      .","0.092127512001795      ."
"Viral life cycle - HIV-1","0.0119117206769826      .","0.092127512001795      ."
"Sugar transporters","0.0119117206769826      .","0.092127512001795      ."
"Transcription factors - GNAT","0.0119117206769826      .","0.092127512001795      ."
"Transporter catalog - Porters cat 18 to 29","0.0119117206769826      .","0.092127512001795      ."
"Glutathione metabolism","0.0130251388459607      .","0.092127512001795      ."
"Lysine degradation","0.0130251388459607      .","0.092127512001795      ."
"Protein processing in endoplasmic reticulum","0.0130251388459607      .","0.092127512001795      ."
"Transporter catalog - Porters cat 1 to 6","0.0130251388459607      .","0.092127512001795      ."
"Arginine and proline metabolism","0.0142274105006364      .","0.131543692922094      ."
"Folate biosynthesis","0.0142274105006364      .","0.131543692922094      ."
"Galactose metabolism","0.0142274105006364      .","0.131543692922094      ."
"Phenylalanine metabolism","0.0142274105006364      .","0.131543692922094      ."
"Energy metabolism - Reductive carboxylate cycle","0.0142274105006364      .","0.131543692922094      ."
"Pantothenate and CoA biosynthesis","0.0155240819434818      .","0.169138001070322      ."
"Sulfur relay system","0.0155240819434818      .","0.169138001070322      ."
"Transcription factors - BZIP","0.0155240819434818      .","0.169138001070322      ."
"Protein - Clathrin-mediated endocytosis","0.0200389541064011      .","0.169138001070322      ."
"Transcription factors - HSF","0.0200389541064011      .","0.169138001070322      ."
"Transporter catalog - Group translocators","0.0200389541064011      .","0.169138001070322      ."
"Mitochondrial respiratory chain complex assembly factors","0.0217726369020214      .","0.169138001070322      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.0217726369020214      .","0.169138001070322      ."
"alpha-Linolenic acid metabolism","0.0236313490947351      .","0.169138001070322      ."
"Nicotinate and nicotinamide metabolism","0.0236313490947351      .","0.169138001070322      ."
"Chaperone - HSP70 / DNAK","0.0236313490947351      .","0.169138001070322      ."
"Enzyme - 2.6  Transferring nitrogenous groups","0.0236313490947351      .","0.169138001070322      ."
"Protein - Chaperone mediated autophagy (CMA)","0.0236313490947351      .","0.169138001070322      ."
"Signal transduction - Calcium signaling pathway","0.0236313490947351      .","0.169138001070322      ."
"Transport and catabolism - Peroxisome","0.0236313490947351      .","0.169138001070322      ."
"Endoplasmic reticulum membrane and cytosol","0.0256217368452469      .","0.169138001070322      ."
"Protein - Other autophagy associated proteins","0.0256217368452469      .","0.169138001070322      ."
"Amino acid metabolism - Arginine and proline metabolism","0.0256217368452469      .","0.169138001070322      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.0256217368452469      .","0.169138001070322      ."
"Plant specific signaling - Plant-pathogen interaction","0.0256217368452469      .","0.169138001070322      ."
"Transcription factors - WRKY","0.0256217368452469      .","0.169138001070322      ."
"Butanoate metabolism","0.0277505927510355      .","0.21924916581036      ."
"Linoleic acid metabolism","0.0277505927510355      .","0.21924916581036      ."
"N-Glycan biosynthesis","0.0277505927510355      .","0.21924916581036      ."
"Terpenoid backbone biosynthesis","0.0277505927510355      .","0.21924916581036      ."
"Exosome - Proteins found in most exosomes","0.0300248410427652      .","0.21924916581036      ."
"Carbohydrate metabolism - Propanoate metabolism","0.0300248410427652      .","0.21924916581036      ."
"Lipid metabolism - Alpha-linolenic acid metabolism","0.0300248410427652      .","0.21924916581036      ."
"Proteasome - Assembling factors","0.0324515211035261      .","0.21924916581036      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.0324515211035261      .","0.21924916581036      ."
"Amino acid metabolism - Cysteine metabolism","0.0350377692966706      .","0.21924916581036      ."
"Energy metabolism - Oxidative phosphorylation","0.0350377692966706      .","0.21924916581036      ."
"Alanine aspartate and glutamate metabolism","0.0377907990995178      .","0.21924916581036      ."
"Zeatin biosynthesis","0.0377907990995178      .","0.21924916581036      ."
"Amino acid metabolism - Methionine metabolism","0.0377907990995178      .","0.21924916581036      ."
"Endocytosis","0.0407178795524944      .","0.236506339959919      ."
"Plant-pathogen interaction","0.0407178795524944      .","0.236506339959919      ."
"Protein - SNAP-25[C] (Qc)","0.0407178795524944      .","0.236506339959919      ."
"Regulator of mitochondrial biogenesis","0.0407178795524944      .","0.236506339959919      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.0407178795524944      .","0.236506339959919      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.0407178795524944      .","0.236506339959919      ."
"Transcription factors - GRAS","0.0407178795524944      .","0.236506339959919      ."
"Transcription factors - Other zf","0.0407178795524944      .","0.236506339959919      ."
"Histidine metabolism","0.0438263120463228      .","0.316312756157218      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.0438263120463228      .","0.316312756157218      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.0438263120463228      .","0.316312756157218      ."
"Lipid metabolism - Glycerolipid metabolism","0.0438263120463228      .","0.316312756157218      ."
"Carotenoid biosynthesis","0.0471234054835504      .","0.316312756157218      ."
"Propanoate metabolism","0.0471234054835504      .","0.316312756157218      ."
"Transporter catalog - Primary active transporter cat D1","0.0471234054835504      .","0.316312756157218      ."
"Mitophagy factors","0.0506164498649696      .","0.316312756157218      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.0506164498649696      .","0.316312756157218      ."
"Electrochemical potential-driven transporters [TC:2]","0.0543126883661862      .","0.316312756157218      ."
"Transcription factors - G2-like","0.0543126883661862      .","0.316312756157218      ."
"Enzyme - 5.1  Racemases and epimerases","0.058219287984645      .","0.316312756157218      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.058219287984645      .","0.316312756157218      ."
"Hormone signaling - ABA signaling","0.058219287984645      .","0.316312756157218      ."
"Transport and catabolism - Regulation of autophagy","0.058219287984645      .","0.316312756157218      ."
"SNARE interactions in vesicular transport","0.0623433088526888      .","0.316312756157218      ."
"Ubiquinone and other terpenoid-quinone biosynthesis","0.0623433088526888      .","0.316312756157218      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.0623433088526888      .","0.316312756157218      ."
"Transcription factors - MYBrelated","0.0623433088526888      .","0.316312756157218      ."
"Transcription factors - Trihelix","0.0623433088526888      .","0.316312756157218      ."
"Cysteine and methionine metabolism","0.0666916723275726      .","0.491773493977847      ."
"Protein - Autophagosome formation proteins","0.0666916723275726      .","0.491773493977847      ."
"Amino acid metabolism - Glutamate metabolism","0.0666916723275726      .","0.491773493977847      ."
"Transcription factors - CCAAT","0.0666916723275726      .","0.491773493977847      ."
"Transcription factors - NAC","0.0666916723275726      .","0.491773493977847      ."
"Transcription factors - Other zf-C3HC4","0.0666916723275726      .","0.491773493977847      ."
"Oxidative phosphorylation","0.0712711279846311      .","0.491773493977847      ."
"Glycosyltransferase - Hydrophobic molecule","0.0712711279846311      .","0.491773493977847      ."
"Spliceosome","0.0760882196548612      .","0.999999999999966      ."
"Chaperone - Protein disulfide isomerase","0.0760882196548612      .","0.999999999999966      ."
"Kinase - CDPK family","0.0760882196548612      .","0.999999999999966      ."
"Other components","0.0760882196548612      .","0.999999999999966      ."
"Amino acid metabolism - Histidine metabolism","0.0760882196548612      .","0.999999999999966      ."
"Citrate cycle (TCA cycle)","0.0811492506628545      .","1      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.0811492506628545      .","1      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.0864602484351567      .","1      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.0864602484351567      .","1      ."
"Glycolysis / Gluconeogenesis","0.0920269286625526      .","1      ."
"Various types of N-glycan biosynthesis","0.0978546592123271      .","1      ."
"GTP-binding proteins - Arf/Sar Family","0.0978546592123271      .","1      ."
"Amino acid metabolism - Tyrosine metabolism","0.0978546592123271      .","1      ."
"Carbohydrate metabolism - Galactose metabolism","0.0978546592123271      .","1      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.103948423998055      .","1      ."
"Kinase - CAMKL family","0.103948423998055      .","1      ."
"U4/U6.U5 tri-snRNP components","0.110312787024768      .","1      ."
"Flavonoid biosynthesis","0.123869251598873      .","1      ."
"Minor spliceosome components","0.123869251598873      .","1      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.123869251598873      .","1      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.131068065061241      .","1      ."
"GTP-binding proteins - Rab Family","0.131068065061241      .","1      ."
"Membrane transport - ABC transporters","0.131068065061241      .","1      ."
"Pyruvate metabolism","0.138550833634692      .","1      ."
"Glycine serine and threonine metabolism","0.146319504839501      .","1      ."
"Protein - SNARE associated proteins","0.146319504839501      .","1      ."
"Chaperone - HSP20","0.154375407363478      .","1      ."
"Energy metabolism - Nitrogen metabolism","0.154375407363478      .","1      ."
"Transporter catalog - Porters cat 30 to 64","0.154375407363478      .","1      ."
"Glycerolipid metabolism","0.162719222976772      .","1      ."
"Phosphatidylinositol signaling system","0.162719222976772      .","1      ."
"Transcription factors - C2H2","0.171350960542725      .","1      ."
"Transcription factors - MYB","0.171350960542725      .","1      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.180269932358251      .","1      ."
"U2 snRNP components","0.180269932358251      .","1      ."
"Enzyme - 2.3  Acyltransferases","0.189474733048639      .","1      ."
"SLC39: Metal ion transporter","0.189474733048639      .","1      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.189474733048639      .","1      ."
"Transcription factors - Orphans FAR-RED","0.189474733048639      .","1      ."
"MAPK signaling pathway - plant","0.208732504146853      .","1      ."
"Enzyme - 3.1  Acting on ester bonds","0.208732504146853      .","1      ."
"Transcription factors - Orphans zf-b box","0.208732504146853      .","1      ."
"Transcription factors - MADS","0.229098056328822      .","1      ."
"Ubiquitin mediated proteolysis","0.250532840298728      .","1      ."
"Common spliceosomal components","0.250532840298728      .","1      ."
"SLC15: Proton oligopeptide cotransporter","0.250532840298728      .","1      ."
"Ubiquitin system - Single Ring-finger type E3","0.250532840298728      .","1      ."
"Autophagy - other","0.261635742812965      .","1      ."
"Translation - RNA transport","0.261635742812965      .","1      ."
"ABCG (White) subfamily","0.27298586133828      .","1      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.27298586133828      .","1      ."
"Hormone signaling - Jasmonate signaling","0.27298586133828      .","1      ."
"Transporter catalog - Porters cat 66 to 94","0.27298586133828      .","1      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.284574897043012      .","1      ."
"Transcription - Spliceosome","0.284574897043012      .","1      ."
"Ascorbate and aldarate metabolism","0.296393801968636      .","1      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.296393801968636      .","1      ."
