"gene set","p-value","fdr"
"Channel - Cyclic nucleotide-gated channel (CNG)","0.00246159388104225      .","0.114807032223279      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.00246159388104225      .","0.114807032223279      ."
"Transcription factors - PHD","0.00304393602779934      .","0.114807032223279      ."
"Transporter catalog - Porters cat 66 to 94","0.00304393602779934      .","0.114807032223279      ."
"Circadian rhythm - plant","0.00374757740125249      .","0.114807032223279      ."
"Plant specific signaling - Flower development","0.00374757740125249      .","0.114807032223279      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.00415141179898393      .","0.114807032223279      ."
"Transcription factors - C2C2-CO","0.00415141179898393      .","0.114807032223279      ."
"Transport system - Nuclear pore complex","0.00415141179898393      .","0.114807032223279      ."
"Enzyme - Class II (C/G)","0.00459374669684048      .","0.114807032223279      ."
"Transcription factors - FHA","0.00459374669684048      .","0.114807032223279      ."
"Transcription factors - Orphans FAR-RED","0.00459374669684048      .","0.114807032223279      ."
"Protein - Retrieval pathways","0.00507767623790656      .","0.114807032223279      ."
"Transcription factors - SET PCG","0.00507767623790656      .","0.114807032223279      ."
"Proteasome - Regulatory particles","0.00560648190154704      .","0.114807032223279      ."
"Replication and repair - Sulfur relay system","0.00560648190154704      .","0.114807032223279      ."
"Autophagy - other","0.00618363774330392      .","0.114807032223279      ."
"Inositol phosphate metabolism","0.00749788712479853      .","0.114807032223279      ."
"mRNA surveillance pathway","0.00749788712479853      .","0.114807032223279      ."
"Replication and repair - RNA degradation","0.00749788712479853      .","0.114807032223279      ."
"Transcription factors - ARF","0.00749788712479853      .","0.114807032223279      ."
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.00824293176298429      .","0.245273567714594      ."
"Sphingolipid metabolism","0.00824293176298429      .","0.245273567714594      ."
"Transport system - Protein coat","0.00824293176298429      .","0.245273567714594      ."
"Plant specific signaling - Circadian rhythm","0.00905223527977801      .","0.245273567714594      ."
"Enzyme - 6.1  Forming carbon-oxygen bonds","0.00993029407135899      .","0.245273567714594      ."
"Transcription factors - Jumonji","0.0108818159918384      .","0.245273567714594      ."
"Thiamine metabolism","0.0119117206769826      .","0.261168389323584      ."
"Transcription factors - SNF2","0.0119117206769826      .","0.261168389323584      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.0130251388459607      .","0.261168389323584      ."
"Replication and repair - Nucleotide excision repair","0.0142274105006364      .","0.261168389323584      ."
"Basal transcription factors","0.0169209015375587      .","0.261168389323584      ."
"RNA polymerase II system","0.0169209015375587      .","0.261168389323584      ."
"Replication and repair - Mismatch repair","0.0169209015375587      .","0.261168389323584      ."
"Translation - mRNA surveillance pathway","0.0169209015375587      .","0.261168389323584      ."
"Aminoacyl-tRNA biosynthesis","0.0184238141352334      .","0.261168389323584      ."
"RNA degradation","0.0200389541064011      .","0.261168389323584      ."
"Mitochondrial dynamics","0.0200389541064011      .","0.261168389323584      ."
"Translation - Aminoacyl-tRNA biosynthesis","0.0200389541064011      .","0.261168389323584      ."
"Homologous recombination","0.0236313490947351      .","0.280453607565751      ."
"Nucleotide excision repair","0.0236313490947351      .","0.280453607565751      ."
"Protein - Autophagosome formation proteins","0.0236313490947351      .","0.280453607565751      ."
"Ribosome biogenesis - 90S particles","0.0236313490947351      .","0.280453607565751      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.0236313490947351      .","0.280453607565751      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.0256217368452469      .","0.280453607565751      ."
"Spliceosome associated proteins (SAPs)","0.0277505927510355      .","0.280453607565751      ."
"Transcription factors - MTERF","0.0277505927510355      .","0.280453607565751      ."
"Aminoacyl-tRNA synthetases (AARSs)","0.0300248410427652      .","0.280453607565751      ."
"Chromosome and associated proteins - Gene silencing","0.0300248410427652      .","0.280453607565751      ."
