"gene set","p-value","fdr"
"Biosynthesis of various plant secondary metabolites","0.0019819291036396      .","0.0472142134617831      ."
"Phenylalanine tyrosine and tryptophan biosynthesis","0.0019819291036396      .","0.0472142134617831      ."
"Peptidases and inhibitors - Family S10","0.0019819291036396      .","0.0472142134617831      ."
"Other metabolism - Single reactions","0.00220999463237753      .","0.0472142134617831      ."
"Kinase - CDK family","0.00246159388104225      .","0.0472142134617831      ."
"Transcription factors - HMG","0.00246159388104225      .","0.0472142134617831      ."
"Exosome - Exosomal proteins of colorectal cancer cells","0.00273882505596267      .","0.0472142134617831      ."
"Cytoskeleton - Microtubules","0.0033793310548187      .","0.0472142134617831      ."
"Hormone signaling - Gibberellin signaling","0.0033793310548187      .","0.0472142134617831      ."
"Transport and catabolism - Phagosome","0.0033793310548187      .","0.0472142134617831      ."
"Phagosome","0.00374757740125249      .","0.0472142134617831      ."
"Enzyme - 4.2  Carbon-oxygen lyases","0.00374757740125249      .","0.0472142134617831      ."
"Exosome - Exosomal proteins of bladder cancer cells","0.00374757740125249      .","0.0472142134617831      ."
"Cell growth and death - Cell cycle","0.00374757740125249      .","0.0472142134617831      ."
"Folding sorting degradation - Proteasome","0.00374757740125249      .","0.0472142134617831      ."
"Fatty acid elongation","0.00415141179898393      .","0.0472142134617831      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.00415141179898393      .","0.0472142134617831      ."
"Peptidases and inhibitors - Family T1: proteasome family","0.00415141179898393      .","0.0472142134617831      ."
"Proteasome - Core particles (20S proteasome)","0.00415141179898393      .","0.0472142134617831      ."
"Protein - Lipid raft mediated endocytosis","0.00415141179898393      .","0.0472142134617831      ."
"Replication protein - DNA Replication Initiation Factors","0.00415141179898393      .","0.0472142134617831      ."
"Replication and repair - DNA replication","0.00415141179898393      .","0.0472142134617831      ."
"DNA replication","0.00459374669684048      .","0.0472142134617831      ."
"Mismatch repair","0.00459374669684048      .","0.0472142134617831      ."
"Oxidative phosphorylation","0.00459374669684048      .","0.0472142134617831      ."
"Proteasome","0.00459374669684048      .","0.0472142134617831      ."
"Replication protein - DNA Replication Termination Factors","0.00459374669684048      .","0.0472142134617831      ."
"Ribosome","0.00507767623790656      .","0.0472142134617831      ."
"Ribosome - Archaea","0.00507767623790656      .","0.0472142134617831      ."
"Ribosome - Eukaryotes","0.00507767623790656      .","0.0472142134617831      ."
"Cell motility - Regulation of actin cytoskeleton","0.00507767623790656      .","0.0472142134617831      ."
"Transcription factors - MYB","0.00507767623790656      .","0.0472142134617831      ."
"Outer membrane","0.00560648190154704      .","0.0472142134617831      ."
"RNA polymerase I system","0.00560648190154704      .","0.0472142134617831      ."
"Transporter catalog - Primary active transporter cat D1","0.00560648190154704      .","0.0472142134617831      ."
"Protein - Forward pathways","0.00618363774330392      .","0.0472142134617831      ."
"Protein - Macropinocytosis","0.00618363774330392      .","0.0472142134617831      ."
"Translation - Ribosome","0.00618363774330392      .","0.0472142134617831      ."
"Aquaporins and small neutral solute transporters [TC:1.A.8]","0.00681281516254892      .","0.0622977321590809      ."
"Cilium and associated proteins - Stereociliary proteins","0.00681281516254892      .","0.0622977321590809      ."
"Enzyme - 3.4  Acting on peptide bonds (peptidases)","0.00681281516254892      .","0.0622977321590809      ."
"Enzyme - 5.4  Intramolecular transferases","0.00681281516254892      .","0.0622977321590809      ."
"Exosome - Exosomal proteins of breast cancer cells","0.00681281516254892      .","0.0622977321590809      ."
"Repair protein - Check point factors","0.00681281516254892      .","0.0622977321590809      ."
"Pyrimidine metabolism","0.00749788712479853      .","0.0622977321590809      ."
"Ribosome - Bacteria","0.00749788712479853      .","0.0622977321590809      ."
"Biotin metabolism","0.00824293176298429      .","0.194027937164127      ."
"Selenocompound metabolism","0.00824293176298429      .","0.194027937164127      ."
"Enzyme - 1.17  Acting on CH or CH2 groups","0.00824293176298429      .","0.194027937164127      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.00824293176298429      .","0.194027937164127      ."
"Ribosome - Mitochondria/ Chloroplast","0.00824293176298429      .","0.194027937164127      ."
"Nucleotide metabolism - Purine metabolism","0.00905223527977801      .","0.194027937164127      ."
"Replication and repair - Base excision repair","0.00993029407135899      .","0.194027937164127      ."
"Citrate cycle (TCA cycle)","0.0119117206769826      .","0.194027937164127      ."
"Chaperone - Protein disulfide isomerase","0.0119117206769826      .","0.194027937164127      ."
"Enzyme - 5.3  Intramolecular oxidoreductases","0.0142274105006364      .","0.194027937164127      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.0142274105006364      .","0.194027937164127      ."
"Transcription factors - SBP","0.0142274105006364      .","0.194027937164127      ."
"Homologous recombination","0.0155240819434818      .","0.194027937164127      ."
"Protein - Syntaxin (Qa)","0.0155240819434818      .","0.194027937164127      ."
"Base excision repair","0.0169209015375587      .","0.194027937164127      ."
"Cysteine and methionine metabolism","0.0169209015375587      .","0.194027937164127      ."
"Lipid metabolism - Fatty acid biosynthesis","0.0169209015375587      .","0.194027937164127      ."
"Nucleotide excision repair","0.0184238141352334      .","0.246251564749402      ."
"Other glycan degradation","0.0184238141352334      .","0.246251564749402      ."
"Chaperone - Peptidyl prolyl isomerase","0.0184238141352334      .","0.246251564749402      ."
"Energy metabolism - Oxidative phosphorylation","0.0184238141352334      .","0.246251564749402      ."
"Pentose phosphate pathway","0.0200389541064011      .","0.283725458193124      ."
"Transcription factors - Zinc finger","0.0200389541064011      .","0.283725458193124      ."
"Lipid biosynthesis protein - Component type","0.0217726369020214      .","0.283725458193124      ."
"Flavonoid biosynthesis","0.0236313490947351      .","0.283725458193124      ."
"Enzyme - 3.2  Glycosylases","0.0236313490947351      .","0.283725458193124      ."
"Fructose and mannose metabolism","0.0256217368452469      .","0.41017457421404      ."
"Glycosyltransferase - Hydrophobic molecule","0.0256217368452469      .","0.41017457421404      ."
"Transcription factors - Helix-turn-helix","0.0256217368452469      .","0.41017457421404      ."
"Amino sugar and nucleotide sugar metabolism","0.0300248410427652      .","0.41017457421404      ."
"Transcription factors - C2C2-GATA","0.0300248410427652      .","0.41017457421404      ."
"Fatty acid biosynthesis","0.0324515211035261      .","0.41017457421404      ."
"Hormone signaling - Jasmonate signaling","0.0324515211035261      .","0.41017457421404      ."
"Protein export","0.0350377692966706      .","0.433007684601631      ."
"Lipid metabolism - Biosynthesis of unsaturated fatty acids","0.0350377692966706      .","0.433007684601631      ."
"Transcription factors - AUXIAA","0.0350377692966706      .","0.433007684601631      ."
"Exosome - Proteins found in most exosomes","0.0377907990995178      .","0.433007684601631      ."
"Proteasome - Regulatory particles","0.0407178795524944      .","0.465892028119073      ."
"Carbohydrate metabolism - Starch and sucrose metabolism","0.0407178795524944      .","0.465892028119073      ."
"Transcription factors - ABI3VP1","0.0407178795524944      .","0.465892028119073      ."
"Glycine serine and threonine metabolism","0.0438263120463228      .","0.465892028119073      ."
"Enzyme - 2.1  Transferring one-carbon groups","0.0471234054835504      .","0.465892028119073      ."
"Carbohydrate metabolism - Ascorbate and aldarate metabolism","0.0471234054835504      .","0.465892028119073      ."
"Hormone transport - Auxin transport","0.0506164498649696      .","0.465892028119073      ."
"Transport system - Thylakoid targeting pathway","0.0506164498649696      .","0.465892028119073      ."
"Amino acid metabolism - Methionine metabolism","0.0543126883661862      .","0.465892028119073      ."
"Glutathione metabolism","0.058219287984645      .","0.465892028119073      ."
"Pentose and glucuronate interconversions","0.058219287984645      .","0.465892028119073      ."
"Phenylpropanoid biosynthesis","0.058219287984645      .","0.465892028119073      ."
"Plant hormone signal transduction","0.058219287984645      .","0.465892028119073      ."
"Transcription factors - SWIB","0.058219287984645      .","0.465892028119073      ."
"Repair protein - SSBR (single strand breaks repair)","0.0623433088526888      .","0.465892028119073      ."
"Cofactors and vitamin metabolism - Riboflavin metabolism","0.0623433088526888      .","0.465892028119073      ."
"Steroid biosynthesis","0.0666916723275726      .","0.477546739785811      ."
"Enzyme - 2.7  Transferring phosphorus-containing groups","0.0666916723275726      .","0.477546739785811      ."
"Enzyme - 5.1  Racemases and epimerases","0.0666916723275726      .","0.477546739785811      ."
"Carbohydrate metabolism - Fructose and mannose metabolism","0.0666916723275726      .","0.477546739785811      ."
"Nucleotide metabolism - Pyrimidine metabolism","0.0712711279846311      .","0.477546739785811      ."
"GTP-binding proteins - Rab Family","0.0760882196548612      .","0.608148468125821      ."
"U2 snRNP components","0.0760882196548612      .","0.608148468125821      ."
"Carbohydrate metabolism - Nucleotide sugars metabolism","0.0760882196548612      .","0.608148468125821      ."
"Energy metabolism - Sulfur metabolism","0.0760882196548612      .","0.608148468125821      ."
"Transcription factors - TCP","0.0760882196548612      .","0.608148468125821      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.0811492506628545      .","0.608148468125821      ."
