Name	Value	Representative
phragmoplast	3.882728704344236	phragmoplast
microtubule cytoskeleton	27.22767829327708	microtubule cytoskeleton
nucleosome	8.347753658996677	microtubule cytoskeleton
nucleus	7.159266765388193	microtubule cytoskeleton
non-membrane-bounded organelle	23.562249437179613	microtubule cytoskeleton
protein-containing complex	4.323306390375134	protein-containing complex
protein-DNA complex	12.071604147743288	protein-DNA complex
cyclin-dependent protein kinase holoenzyme complex	9.391473966422806	protein-DNA complex
THO complex	4.991399828238082	protein-DNA complex
MCM complex	5.782516055786093	protein-DNA complex
DNA packaging complex	10.761953896871203	protein-DNA complex
transferase complex	2.9430951486635277	protein-DNA complex
organelle	5.028260409112222	organelle
supramolecular complex	17.84163750790475	supramolecular complex
