Name	Value	Representative
mitotic cytokinesis	3.7878123955960414	mitotic cytokinesis
glucan biosynthetic process	3.1555228242543185	glucan biosynthetic process
double-strand break repair via nonhomologous end joining	1.8096683018297088	glucan biosynthetic process
protein phosphorylation	2.1163385648463824	glucan biosynthetic process
C-terminal protein methylation	1.3565473235138126	glucan biosynthetic process
arginine metabolic process	1.585026652029182	glucan biosynthetic process
response to abiotic stimulus	1.5346171485515816	glucan biosynthetic process
PSII associated light-harvesting complex II catabolic process	1.5287082889410617	glucan biosynthetic process
carotenoid biosynthetic process	1.585026652029182	glucan biosynthetic process
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1.3946949538588904	glucan biosynthetic process
response to chemical	1.473660722610156	glucan biosynthetic process
carboxylic acid catabolic process	1.393618634889395	glucan biosynthetic process
DNA ligation involved in DNA repair	1.3565473235138126	glucan biosynthetic process
response to nitrate	3.440093374963888	response to nitrate
response to acid chemical	1.3946949538588904	response to nitrate
photoperiodism	1.747146969020107	response to nitrate
response to inorganic substance	1.987162775294828	response to nitrate
alternative respiration	2.354577730650908	alternative respiration
nitrate transmembrane transport	4.835647144215563	nitrate transmembrane transport
monoatomic ion transport	1.7594507517174005	nitrate transmembrane transport
zinc ion transport	1.3767507096020994	nitrate transmembrane transport
mitochondrial pyruvate transmembrane transport	2.2335871528876003	nitrate transmembrane transport
inorganic anion transport	1.6882461389442456	nitrate transmembrane transport
nucleobase transport	2.7986028756795487	nitrate transmembrane transport
nucleoside transport	1.747146969020107	nitrate transmembrane transport
one-carbon compound transport	1.5287082889410617	nitrate transmembrane transport
urea transmembrane transport	1.5287082889410617	nitrate transmembrane transport
purine-containing compound transmembrane transport	2.5100415205751654	nitrate transmembrane transport
monoatomic anion transmembrane transport	3.0530567293021744	nitrate transmembrane transport
inorganic ion transmembrane transport	1.6216020990518625	nitrate transmembrane transport
purine nucleobase transmembrane transport	2.978810700930062	nitrate transmembrane transport
potassium ion import across plasma membrane	1.3565473235138126	nitrate transmembrane transport
benzene-containing compound metabolic process	2.1804560644581312	benzene-containing compound metabolic process
phenol-containing compound metabolic process	1.8794260687941504	benzene-containing compound metabolic process
cell division	1.869666231504994	cell division
positive regulation of ligase activity	1.5287082889410617	positive regulation of ligase activity
regulation of ligase activity	1.5287082889410617	positive regulation of ligase activity
glycosylation	2.58838029403677	glycosylation
cell wall organization or biogenesis	1.585026652029182	cell wall organization or biogenesis
plant-type cell wall organization or biogenesis	2.6675615400843946	plant-type cell wall organization or biogenesis
mannosylation	3.87942606879415	mannosylation
