new,old,loc
Vitvi00g00009,VIT_00s0145g00110,
Vitvi00g00012,VIT_00s0153g00020,
Vitvi00g00014,VIT_00s0153g00040,
Vitvi00g00015,VIT_00s0153g00050,LOC100265481
Vitvi00g00017,,LOC104878040
Vitvi00g00018,VIT_00s0153g00060,
Vitvi00g00021,VIT_00s0153g00070,LOC100246477
Vitvi00g00023,VIT_00s0153g00080,
Vitvi00g00027,,LOC104878039
Vitvi00g00033,,LOC100854854
Vitvi00g00038,VIT_00s0160g00090,LOC104878045
Vitvi00g00040,VIT_00s0160g00110,LOC104878046
Vitvi00g00040,VIT_00s0160g00120,LOC104878046
Vitvi00g00040,VIT_00s0160g00150,LOC104878046
Vitvi00g00041,VIT_00s0160g00140,
Vitvi00g00043,VIT_00s0160g00170,
Vitvi00g00044,VIT_00s0160g00220,LOC104878042
Vitvi00g00045,VIT_00s0160g00250,
Vitvi00g00046,VIT_00s0160g00270,
Vitvi00g00048,VIT_00s0160g00280,
Vitvi00g00057,,LOC100854066
Vitvi00g00059,,LOC104877853
Vitvi00g00060,,LOC104877854
Vitvi00g00063,,LOC100854134
Vitvi00g00067,,LOC104877855
Vitvi00g00069,,LOC104877849
Vitvi00g00072,,LOC104878052
Vitvi00g00073,,LOC104878053
Vitvi00g00074,VIT_00s0163g00030,LOC104878054
Vitvi00g00075,VIT_00s0163g00040,
Vitvi00g00077,VIT_00s0163g00050,
Vitvi00g00078,VIT_00s0163g00060,
Vitvi00g00080,VIT_00s0163g00080,
Vitvi00g00082,,LOC104878055
Vitvi00g00088,,LOC104878059
Vitvi00g00092,VIT_00s0169g00090,LOC104878062
Vitvi00g00092,VIT_00s0169g00090,LOC104878063
Vitvi00g00094,VIT_07s0185g00020,LOC100259393
Vitvi00g00095,VIT_07s0185g00030,LOC100264566
Vitvi00g00096,VIT_07s0185g00040,LOC100855061
Vitvi00g00098,VIT_07s0185g00050,LOC100855249
Vitvi00g00101,VIT_07s0185g00080,LOC100855028
Vitvi00g00106,VIT_07s0185g00130,LOC100254928
Vitvi00g00107,VIT_07s0185g00140,LOC100855184
Vitvi00g00109,VIT_07s0185g00170,LOC104879895
Vitvi00g00111,VIT_00s0186g00020,LOC100263999
Vitvi00g00118,VIT_00s0186g00050,
