




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	I.txt (Vitis vinifera)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	GO_ref.txt (Vitis vinifera)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	NONE
GO biological process complete	GO_ref.txt - REFLIST (17652)	I.txt (267)	I.txt (expected)	I.txt (over/under)	I.txt (fold Enrichment)	I.txt (raw P-value)
urea transport (GO:0015840)	1	1	.02	+	66.11	2.96E-02
PSII associated light-harvesting complex II catabolic process (GO:0010304)	1	1	.02	+	66.11	2.96E-02
arginine catabolic process to glutamate (GO:0019544)	1	1	.02	+	66.11	2.96E-02
arginine catabolic process to proline (GO:0019493)	1	1	.02	+	66.11	2.96E-02
urea transmembrane transport (GO:0071918)	1	1	.02	+	66.11	2.96E-02
arginine catabolic process to proline via ornithine (GO:0010121)	1	1	.02	+	66.11	2.96E-02
one-carbon compound transport (GO:0019755)	1	1	.02	+	66.11	2.96E-02
positive regulation of ligase activity (GO:0051351)	1	1	.02	+	66.11	2.96E-02
regulation of ligase activity (GO:0051340)	1	1	.02	+	66.11	2.96E-02
nitrate transmembrane transport (GO:0015706)	7	4	.11	+	37.78	1.46E-05
arginine catabolic process (GO:0006527)	2	1	.03	+	33.06	4.40E-02
C-terminal protein methylation (GO:0006481)	2	1	.03	+	33.06	4.40E-02
UDP-N-acetylgalactosamine transmembrane transport (GO:0015789)	2	1	.03	+	33.06	4.40E-02
UDP-glucuronic acid transmembrane transport (GO:0015787)	2	1	.03	+	33.06	4.40E-02
DNA ligation involved in DNA repair (GO:0051103)	2	1	.03	+	33.06	4.40E-02
potassium ion import across plasma membrane (GO:1990573)	2	1	.03	+	33.06	4.40E-02
UDP-N-acetylglucosamine transmembrane transport (GO:1990569)	2	1	.03	+	33.06	4.40E-02
nitrate import (GO:1902025)	8	4	.12	+	33.06	2.17E-05
response to nitrate (GO:0010167)	7	3	.11	+	28.33	3.63E-04
alternative respiration (GO:0010230)	5	2	.08	+	26.44	4.42E-03
